Row Label,PrecinctCode,County,Registered Voters,Sam Hunt,Franklin Edwards
Total,-1,TH,NULL,32051,11471
Kaiser(*),35,TH,NULL,0,0
Delta(*),38,TH,NULL,0,0
Jones Beach,39,TH,NULL,144,56
Simmons 9,42,TH,NULL,4,2
Woodard Creek,47,TH,NULL,185,104
Ames,63,TH,NULL,219,78
Airport,64,TH,NULL,14,14
Luhr Beach,65,TH,NULL,232,162
Fish Trap,66,TH,NULL,198,74
Quince(*),67,TH,NULL,0,0
Simmons 2,68,TH,NULL,5,2
Simmons 3,69,TH,NULL,7,8
Simmons 4,70,TH,NULL,8,11
Long Lake,75,TH,NULL,66,23
Hawk Acres,76,TH,NULL,146,78
Tolmie,80,TH,NULL,65,61
Glen Terra,82,TH,NULL,80,27
Glenwood,84,TH,NULL,91,35
Woodland,88,TH,NULL,226,85
Zangle,101,TH,NULL,231,85
Boston Harbor,102,TH,NULL,332,69
Gull Harbor,103,TH,NULL,176,60
Friendly Grove,104,TH,NULL,123,87
South Bay,105,TH,NULL,260,143
Puget,106,TH,NULL,265,156
Bigelow,107,TH,NULL,226,76
Pleasant Glade,109,TH,NULL,152,59
Roosevelt,112,TH,NULL,258,137
Kinwood,113,TH,NULL,193,82
Mckinley,114,TH,NULL,80,36
Hicks,117,TH,NULL,44,14
Freedom,123,TH,NULL,271,140
College,129,TH,NULL,40,15
Cooper Point,134,TH,NULL,247,92
Butler Cove,135,TH,NULL,232,66
Broadway,136,TH,NULL,325,110
Plainview,139,TH,NULL,402,127
Bush Prairie,143,TH,NULL,56,29
Johnson Point,160,TH,NULL,302,135
Smith Lake,163,TH,NULL,229,92
Holmes,168,TH,NULL,199,99
Tykle Cove,172,TH,NULL,253,92
French,174,TH,NULL,295,72
Sunset Beach,175,TH,NULL,349,70
Henderson,176,TH,NULL,301,156
Pattison,178,TH,NULL,220,122
Beach Crest,183,TH,NULL,183,78
Sleater Kinney,189,TH,NULL,183,115
Libby,195,TH,NULL,216,80
Olympia 01,201,TH,NULL,235,51
Olympia 02,202,TH,NULL,205,78
Olympia 03,203,TH,NULL,245,50
Olympia 04,204,TH,NULL,215,53
Olympia 05,205,TH,NULL,232,39
Olympia 06,206,TH,NULL,360,130
Olympia 07,207,TH,NULL,131,33
Olympia 08,208,TH,NULL,255,65
Olympia 09,209,TH,NULL,412,114
Olympia 10,210,TH,NULL,310,46
Olympia 11,211,TH,NULL,259,21
Olympia 12,212,TH,NULL,104,52
Olympia 13,213,TH,NULL,285,38
Olympia 14,214,TH,NULL,227,41
Olympia 15,215,TH,NULL,220,37
Olympia 16,216,TH,NULL,44,9
Olympia 17,217,TH,NULL,129,71
Olympia 18,218,TH,NULL,254,52
Olympia 19,219,TH,NULL,199,59
Olympia 20,220,TH,NULL,138,27
Olympia 21,221,TH,NULL,380,62
Olympia 23,223,TH,NULL,304,63
Olympia 24,224,TH,NULL,249,37
Olympia 25,225,TH,NULL,192,48
Olympia 26,226,TH,NULL,240,40
Olympia 27,227,TH,NULL,113,28
Olympia 28,228,TH,NULL,294,44
Olympia 29,229,TH,NULL,284,77
Olympia 30,230,TH,NULL,228,46
Olympia 31,231,TH,NULL,214,63
Olympia 32,232,TH,NULL,285,95
Olympia 35,235,TH,NULL,464,101
Olympia 36,236,TH,NULL,94,24
Olympia 37,237,TH,NULL,167,37
Olympia 38,238,TH,NULL,56,18
Olympia 39,239,TH,NULL,256,55
Olympia 40,240,TH,NULL,227,29
Olympia 41,241,TH,NULL,282,51
Olympia 42,242,TH,NULL,184,34
Olympia 43,243,TH,NULL,305,63
Olympia 44,244,TH,NULL,143,19
Olympia 45,245,TH,NULL,136,48
Olympia 46,246,TH,NULL,201,91
Olympia 47,247,TH,NULL,302,62
Olympia 48,248,TH,NULL,287,112
Olympia 49,249,TH,NULL,298,34
Olympia 50,250,TH,NULL,212,39
