Row Label,PrecinctCode,County,Registered Voters,Kevin Parker,Donald Dover
Total,-1,SP,NULL,32289,15722
PCT 6000,6000,SP,NULL,282,88
PCT 6001,6001,SP,NULL,322,155
PCT 6002,6002,SP,NULL,101,31
PCT 6003,6003,SP,NULL,462,108
PCT 6004,6004,SP,NULL,258,106
PCT 6005,6005,SP,NULL,301,139
PCT 6006,6006,SP,NULL,341,137
PCT 6007,6007,SP,NULL,295,148
PCT 6008,6008,SP,NULL,273,117
PCT 6009,6009,SP,NULL,237,148
PCT 6010,6010,SP,NULL,50,15
PCT 6011,6011,SP,NULL,304,87
PCT 6012,6012,SP,NULL,235,66
PCT 6013,6013,SP,NULL,257,110
PCT 6014,6014,SP,NULL,189,80
PCT 6015,6015,SP,NULL,179,114
PCT 6016,6016,SP,NULL,240,79
PCT 6017,6017,SP,NULL,598,220
PCT 6018,6018,SP,NULL,505,174
PCT 6019,6019,SP,NULL,471,211
PCT 6020,6020,SP,NULL,467,274
PCT 6021,6021,SP,NULL,333,134
PCT 6022,6022,SP,NULL,361,144
PCT 6023,6023,SP,NULL,232,59
PCT 6024,6024,SP,NULL,229,82
PCT 6025,6025,SP,NULL,256,115
PCT 6026,6026,SP,NULL,479,228
PCT 6027,6027,SP,NULL,316,151
PCT 6028,6028,SP,NULL,261,129
PCT 6029,6029,SP,NULL,342,124
PCT 6030,6030,SP,NULL,506,188
PCT 6031,6031,SP,NULL,257,117
PCT 6032,6032,SP,NULL,261,46
PCT 6033,6033,SP,NULL,547,186
PCT 6034,6034,SP,NULL,429,122
PCT 6035,6035,SP,NULL,238,80
PCT 6036,6036,SP,NULL,233,82
PCT 6037,6037,SP,NULL,224,54
PCT 6100,6100,SP,NULL,181,105
PCT 6101,6101,SP,NULL,276,128
PCT 6102,6102,SP,NULL,271,145
PCT 6103,6103,SP,NULL,89,81
PCT 6104,6104,SP,NULL,187,130
PCT 6105,6105,SP,NULL,213,158
PCT 6106,6106,SP,NULL,318,231
PCT 6107,6107,SP,NULL,209,111
PCT 6108,6108,SP,NULL,179,164
PCT 6109,6109,SP,NULL,165,100
PCT 6200,6200,SP,NULL,362,264
PCT 6201,6201,SP,NULL,273,168
PCT 6202,6202,SP,NULL,271,231
PCT 6203,6203,SP,NULL,272,360
PCT 6204,6204,SP,NULL,377,370
PCT 6205,6205,SP,NULL,312,327
PCT 6206,6206,SP,NULL,348,300
PCT 6207,6207,SP,NULL,479,170
PCT 6208,6208,SP,NULL,357,272
PCT 6209,6209,SP,NULL,266,224
PCT 6210,6210,SP,NULL,407,218
PCT 6211,6211,SP,NULL,235,163
PCT 6212,6212,SP,NULL,186,129
PCT 6213,6213,SP,NULL,362,228
PCT 6214,6214,SP,NULL,282,187
PCT 6215,6215,SP,NULL,345,271
PCT 6216,6216,SP,NULL,332,207
PCT 6217,6217,SP,NULL,359,225
PCT 6218,6218,SP,NULL,363,138
PCT 6219,6219,SP,NULL,440,137
PCT 6220,6220,SP,NULL,447,167
PCT 6221,6221,SP,NULL,475,211
PCT 6222,6222,SP,NULL,383,68
PCT 6223,6223,SP,NULL,469,166
PCT 6224,6224,SP,NULL,311,201
PCT 6225,6225,SP,NULL,394,180
PCT 6300,6300,SP,NULL,596,194
PCT 6301,6301,SP,NULL,581,176
PCT 6302,6302,SP,NULL,272,91
PCT 6303,6303,SP,NULL,516,208
PCT 6304,6304,SP,NULL,477,199
PCT 6305,6305,SP,NULL,280,61
PCT 6306,6306,SP,NULL,392,105
PCT 6307,6307,SP,NULL,220,59
PCT 6308,6308,SP,NULL,225,79
PCT 6309,6309,SP,NULL,389,142
PCT 6310,6310,SP,NULL,302,140
PCT 6311,6311,SP,NULL,286,146
PCT 6312,6312,SP,NULL,296,127
PCT 6313,6313,SP,NULL,311,221
PCT 6314,6314,SP,NULL,311,163
PCT 6315,6315,SP,NULL,197,112
PCT 6316,6316,SP,NULL,166,78
PCT 6317,6317,SP,NULL,269,115
PCT 6318,6318,SP,NULL,320,106
PCT 6400,6400,SP,NULL,242,111
PCT 6401,6401,SP,NULL,140,70
PCT 6402,6402,SP,NULL,295,133
PCT 6500,6500,SP,NULL,83,28
PCT 6600,6600,SP,NULL,275,169
PCT 6601,6601,SP,NULL,298,94
PCT 6602,6602,SP,NULL,319,142
PCT 6700,6700,SP,NULL,250,169
PCT 6701,6701,SP,NULL,233,198
PCT 6702,6702,SP,NULL,168,150
PCT 6703,6703,SP,NULL,232,187
PCT 6704,6704,SP,NULL,282,166
