Row Label,PrecinctCode,County,Registered Voters,Irene Bowling,Tim Sheldon
Total,-1,TH,NULL,6476,7136
Trails End,34,TH,NULL,286,292
Steamboat Island,44,TH,NULL,148,125
Scott Lake South,49,TH,NULL,113,129
Salmon Creek,50,TH,NULL,89,109
Black River,62,TH,NULL,187,279
Prine,83,TH,NULL,20,44
Greenridge,86,TH,NULL,100,110
Tilley,89,TH,NULL,153,211
Sweet Briar,90,TH,NULL,241,213
Frye Cove,94,TH,NULL,202,193
Oyster Bay,95,TH,NULL,204,178
Summit Lake,96,TH,NULL,120,176
Delridge,97,TH,NULL,44,45
Alpine,99,TH,NULL,287,272
Hewitt Lake,100,TH,NULL,258,163
Hays,120,TH,NULL,127,119
Indian Summer,121,TH,NULL,181,189
Chambers,122,TH,NULL,219,291
Hunter Point,131,TH,NULL,112,103
Griffin,132,TH,NULL,172,155
Schneiders Prairie,133,TH,NULL,139,142
Mud Bay,140,TH,NULL,194,129
Mclane,141,TH,NULL,140,125
Black Lake,144,TH,NULL,206,244
Delphi,145,TH,NULL,165,155
South Union,146,TH,NULL,200,236
Violet Prairie,150,TH,NULL,131,262
Littlerock,151,TH,NULL,203,313
Scott Lake North,155,TH,NULL,72,72
Wards,161,TH,NULL,100,49
Evergreen Shores,164,TH,NULL,127,153
Waddell Creek,171,TH,NULL,134,143
Camelot,173,TH,NULL,109,118
Munn Lake,182,TH,NULL,93,96
Scheller,184,TH,NULL,73,81
Wilderness,186,TH,NULL,272,179
Lakeside,190,TH,NULL,74,98
Gallagher Cove,191,TH,NULL,250,278
East Olympia,192,TH,NULL,140,163
Henness,198,TH,NULL,182,338
Beaver Creek,199,TH,NULL,209,366
Tumwater 29,429,TH,NULL,0,0
