Row Label,PrecinctCode,County,Registered Voters,Mark Harmsworth,Mike Wilson
Total,-1,SN,NULL,23158,20248
SUNNYSIDE,14414044,SN,NULL,73,30
RAILROAD,14414318,SN,NULL,131,83
CASSIDY,14414522,SN,NULL,182,113
MILL CREEK  1,14441301,SN,NULL,220,174
MILL CREEK  2,14441302,SN,NULL,177,97
MILL CREEK  3,14441303,SN,NULL,111,98
MILL CREEK  4,14441304,SN,NULL,142,113
MILL CREEK  5,14441353,SN,NULL,257,179
MILL CREEK  6,14441354,SN,NULL,268,135
MILL CREEK  7,14441367,SN,NULL,14,11
MILL CREEK  8,14441376,SN,NULL,203,196
MILL CREEK  9,14441377,SN,NULL,158,168
MILL CREEK 10,14441472,SN,NULL,126,120
MILL CREEK 11,14441473,SN,NULL,153,99
MILL CREEK 12,14441495,SN,NULL,183,106
MILL CREEK 13,14441505,SN,NULL,150,123
MILL CREEK 14,14441629,SN,NULL,5,7
MILL CREEK 15,14441640,SN,NULL,175,156
MILL CREEK 16,14441652,SN,NULL,121,97
MILL CREEK 17,14441665,SN,NULL,170,157
MILL CREEK 18,14441666,SN,NULL,139,142
MILL CREEK 19,14441667,SN,NULL,219,187
MILL CREEK 20,14441668,SN,NULL,151,111
MILL CREEK 21,14441702,SN,NULL,71,93
MILL CREEK 22,14441703,SN,NULL,89,116
FERNWOOD,14444006,SN,NULL,133,143
BROOK,14444278,SN,NULL,186,201
HILL,14444293,SN,NULL,125,137
LARIMER,14444298,SN,NULL,168,115
MISTY,14444305,SN,NULL,170,155
OAKS,14444308,SN,NULL,192,160
PUGET PARK,14444317,SN,NULL,138,131
KENWOOD,14444348,SN,NULL,129,150
OLYMPUS,14444357,SN,NULL,134,120
SEATTLE HILL,14444361,SN,NULL,156,100
MERWIN,14444547,SN,NULL,145,73
CREEKSIDE,14444575,SN,NULL,109,122
DOUGLAS FIRS,14444576,SN,NULL,123,132
GRAND FIRS,14444582,SN,NULL,226,186
KATTENHORN,14444584,SN,NULL,219,227
SILVER FIRS,14444590,SN,NULL,178,199
TUCKER,14444595,SN,NULL,154,169
SPRUCE,14444658,SN,NULL,120,68
THOMAS CREEK,14444659,SN,NULL,160,122
WINDROSE,14444660,SN,NULL,195,202
STRAWBERRY,14444684,SN,NULL,160,164
DOGWOOD,14444693,SN,NULL,124,130
SNOHOMISH  1,14451014,SN,NULL,172,181
SNOHOMISH  3,14451038,SN,NULL,130,159
SNOHOMISH  5,14451056,SN,NULL,193,225
LAKE STEVENS  1,14451134,SN,NULL,224,178
LAKE STEVENS  2,14451135,SN,NULL,164,130
SNOHOMISH  7,14451144,SN,NULL,130,181
SNOHOMISH  8,14451145,SN,NULL,206,201
LAKE STEVENS  3,14451349,SN,NULL,186,195
LAKE STEVENS  4,14451418,SN,NULL,139,134
SNOHOMISH  2,14451436,SN,NULL,128,114
SNOHOMISH  4,14451437,SN,NULL,139,157
SNOHOMISH  6,14451438,SN,NULL,136,96
LAKE STEVENS  6,14451503,SN,NULL,172,140
SNOHOMISH  9,14451508,SN,NULL,97,99
LAKE STEVENS  7,14451536,SN,NULL,218,147
LAKE STEVENS  5,14451625,SN,NULL,142,109
LAKE STEVENS  8,14451649,SN,NULL,188,107
LAKE STEVENS  9,14451663,SN,NULL,126,120
LAKE STEVENS 10,14451664,SN,NULL,175,130
LAKE STEVENS 11,14451671,SN,NULL,102,87
LAKE STEVENS 12,14451672,SN,NULL,119,115
LAKE STEVENS 13,14451673,SN,NULL,143,138
LAKE STEVENS 14,14451674,SN,NULL,145,132
LAKE STEVENS 15,14451675,SN,NULL,192,189
SNOHOMISH 10,14451709,SN,NULL,99,47
LAKE STEVENS 16,14451716,SN,NULL,123,98
LAKE STEVENS 17,14451717,SN,NULL,184,123
LAKE STEVENS 18,14451718,SN,NULL,163,105
LAKE STEVENS 19,14451719,SN,NULL,196,130
LAKE STEVENS 20,14451720,SN,NULL,164,122
LAKE STEVENS 21,14451721,SN,NULL,200,175
LAKE STEVENS 22,14451722,SN,NULL,100,144
LAKE STEVENS 23,14451723,SN,NULL,136,81
LAKE STEVENS 24,14451724,SN,NULL,101,121
LAKE STEVENS 25,14451725,SN,NULL,54,44
LAKE STEVENS 26,14451726,SN,NULL,83,73
LAKE STEVENS 27,14451727,SN,NULL,73,78
LAKE STEVENS 28,14451757,SN,NULL,137,148
MARSH,14454012,SN,NULL,224,147
SOUTH SNOHOMISH,14454017,SN,NULL,137,111
WELANGDON,14454018,SN,NULL,14,5
LUDWIG,14454024,SN,NULL,161,116
SEXTON,14454029,SN,NULL,209,178
MACHIAS,14454045,SN,NULL,289,170
MARION,14454046,SN,NULL,147,118
RIVERVIEW,14454052,SN,NULL,167,170
SOUTH LAKE STEVENS,14454059,SN,NULL,207,117
FIR,14454066,SN,NULL,153,149
GLENWOOD,14454067,SN,NULL,116,99
TRAIL,14454072,SN,NULL,86,72
BERKSHIRE,14454075,SN,NULL,215,202
HAINES,14454291,SN,NULL,201,138
MEADOW,14454300,SN,NULL,138,118
PEAK,14454311,SN,NULL,8,6
PENNANT,14454312,SN,NULL,207,196
PETERSON,14454313,SN,NULL,198,192
PINEWOOD,14454315,SN,NULL,148,145
WINDSONG,14454336,SN,NULL,124,144
WOODRIDGE,14454339,SN,NULL,172,217
DUBUQUE,14454345,SN,NULL,179,116
POINTE,14454358,SN,NULL,25,25
SUNRISE,14454364,SN,NULL,105,166
VALMONT,14454366,SN,NULL,91,82
HEARTHSTONE,14454458,SN,NULL,111,128
MARKS,14454464,SN,NULL,171,150
OSBORN,14454477,SN,NULL,141,125
PANTHER CREEK,14454478,SN,NULL,156,150
PIONEER TRAILS,14454480,SN,NULL,153,152
RIDGEWAY,14454482,SN,NULL,105,89
STITCH,14454485,SN,NULL,47,49
CENTENNIAL,14454490,SN,NULL,242,199
FIRCREST,14454493,SN,NULL,114,97
GREENWOOD,14454530,SN,NULL,175,147
HAVEN,14454531,SN,NULL,169,181
HILLSIDE,14454532,SN,NULL,77,51
OHLDE,14454549,SN,NULL,199,118
RUGGS LAKE,14454554,SN,NULL,160,178
FOUR CORNERS,14454580,SN,NULL,151,159
KNOX,14454585,SN,NULL,9,10
MORNING RISE,14454588,SN,NULL,141,142
PELLERIN,14454634,SN,NULL,144,134
KENSINGTON,14454648,SN,NULL,82,76
OVERLOOK,14454706,SN,NULL,191,191
MARYSVILLE  5,24411428,SN,NULL,213,166
MARYSVILLE 16,24411466,SN,NULL,218,144
MARYSVILLE 19,24411494,SN,NULL,149,111
MARYSVILLE 21,24411540,SN,NULL,276,183
MARYSVILLE 22,24411541,SN,NULL,227,169
MARYSVILLE 23,24411542,SN,NULL,224,188
MARYSVILLE 24,24411543,SN,NULL,141,119
MARYSVILLE 14,24411628,SN,NULL,239,162
MARYSVILLE 12,24411676,SN,NULL,184,147
MARYSVILLE 30,24411677,SN,NULL,196,149
MARYSVILLE 31,24411678,SN,NULL,259,187
MARYSVILLE 34,24411701,SN,NULL,146,100
MARYSVILLE 55,24411748,SN,NULL,117,100
EBEY,24424001,SN,NULL,26,11
WHALEBACK,24424019,SN,NULL,13,10
EASTMONT,24424126,SN,NULL,87,152
FIRGROVE,24424528,SN,NULL,93,115
SILVER LAKE,24444074,SN,NULL,117,149
DUMAS,24444285,SN,NULL,157,131
HOLIDAY,24444294,SN,NULL,67,75
HILTONS LAKE,24454086,SN,NULL,165,164
RIVERCREST,24454172,SN,NULL,103,115
TOWER,24454197,SN,NULL,131,161
VILLE,24454198,SN,NULL,83,50
JORDAN,24454295,SN,NULL,212,238
LANTERN(*),24454341,SN,NULL,0,0
SLIVER(*),24454591,SN,NULL,0,0
GLEN ACRES(*),24454698,SN,NULL,0,0
