Row Label,PrecinctCode,County,Registered Voters,Jane Van Dyke,Byron Hanke
Total,-1,CR,NULL,52050,46606
100,100,CR,NULL,325,215
102,102,CR,NULL,192,206
104,104,CR,NULL,280,238
106,106,CR,NULL,245,187
108,108,CR,NULL,284,196
110,110,CR,NULL,330,184
112,112,CR,NULL,25,16
113,113,CR,NULL,166,95
120,120,CR,NULL,341,240
130,130,CR,NULL,320,193
147,147,CR,NULL,219,195
150,150,CR,NULL,195,111
153,153,CR,NULL,168,160
160,160,CR,NULL,242,142
170,170,CR,NULL,229,159
175,175,CR,NULL,210,123
180,180,CR,NULL,255,142
190,190,CR,NULL,300,244
200,200,CR,NULL,328,178
220,220,CR,NULL,216,154
225,225,CR,NULL,321,379
240,240,CR,NULL,306,333
245,245,CR,NULL,248,308
250,250,CR,NULL,315,261
255,255,CR,NULL,241,250
257,257,CR,NULL,285,204
290,290,CR,NULL,251,220
294,294,CR,NULL,179,141
296,296,CR,NULL,205,138
298,298,CR,NULL,148,147
325,325,CR,NULL,179,190
327,327,CR,NULL,271,261
330,330,CR,NULL,279,218
335,335,CR,NULL,218,159
337,337,CR,NULL,212,231
338,338,CR,NULL,266,194
340,340,CR,NULL,297,193
350,350,CR,NULL,216,208
360,360,CR,NULL,291,226
370,370,CR,NULL,210,148
390,390,CR,NULL,310,262
395,395,CR,NULL,98,49
400,400,CR,NULL,159,130
410,410,CR,NULL,329,251
415,415,CR,NULL,188,171
420,420,CR,NULL,242,239
423,423,CR,NULL,204,154
424,424,CR,NULL,295,246
425,425,CR,NULL,186,172
426,426,CR,NULL,334,314
430,430,CR,NULL,193,146
432,432,CR,NULL,185,163
434,434,CR,NULL,191,148
435,435,CR,NULL,168,190
436,436,CR,NULL,150,116
440,440,CR,NULL,266,228
441,441,CR,NULL,241,234
444,444,CR,NULL,340,291
445,445,CR,NULL,344,255
446,446,CR,NULL,212,245
447,447,CR,NULL,286,305
448,448,CR,NULL,325,284
449,449,CR,NULL,338,301
450,450,CR,NULL,330,259
451,451,CR,NULL,271,201
452,452,CR,NULL,214,226
453,453,CR,NULL,241,218
455,455,CR,NULL,200,163
456,456,CR,NULL,342,317
460,460,CR,NULL,379,322
470,470,CR,NULL,373,289
480,480,CR,NULL,330,337
483,483,CR,NULL,329,353
485,485,CR,NULL,140,217
487,487,CR,NULL,103,125
490,490,CR,NULL,162,205
491,491,CR,NULL,24,14
500,500,CR,NULL,256,274
502,502,CR,NULL,206,219
503,503,CR,NULL,180,186
505,505,CR,NULL,290,308
510,510,CR,NULL,154,182
511,511,CR,NULL,15,14
515,515,CR,NULL,306,248
520,520,CR,NULL,142,129
521,521,CR,NULL,5,6
522,522,CR,NULL,89,93
523,523,CR,NULL,3,6
524,524,CR,NULL,36,25
525,525,CR,NULL,151,180
527,527,CR,NULL,195,225
528,528,CR,NULL,194,255
530,530,CR,NULL,94,129
535,535,CR,NULL,274,360
536,536,CR,NULL,164,141
537,537,CR,NULL,108,84
538,538,CR,NULL,99,147
540,540,CR,NULL,253,291
543,543,CR,NULL,232,249
545,545,CR,NULL,173,167
550,550,CR,NULL,300,292
553,553,CR,NULL,206,238
555,555,CR,NULL,325,276
560,560,CR,NULL,266,223
563,563,CR,NULL,311,222
565,565,CR,NULL,203,178
566,566,CR,NULL,185,144
570,570,CR,NULL,241,257
571,571,CR,NULL,231,212
572,572,CR,NULL,305,301
573,573,CR,NULL,295,314
574,574,CR,NULL,16,7
575(*),575,CR,NULL,0,0
576(*),576,CR,NULL,0,0
577,577,CR,NULL,315,304
578,578,CR,NULL,28,19
579,579,CR,NULL,11,6
580,580,CR,NULL,168,150
581,581,CR,NULL,125,105
582,582,CR,NULL,187,183
583,583,CR,NULL,208,187
584,584,CR,NULL,226,220
585,585,CR,NULL,283,270
586,586,CR,NULL,218,191
587,587,CR,NULL,193,205
588,588,CR,NULL,141,131
590,590,CR,NULL,306,335
591,591,CR,NULL,296,368
592,592,CR,NULL,316,314
593,593,CR,NULL,229,295
594,594,CR,NULL,11,7
595,595,CR,NULL,123,170
596(*),596,CR,NULL,0,0
597,597,CR,NULL,23,34
598,598,CR,NULL,10,5
600,600,CR,NULL,133,130
603,603,CR,NULL,111,194
605,605,CR,NULL,176,292
606,606,CR,NULL,49,36
610,610,CR,NULL,306,346
613,613,CR,NULL,92,147
615,615,CR,NULL,103,110
617,617,CR,NULL,219,260
618,618,CR,NULL,265,256
620,620,CR,NULL,241,301
624,624,CR,NULL,63,46
625,625,CR,NULL,267,239
626,626,CR,NULL,283,173
627,627,CR,NULL,247,216
628,628,CR,NULL,310,204
629,629,CR,NULL,237,185
630,630,CR,NULL,226,160
631,631,CR,NULL,294,229
632,632,CR,NULL,133,120
633,633,CR,NULL,253,179
634,634,CR,NULL,253,148
635,635,CR,NULL,220,144
636,636,CR,NULL,198,187
638,638,CR,NULL,217,217
639,639,CR,NULL,219,198
640,640,CR,NULL,272,205
641,641,CR,NULL,114,64
642,642,CR,NULL,115,110
643,643,CR,NULL,253,197
644,644,CR,NULL,255,232
645,645,CR,NULL,320,248
646,646,CR,NULL,124,111
647,647,CR,NULL,180,148
648,648,CR,NULL,184,185
649,649,CR,NULL,213,188
650,650,CR,NULL,265,213
651,651,CR,NULL,187,162
652,652,CR,NULL,245,189
653,653,CR,NULL,255,146
654,654,CR,NULL,184,152
655,655,CR,NULL,240,190
656,656,CR,NULL,142,103
658,658,CR,NULL,190,239
659,659,CR,NULL,254,225
660,660,CR,NULL,263,237
662,662,CR,NULL,264,226
663,663,CR,NULL,190,146
664,664,CR,NULL,256,243
667,667,CR,NULL,191,176
668,668,CR,NULL,307,225
669,669,CR,NULL,194,235
670,670,CR,NULL,287,230
672,672,CR,NULL,221,181
673,673,CR,NULL,273,270
674,674,CR,NULL,199,220
675,675,CR,NULL,194,164
677,677,CR,NULL,221,261
678,678,CR,NULL,192,175
679,679,CR,NULL,198,131
680,680,CR,NULL,238,159
681,681,CR,NULL,232,163
682,682,CR,NULL,233,191
683,683,CR,NULL,242,183
685,685,CR,NULL,72,57
686,686,CR,NULL,176,182
687,687,CR,NULL,236,201
688,688,CR,NULL,214,168
689,689,CR,NULL,279,222
690,690,CR,NULL,273,217
691,691,CR,NULL,265,193
692,692,CR,NULL,265,246
693,693,CR,NULL,167,114
694,694,CR,NULL,121,54
695,695,CR,NULL,258,257
696,696,CR,NULL,276,297
697,697,CR,NULL,306,284
698,698,CR,NULL,217,218
699,699,CR,NULL,227,199
700,700,CR,NULL,35,46
710,710,CR,NULL,117,95
720,720,CR,NULL,218,155
900,900,CR,NULL,255,197
903,903,CR,NULL,269,221
905,905,CR,NULL,255,232
910,910,CR,NULL,259,191
912,912,CR,NULL,213,196
913,913,CR,NULL,282,248
914,914,CR,NULL,257,222
917,917,CR,NULL,167,159
920,920,CR,NULL,207,191
925,925,CR,NULL,204,225
930,930,CR,NULL,246,227
935,935,CR,NULL,227,255
940,940,CR,NULL,246,207
947,947,CR,NULL,211,175
950,950,CR,NULL,258,200
951,951,CR,NULL,250,187
953,953,CR,NULL,127,84
957,957,CR,NULL,50,54
958,958,CR,NULL,43,30
959,959,CR,NULL,11,10
960,960,CR,NULL,263,263
961,961,CR,NULL,42,41
962,962,CR,NULL,173,195
963,963,CR,NULL,184,182
964,964,CR,NULL,249,222
965,965,CR,NULL,221,218
966,966,CR,NULL,142,156
967,967,CR,NULL,149,146
968,968,CR,NULL,188,222
969,969,CR,NULL,130,145
985,985,CR,NULL,225,175
