Row Label,PrecinctCode,County,Registered Voters,Casey Salisbury
Total,-1,MA,NULL,14839
PICKERING,113,MA,NULL,382
HARSTINE,114,MA,NULL,591
GRAPEVIEW,115,MA,NULL,497
MASON LAKE,116,MA,NULL,361
FAIR HARBOR,117,MA,NULL,297
ALLYN,118,MA,NULL,700
VICTOR,119,MA,NULL,293
BELFAIR,120,MA,NULL,358
TIGER LAKE,121,MA,NULL,224
DEWATTO,122,MA,NULL,444
TAHUYA,123,MA,NULL,405
SAND HILL,124,MA,NULL,448
TRAIL&#39;S END,125,MA,NULL,433
TWANOH,126,MA,NULL,269
BORDEAUX,205,MA,NULL,74
KAMILCHE POINT,207,MA,NULL,227
UNION,227,MA,NULL,635
SKOKOMISH,228,MA,NULL,85
HOOD CANAL,229,MA,NULL,457
CUSHMAN,230,MA,NULL,503
EELLS,231,MA,NULL,156
MATLOCK,232,MA,NULL,364
DAYTON,233,MA,NULL,336
KAMILCHE,234,MA,NULL,175
ISABELLA,235,MA,NULL,249
AIRPORT,236,MA,NULL,551
JOHN&#39;S PRAIRIE,237,MA,NULL,325
LIMERICK,238,MA,NULL,593
OLYMPIC VIEW,301,MA,NULL,522
DOWNTOWN,302,MA,NULL,344
ANGLESIDE,303,MA,NULL,430
HILLCREST,304,MA,NULL,301
FAWN LAKE,306,MA,NULL,515
ARCADIA,308,MA,NULL,500
MILL CREEK,309,MA,NULL,529
AGATE,310,MA,NULL,403
OAKLAND BAY,311,MA,NULL,334
TIMBERLAKE,312,MA,NULL,514
CALLANAN,339,MA,NULL,15
