Row Label,PrecinctCode,County,Registered Voters,Laura L. Smith
Total,-1,GA,NULL,983
GROUSE-VOTE BY MAIL,101,GA,NULL,2
MAYVIEW-VOTE BY MAIL,102,GA,NULL,43
PATAHA,103,GA,NULL,130
PEOLA-VOTE BY MAIL,104,GA,NULL,10
PING - VOTE BY MAIL,105,GA,NULL,20
PLEASANT-VB MAIL,106,GA,NULL,43
SCOGGIN - VB MAIL,109,GA,NULL,89
TUCANNON - VB MAIL,110,GA,NULL,55
WARD 1,201,GA,NULL,97
WARD 2,202,GA,NULL,177
WARD 3,203,GA,NULL,190
WARD 4,204,GA,NULL,127
