Row Label,PrecinctCode,County,Registered Voters,Norm Johnson,Michael S. Brumback
Total,-1,YA,NULL,13607,10231
0101,101,YA,NULL,77,92
0110,110,YA,NULL,113,115
0113,113,YA,NULL,75,97
0116,116,YA,NULL,254,189
0118,118,YA,NULL,73,74
0120,120,YA,NULL,80,119
0126,126,YA,NULL,77,74
0127,127,YA,NULL,129,163
0129,129,YA,NULL,85,93
0130,130,YA,NULL,127,122
0131,131,YA,NULL,148,152
0132,132,YA,NULL,196,120
0133,133,YA,NULL,338,260
0134,134,YA,NULL,493,290
0138,138,YA,NULL,348,256
0139,139,YA,NULL,317,204
0142,142,YA,NULL,252,219
0153,153,YA,NULL,198,158
0154,154,YA,NULL,215,182
0163,163,YA,NULL,318,182
0167,167,YA,NULL,360,193
0168,168,YA,NULL,353,184
0169,169,YA,NULL,361,206
0170,170,YA,NULL,194,144
0173,173,YA,NULL,162,137
0177,177,YA,NULL,288,230
0179,179,YA,NULL,265,205
0180,180,YA,NULL,171,110
0181,181,YA,NULL,277,241
0182,182,YA,NULL,401,306
0183,183,YA,NULL,291,132
0184,184,YA,NULL,179,158
0185,185,YA,NULL,280,209
0186,186,YA,NULL,337,231
0187,187,YA,NULL,251,181
0188,188,YA,NULL,311,243
0189,189,YA,NULL,172,154
0190,190,YA,NULL,147,118
0701,701,YA,NULL,49,36
1301,1301,YA,NULL,144,73
1901,1901,YA,NULL,80,50
3004,3004,YA,NULL,8,8
3102,3102,YA,NULL,174,135
3203,3203,YA,NULL,309,197
3204,3204,YA,NULL,31,22
3205,3205,YA,NULL,311,242
3208,3208,YA,NULL,31,33
3305,3305,YA,NULL,234,129
3308,3308,YA,NULL,230,163
3309,3309,YA,NULL,131,110
3310,3310,YA,NULL,139,137
3313,3313,YA,NULL,97,53
3605,3605,YA,NULL,379,320
3701,3701,YA,NULL,160,112
3904,3904,YA,NULL,74,66
3905,3905,YA,NULL,61,58
4001,4001,YA,NULL,67,50
4101,4101,YA,NULL,109,60
4102,4102,YA,NULL,215,179
4104,4104,YA,NULL,160,120
4114,4114,YA,NULL,70,65
4115,4115,YA,NULL,135,97
4503,4503,YA,NULL,24,19
4601,4601,YA,NULL,125,76
4609,4609,YA,NULL,98,86
4623,4623,YA,NULL,24,20
4625,4625,YA,NULL,10,2
4626,4626,YA,NULL,10,6
4627,4627,YA,NULL,83,42
4801,4801,YA,NULL,334,295
5003,5003,YA,NULL,213,140
5010,5010,YA,NULL,88,41
5012,5012,YA,NULL,144,148
5014,5014,YA,NULL,207,174
5020,5020,YA,NULL,136,124
