Row Label,PrecinctCode,County,Registered Voters,Ben Kostick
Total,-1,LE,NULL,14067
Adna ,1,LE,NULL,449
Agate,2,LE,NULL,144
Alpha,3,LE,NULL,338
Berwick,4,LE,NULL,387
Big Bottom,5,LE,NULL,272
Boistfort,6,LE,NULL,86
Cinebar,7,LE,NULL,222
Claquato,8,LE,NULL,257
Cowlitz,9,LE,NULL,423
Crego,10,LE,NULL,579
Curtis,11,LE,NULL,90
Drews Prairie,12,LE,NULL,131
Dryad,13,LE,NULL,91
Elk Crk,14,LE,NULL,86
Emery,15,LE,NULL,147
Emery North,16,LE,NULL,2
Ethel,17,LE,NULL,323
Evaline East,18,LE,NULL,99
Evaline West,19,LE,NULL,140
Fair,20,LE,NULL,0
Fords Prairie,21,LE,NULL,285
Forest,22,LE,NULL,291
Greenwood,23,LE,NULL,7
Harmony,24,LE,NULL,252
Independence,25,LE,NULL,50
Jackson,26,LE,NULL,336
Jackson North,27,LE,NULL,0
Kelly,28,LE,NULL,0
Klickitat,29,LE,NULL,159
Lincoln Creek,30,LE,NULL,207
Logan,31,LE,NULL,263
Mauermann,32,LE,NULL,57
Mellen,33,LE,NULL,1
Meskill,34,LE,NULL,47
Mineral,35,LE,NULL,129
Newaukum,36,LE,NULL,243
Onalaska,37,LE,NULL,501
Packwood,38,LE,NULL,71
Paradise,39,LE,NULL,38
Parcuvia,40,LE,NULL,197
Prescott,41,LE,NULL,509
Randle East,42,LE,NULL,231
Randle West,43,LE,NULL,172
Roswell,44,LE,NULL,7
Salkum,45,LE,NULL,223
Salmon Creek,46,LE,NULL,418
Salzer,47,LE,NULL,108
Sears,48,LE,NULL,191
Seminary Hill,49,LE,NULL,130
Silver Creek,50,LE,NULL,246
Skookumchuck,51,LE,NULL,260
Sommerville,52,LE,NULL,46
Stearns Creek,53,LE,NULL,101
Stillwater East,54,LE,NULL,73
Stillwater West,55,LE,NULL,134
Temple,56,LE,NULL,200
Union,57,LE,NULL,205
Urquhart,58,LE,NULL,163
Veness,59,LE,NULL,250
Verndale,60,LE,NULL,243
Whealdon,61,LE,NULL,181
Chehalis #1,201,LE,NULL,203
Chehalis #2,202,LE,NULL,150
Chehalis #3,203,LE,NULL,160
Chehalis #4,204,LE,NULL,150
Chehalis #5,205,LE,NULL,132
Chehalis #6,206,LE,NULL,270
Chehalis #7,207,LE,NULL,47
Chehalis #8,208,LE,NULL,194
Chehalis #9,209,LE,NULL,13
Morton,300,LE,NULL,206
Mossyrock,400,LE,NULL,114
Napavine #1,501,LE,NULL,337
Napavine #2,502,LE,NULL,0
Napavine #3,503,LE,NULL,3
Napavine #4,504,LE,NULL,0
Napavine #5,505,LE,NULL,0
Napavine #6,506,LE,NULL,0
Pe Ell,600,LE,NULL,138
Toledo,700,LE,NULL,140
Vader,800,LE,NULL,99
Winlock,900,LE,NULL,220
