Row Label,PrecinctCode,County,Registered Voters,Bruce Chandler
Total,-1,YA,NULL,18650
0103,103,YA,NULL,126
0104,104,YA,NULL,163
0111,111,YA,NULL,197
0124,124,YA,NULL,71
0140,140,YA,NULL,198
0150,150,YA,NULL,155
0155,155,YA,NULL,317
0156,156,YA,NULL,173
0158,158,YA,NULL,147
0162,162,YA,NULL,192
0175,175,YA,NULL,177
0301,301,YA,NULL,62
0302,302,YA,NULL,198
0303,303,YA,NULL,191
0304,304,YA,NULL,98
0305,305,YA,NULL,9
0306,306,YA,NULL,295
0307,307,YA,NULL,19
0308,308,YA,NULL,0
0501,501,YA,NULL,190
0901,901,YA,NULL,118
1101,1101,YA,NULL,242
1103,1103,YA,NULL,245
1501,1501,YA,NULL,221
1502,1502,YA,NULL,358
1503,1503,YA,NULL,327
1504,1504,YA,NULL,366
1701,1701,YA,NULL,196
1702,1702,YA,NULL,21
1703,1703,YA,NULL,211
1704,1704,YA,NULL,0
1705,1705,YA,NULL,351
1706,1706,YA,NULL,250
1708,1708,YA,NULL,195
2101,2101,YA,NULL,313
2103,2103,YA,NULL,235
2301,2301,YA,NULL,197
2303,2303,YA,NULL,210
2306,2306,YA,NULL,300
2501,2501,YA,NULL,216
2701,2701,YA,NULL,607
3002,3002,YA,NULL,92
3101,3101,YA,NULL,512
3103,3103,YA,NULL,155
3104,3104,YA,NULL,262
3105,3105,YA,NULL,41
3106,3106,YA,NULL,294
3206,3206,YA,NULL,390
3301,3301,YA,NULL,237
3303,3303,YA,NULL,148
3304,3304,YA,NULL,338
3306,3306,YA,NULL,164
3311,3311,YA,NULL,609
3401,3401,YA,NULL,105
3504,3504,YA,NULL,14
3601,3601,YA,NULL,35
3602,3602,YA,NULL,518
3902,3902,YA,NULL,140
4002,4002,YA,NULL,116
4003,4003,YA,NULL,438
4005,4005,YA,NULL,223
4105,4105,YA,NULL,153
4106,4106,YA,NULL,269
4108,4108,YA,NULL,225
4109,4109,YA,NULL,461
4111,4111,YA,NULL,380
4112,4112,YA,NULL,458
4303,4303,YA,NULL,131
4401,4401,YA,NULL,184
4402,4402,YA,NULL,198
4501,4501,YA,NULL,81
4504,4504,YA,NULL,249
4602,4602,YA,NULL,164
4603,4603,YA,NULL,382
4604,4604,YA,NULL,140
4605,4605,YA,NULL,2
4606,4606,YA,NULL,321
4608,4608,YA,NULL,106
4615,4615,YA,NULL,257
4616,4616,YA,NULL,133
4618,4618,YA,NULL,224
4624,4624,YA,NULL,187
4628,4628,YA,NULL,101
4802,4802,YA,NULL,504
5001,5001,YA,NULL,83
5016,5016,YA,NULL,124
5101,5101,YA,NULL,145
5202,5202,YA,NULL,0
