Row Label,PrecinctCode,County,Registered Voters,Vern Spatz
Total,-1,GY,NULL,14872
Taholah 002,2,GY,NULL,164
Quinault 004,4,GY,NULL,112
Neilton 006,6,GY,NULL,58
Pacific Beach 008,8,GY,NULL,151
Moclips 010,10,GY,NULL,19
Ocean City 012,12,GY,NULL,196
Burrows 014,14,GY,NULL,26
Wilderness 016,16,GY,NULL,85
Humptulips 018,18,GY,NULL,42
Axford 020,20,GY,NULL,92
Dekay 022,22,GY,NULL,47
Hoquiam Rural 024,24,GY,NULL,228
Stover 026,26,GY,NULL,45
North Wishkah 028,28,GY,NULL,2
Wishkah 030,30,GY,NULL,195
Cutoff032,32,GY,NULL,76
Coats Landing 034,34,GY,NULL,198
Geissler 036,36,GY,NULL,33
Aberdeen Lake 038,38,GY,NULL,3
Reynvaan 040,40,GY,NULL,89
Wynoochee 042,42,GY,NULL,4
Boundary 044,44,GY,NULL,35
Black Creek 046,46,GY,NULL,342
Brady 048,48,GY,NULL,330
Riviera 050,50,GY,NULL,30
Satsop 052,52,GY,NULL,117
Calder 056,56,GY,NULL,196
Bush 058,58,GY,NULL,369
McCleary Rural 060,60,GY,NULL,278
Porter 062,62,GY,NULL,138
Cedar Creek 064,64,GY,NULL,63
Chehalis 066,66,GY,NULL,4
Blockhouse 068,68,GY,NULL,213
Delezenne 070,70,GY,NULL,259
Melbourne 072,72,GY,NULL,231
Devonshire 074,74,GY,NULL,208
Vesta 076,76,GY,NULL,40
Artic 078,78,GY,NULL,40
Central Park 080,80,GY,NULL,464
Lois Lane 082,82,GY,NULL,88
Blue Slough 084,84,GY,NULL,144
Sierra 086,86,GY,NULL,1
Lund 088,88,GY,NULL,57
Newskah 090,90,GY,NULL,15
Ocosta 092,92,GY,NULL,0
Johns River 094,94,GY,NULL,227
Grayland 096,96,GY,NULL,228
Cohasset 098,98,GY,NULL,147
Aberdeen 111,111,GY,NULL,434
Aberdeen 121,121,GY,NULL,394
Aberdeen 131,131,GY,NULL,549
Aberdeen 132,132,GY,NULL,0
Aberdeen 141,141,GY,NULL,402
Aberdeen 142,142,GY,NULL,308
Aberdeen 151,151,GY,NULL,247
Aberdeen 161,161,GY,NULL,427
Cosmopolis 201,201,GY,NULL,426
Elma 301,301,GY,NULL,167
Elma 302,302,GY,NULL,357
Hoquiam 411,411,GY,NULL,291
Hoquiam 421,421,GY,NULL,236
Hoquiam 431,431,GY,NULL,294
Hoquiam 441,441,GY,NULL,309
Hoquiam 451,451,GY,NULL,226
Hoquiam 461,461,GY,NULL,235
McCleary 501,501,GY,NULL,303
Montesano 601,601,GY,NULL,542
Montesano 602,602,GY,NULL,544
Montesano 603,603,GY,NULL,0
Oakville 701,701,GY,NULL,106
Ocean Shores 801,801,GY,NULL,437
Ocean Shores 802,802,GY,NULL,587
Ocean Shores 803,803,GY,NULL,505
Westport 901,901,GY,NULL,417
