Row Label,PrecinctCode,County,Registered Voters,Jill Landes,Cheryl Potebnya
Total,-1,JE,NULL,7347,6079
101 Gardiner,101,JE,NULL,94,55
102 Port Discovery,102,JE,NULL,111,72
103 Crocker,103,JE,NULL,86,65
104 Cape George,104,JE,NULL,252,211
105 Discovery Bay,105,JE,NULL,261,191
106 North Jacob,106,JE,NULL,194,150
107 South Jacob,107,JE,NULL,269,186
200 Coyle,200,JE,NULL,107,90
201 Quilcene,201,JE,NULL,247,216
204 Brinnon,204,JE,NULL,282,210
300 Chimacum I,300,JE,NULL,158,144
301 Chimacum II,301,JE,NULL,103,84
302 Center I,302,JE,NULL,140,106
303 Hadlock,303,JE,NULL,237,193
304 Kala Point,304,JE,NULL,281,239
305 Irondale I,305,JE,NULL,190,131
306 Irondale II,306,JE,NULL,245,188
307 Four Corners,307,JE,NULL,154,129
308 Center II,308,JE,NULL,97,68
401 Nordland,401,JE,NULL,232,204
500 Port Ludlow,500,JE,NULL,202,251
501 Port Ludlow I,501,JE,NULL,219,337
502 Port Ludlow II,502,JE,NULL,171,169
503 Port Ludlow III,503,JE,NULL,147,158
504 Port Ludlow IV,504,JE,NULL,129,86
505 Port Ludlow V,505,JE,NULL,180,169
600 Hoh,600,JE,NULL,17,11
601 Queets,601,JE,NULL,22,10
700 Port Townsend,700,JE,NULL,257,191
701 Port Townsend,701,JE,NULL,111,108
702 Port Townsend,702,JE,NULL,157,107
703 Port Townsend,703,JE,NULL,183,129
704 Port Townsend,704,JE,NULL,131,90
705 Port Townsend,705,JE,NULL,158,126
706 Port Townsend,706,JE,NULL,383,289
707 Port Townsend,707,JE,NULL,315,272
708 Port Townsend,708,JE,NULL,341,254
709 Port Townsend,709,JE,NULL,283,235
710 Port Townsend,710,JE,NULL,201,155
