Row Label,PrecinctCode,County,Registered Voters,Susan Fagan
Total,-1,GA,NULL,973
GROUSE-VOTE BY MAIL,101,GA,NULL,2
MAYVIEW-VOTE BY MAIL,102,GA,NULL,39
PATAHA,103,GA,NULL,135
PEOLA-VOTE BY MAIL,104,GA,NULL,11
PING - VOTE BY MAIL,105,GA,NULL,16
PLEASANT-VB MAIL,106,GA,NULL,37
SCOGGIN - VB MAIL,109,GA,NULL,88
TUCANNON - VB MAIL,110,GA,NULL,56
WARD 1,201,GA,NULL,100
WARD 2,202,GA,NULL,176
WARD 3,203,GA,NULL,198
WARD 4,204,GA,NULL,115
