Row Label,PrecinctCode,County,Registered Voters,Mary Hall
Total,-1,TH,NULL,54772
Cougar Mountain,28,TH,NULL,57
Clear Lake,30,TH,NULL,353
Lackamas,31,TH,NULL,105
Morris,32,TH,NULL,240
Evergreen Ballroom,33,TH,NULL,284
Trails End,34,TH,NULL,411
Kaiser,35,TH,NULL,117
Rich,36,TH,NULL,169
Delta,38,TH,NULL,0
Jones Beach,39,TH,NULL,135
Simmons 9,42,TH,NULL,4
University North,43,TH,NULL,88
Steamboat Island,44,TH,NULL,205
Rocky Prairie,45,TH,NULL,150
Lawrence Lake,46,TH,NULL,291
Woodard Creek,47,TH,NULL,193
Michigan Hill,48,TH,NULL,113
Scott Lake South,49,TH,NULL,178
Salmon Creek,50,TH,NULL,134
Spurgeon Creek,51,TH,NULL,103
James,52,TH,NULL,175
Vail,53,TH,NULL,277
Rochester 5,54,TH,NULL,236
Rochester 4,55,TH,NULL,173
Medicine Creek,57,TH,NULL,104
Skokomish,58,TH,NULL,192
Pleasant Hill,59,TH,NULL,241
Smith Prairie,60,TH,NULL,250
Black River,62,TH,NULL,316
Ames,63,TH,NULL,209
Airport,64,TH,NULL,18
Luhr Beach,65,TH,NULL,241
Fish Trap,66,TH,NULL,183
Quince,67,TH,NULL,4
Simmons 2,68,TH,NULL,4
Simmons 3,69,TH,NULL,9
Simmons 4,70,TH,NULL,12
Pines,74,TH,NULL,180
Long Lake,75,TH,NULL,60
Hawk Acres,76,TH,NULL,150
Zenkner Valley,77,TH,NULL,50
Tri Lakes,78,TH,NULL,134
University South,79,TH,NULL,128
Tolmie,80,TH,NULL,92
Military,81,TH,NULL,101
Glen Terra,82,TH,NULL,75
Prine,83,TH,NULL,41
Glenwood,84,TH,NULL,92
Greenridge,86,TH,NULL,152
Woodland,88,TH,NULL,195
Tilley,89,TH,NULL,264
Sweet Briar,90,TH,NULL,328
Deerbrush,91,TH,NULL,260
Mushroom Corner,92,TH,NULL,236
Trailblazer,93,TH,NULL,93
Frye Cove,94,TH,NULL,253
Oyster Bay,95,TH,NULL,259
Summit Lake,96,TH,NULL,181
Delridge,97,TH,NULL,63
Marvin,98,TH,NULL,258
Alpine,99,TH,NULL,392
Hewitt Lake,100,TH,NULL,289
Zangle,101,TH,NULL,216
Boston Harbor,102,TH,NULL,303
Gull Harbor,103,TH,NULL,169
Friendly Grove,104,TH,NULL,132
South Bay,105,TH,NULL,260
Puget,106,TH,NULL,269
Bigelow,107,TH,NULL,210
Pleasant Glade,109,TH,NULL,153
Montgomery,110,TH,NULL,118
Nisqually,111,TH,NULL,188
Roosevelt,112,TH,NULL,277
Kinwood,113,TH,NULL,203
Mckinley,114,TH,NULL,82
Forest,115,TH,NULL,326
St Clair,116,TH,NULL,209
Hicks,117,TH,NULL,41
Fleetwood,118,TH,NULL,307
Lydia Hawk,119,TH,NULL,376
Hays,120,TH,NULL,165
Indian Summer,121,TH,NULL,258
Chambers,122,TH,NULL,360
Freedom,123,TH,NULL,304
Fristoe,124,TH,NULL,154
Deschutes,125,TH,NULL,262
Longmire,126,TH,NULL,151
Ruth Prairie,127,TH,NULL,114
Weir Prairie,128,TH,NULL,224
College,129,TH,NULL,41
Bald Hills,130,TH,NULL,75
Hunter Point,131,TH,NULL,145
Griffin,132,TH,NULL,210
Schneiders Prairie,133,TH,NULL,193
Cooper Point,134,TH,NULL,226
Butler Cove,135,TH,NULL,218
Broadway,136,TH,NULL,318
Plainview,139,TH,NULL,375
Mud Bay,140,TH,NULL,225
Mclane,141,TH,NULL,178
Bush Prairie,143,TH,NULL,63
Black Lake,144,TH,NULL,298
Delphi,145,TH,NULL,225
South Union,146,TH,NULL,296
Plumb,147,TH,NULL,241
Scatter Creek,148,TH,NULL,165
Mcintosh,149,TH,NULL,382
Violet Prairie,150,TH,NULL,263
Littlerock,151,TH,NULL,341
Rochester 1,153,TH,NULL,279
Rochester 2,154,TH,NULL,200
Scott Lake North,155,TH,NULL,102
Grand Mound,156,TH,NULL,102
Gibson Valley,157,TH,NULL,25
Skookumchuck,158,TH,NULL,218
Johnson Point,160,TH,NULL,287
Wards,161,TH,NULL,108
Thompson,162,TH,NULL,149
Smith Lake,163,TH,NULL,222
Evergreen Shores,164,TH,NULL,201
Sunwood Lakes,165,TH,NULL,348
Eaton Creek,166,TH,NULL,133
Hawks Ridge,167,TH,NULL,103
Holmes,168,TH,NULL,193
Mcallister Creek,169,TH,NULL,192
Rochester 3,170,TH,NULL,217
Waddell Creek,171,TH,NULL,191
Tykle Cove,172,TH,NULL,231
Camelot,173,TH,NULL,148
French,174,TH,NULL,263
Sunset Beach,175,TH,NULL,287
Henderson,176,TH,NULL,323
Pattison,178,TH,NULL,241
Four Corners,179,TH,NULL,342
Stedman,180,TH,NULL,151
Munn Lake,182,TH,NULL,131
Beach Crest,183,TH,NULL,181
Scheller,184,TH,NULL,102
Fair Oaks,185,TH,NULL,175
Wilderness,186,TH,NULL,313
Mullen,187,TH,NULL,258
Sleater Kinney,189,TH,NULL,203
Lakeside,190,TH,NULL,120
Gallagher Cove,191,TH,NULL,351
East Olympia,192,TH,NULL,217
Berry Valley,193,TH,NULL,190
Hartwood,194,TH,NULL,375
Libby,195,TH,NULL,196
Meadows,196,TH,NULL,175
Summerset,197,TH,NULL,347
Henness,198,TH,NULL,328
Beaver Creek,199,TH,NULL,394
Olympia 01,201,TH,NULL,221
Olympia 02,202,TH,NULL,223
Olympia 03,203,TH,NULL,234
Olympia 04,204,TH,NULL,216
Olympia 05,205,TH,NULL,212
Olympia 06,206,TH,NULL,361
Olympia 07,207,TH,NULL,133
Olympia 08,208,TH,NULL,230
Olympia 09,209,TH,NULL,393
Olympia 10,210,TH,NULL,258
Olympia 11,211,TH,NULL,210
Olympia 12,212,TH,NULL,118
Olympia 13,213,TH,NULL,243
Olympia 14,214,TH,NULL,222
Olympia 15,215,TH,NULL,182
Olympia 16,216,TH,NULL,47
Olympia 17,217,TH,NULL,163
Olympia 18,218,TH,NULL,216
Olympia 19,219,TH,NULL,201
Olympia 20,220,TH,NULL,116
Olympia 21,221,TH,NULL,327
Olympia 23,223,TH,NULL,246
Olympia 24,224,TH,NULL,208
Olympia 25,225,TH,NULL,177
Olympia 26,226,TH,NULL,209
Olympia 27,227,TH,NULL,113
Olympia 28,228,TH,NULL,243
Olympia 29,229,TH,NULL,253
Olympia 30,230,TH,NULL,204
Olympia 31,231,TH,NULL,183
Olympia 32,232,TH,NULL,282
Olympia 35,235,TH,NULL,425
Olympia 36,236,TH,NULL,89
Olympia 37,237,TH,NULL,145
Olympia 38,238,TH,NULL,63
Olympia 39,239,TH,NULL,219
Olympia 40,240,TH,NULL,196
Olympia 41,241,TH,NULL,224
Olympia 42,242,TH,NULL,143
Olympia 43,243,TH,NULL,272
Olympia 44,244,TH,NULL,133
Olympia 45,245,TH,NULL,149
Olympia 46,246,TH,NULL,214
Olympia 47,247,TH,NULL,267
Olympia 48,248,TH,NULL,276
Olympia 49,249,TH,NULL,266
Olympia 50,250,TH,NULL,198
Olympia 51,251,TH,NULL,49
Olympia 52,252,TH,NULL,131
Olympia 53,253,TH,NULL,211
Olympia 54,254,TH,NULL,154
Olympia 55,255,TH,NULL,128
Olympia 56,256,TH,NULL,208
Olympia 57,257,TH,NULL,117
Olympia 58,258,TH,NULL,227
Olympia 59,259,TH,NULL,207
Olympia 60,260,TH,NULL,148
Lacey 01,301,TH,NULL,94
Lacey 02,302,TH,NULL,158
Lacey 03,303,TH,NULL,181
Lacey 04,304,TH,NULL,113
Lacey 05,305,TH,NULL,130
Lacey 06,306,TH,NULL,84
Lacey 07,307,TH,NULL,165
Lacey 08,308,TH,NULL,137
Lacey 09,309,TH,NULL,116
Lacey 10,310,TH,NULL,278
Lacey 11,311,TH,NULL,217
Lacey 13,313,TH,NULL,118
Lacey 14,314,TH,NULL,80
Lacey 15,315,TH,NULL,198
Lacey 16,316,TH,NULL,212
Lacey 17,317,TH,NULL,208
Lacey 18,318,TH,NULL,233
Lacey 19,319,TH,NULL,140
Lacey 20,320,TH,NULL,82
Lacey 21,321,TH,NULL,110
Lacey 22,322,TH,NULL,148
Lacey 23,323,TH,NULL,92
Lacey 24,324,TH,NULL,273
Lacey 27,327,TH,NULL,192
Lacey 28,328,TH,NULL,123
Lacey 29,329,TH,NULL,261
Lacey 30,330,TH,NULL,302
Lacey 31,331,TH,NULL,158
Lacey 32,332,TH,NULL,231
Lacey 33,333,TH,NULL,118
Lacey 34,334,TH,NULL,130
Lacey 35,335,TH,NULL,84
Lacey 36,336,TH,NULL,134
Lacey 37,337,TH,NULL,73
Lacey 39,339,TH,NULL,363
Lacey 40,340,TH,NULL,274
Lacey 41,341,TH,NULL,195
Lacey 42,342,TH,NULL,71
Lacey 43,343,TH,NULL,263
