Row Label,PrecinctCode,County,Registered Voters,Timothy J. Davidson
Total,-1,CZ,NULL,20351
Alabama,1,CZ,NULL,220
Ammons,2,CZ,NULL,218
Arkansas,3,CZ,NULL,137
Bakers,4,CZ,NULL,15
Baltimore,5,CZ,NULL,341
Beacon,6,CZ,NULL,428
Boondox,7,CZ,NULL,12
Brynion,8,CZ,NULL,239
Burcham,9,CZ,NULL,558
Caples,10,CZ,NULL,102
Carrolls,11,CZ,NULL,307
Castle Rock,12,CZ,NULL,417
Chinook,13,CZ,NULL,355
Cloverdale,14,CZ,NULL,244
Coal Creek,15,CZ,NULL,405
Columbia Heights,16,CZ,NULL,185
Columbia Valley Gdns,17,CZ,NULL,232
Crawford,18,CZ,NULL,309
Delameter,19,CZ,NULL,278
Douglas,20,CZ,NULL,251
Elk Ridge,21,CZ,NULL,3
Harris,22,CZ,NULL,293
Haussler,23,CZ,NULL,222
Hillcrest,24,CZ,NULL,540
Hudson,25,CZ,NULL,367
Industrial,26,CZ,NULL,0
Kalama North,27,CZ,NULL,254
Kalama South,28,CZ,NULL,347
Kessler,29,CZ,NULL,417
Lake,30,CZ,NULL,297
Laurel,31,CZ,NULL,394
Lewis River,32,CZ,NULL,369
Lexington,33,CZ,NULL,312
Lone Oak,34,CZ,NULL,182
Magnolia,35,CZ,NULL,518
Marigold,36,CZ,NULL,451
McGowan,37,CZ,NULL,65
Memorial,38,CZ,NULL,219
Mill,39,CZ,NULL,415
Mint Valley,40,CZ,NULL,508
Modrow,41,CZ,NULL,268
Mt. Solo,42,CZ,NULL,95
Nevada,43,CZ,NULL,288
Ocean Beach,44,CZ,NULL,301
Olson,45,CZ,NULL,212
Ostrander,46,CZ,NULL,346
Owl Creek,47,CZ,NULL,403
Pacific,48,CZ,NULL,371
Ponderosa,49,CZ,NULL,275
Powell,50,CZ,NULL,302
Redpath,51,CZ,NULL,257
Ridgecrest,52,CZ,NULL,26
Robbins,53,CZ,NULL,438
Rose Valley,54,CZ,NULL,206
Ryderwood,55,CZ,NULL,141
Sacajawea,56,CZ,NULL,597
Sandy Bend,57,CZ,NULL,303
Silver Lake,58,CZ,NULL,494
Sparks,59,CZ,NULL,195
St. Helens,60,CZ,NULL,165
Stella,61,CZ,NULL,284
Toutle,62,CZ,NULL,384
Tower,63,CZ,NULL,477
Tunstall,64,CZ,NULL,118
View,65,CZ,NULL,217
West Kelso,66,CZ,NULL,91
Willow Grove,67,CZ,NULL,97
Windemere,68,CZ,NULL,464
Woodage,69,CZ,NULL,199
Woodland North,70,CZ,NULL,365
Woodland South,71,CZ,NULL,324
Yale,72,CZ,NULL,222
