Row Label,PrecinctCode,County,Registered Voters,Kim Yacklin,Shoona Riggs
Total,-1,CM,NULL,9338,13571
PORT ANGELES 101,101,CM,NULL,136,207
PORT ANGELES 102,102,CM,NULL,227,278
PORT ANGELES 103,103,CM,NULL,264,320
PORT ANGELES 104,104,CM,NULL,134,246
PORT ANGELES 105,105,CM,NULL,202,290
PORT ANGELES 106,106,CM,NULL,188,250
PORT ANGELES 107,107,CM,NULL,236,321
PORT ANGELES 108,108,CM,NULL,114,146
PORT ANGELES 109,109,CM,NULL,269,350
PORT ANGELES 110,110,CM,NULL,63,62
PORT ANGELES 111,111,CM,NULL,219,356
PORT ANGELES 112,112,CM,NULL,110,205
PORT ANGELES 113,113,CM,NULL,152,195
AGNEW 201,201,CM,NULL,155,203
BEAVER 204,204,CM,NULL,120,156
BELLEVIEW 205,205,CM,NULL,194,266
BELL HILL 207,207,CM,NULL,151,261
BLACK DIAMOND 208,208,CM,NULL,93,201
BLUE MOUNTAIN 209,209,CM,NULL,188,252
BLUFFS 210,210,CM,NULL,89,146
BLYN 211,211,CM,NULL,163,175
BOGACHIEL 212,212,CM,NULL,65,64
CARLSBORG 214,214,CM,NULL,118,188
CLALLAM BAY 215,215,CM,NULL,91,111
CLARK 216,216,CM,NULL,68,93
CLINE 217,217,CM,NULL,184,255
COYOTE 218,218,CM,NULL,193,275
DEER PARK 220,220,CM,NULL,168,304
DIAMOND POINT 221,221,CM,NULL,183,207
DUNGENESS EAST 222,222,CM,NULL,174,321
DUNGENESS WEST 223,223,CM,NULL,90,135
DRY CREEK 224,224,CM,NULL,167,210
EAGLE 226,226,CM,NULL,151,182
ELK 229,229,CM,NULL,50,57
ELWHA 230,230,CM,NULL,42,88
FAIRVIEW 232,232,CM,NULL,159,314
FRESHWATER BAY 233,233,CM,NULL,220,335
HAPPY VALLEY 237,237,CM,NULL,92,125
JAMESTOWN 240,240,CM,NULL,129,145
JOYCE 241,241,CM,NULL,191,312
LOST MOUNTAIN 245,245,CM,NULL,102,154
MILLER PENINSULA 246,246,CM,NULL,83,136
MACLEAY 247,247,CM,NULL,155,274
MADISON CREEK 248,248,CM,NULL,64,111
MONTERRA 249,249,CM,NULL,159,256
MOUNT ANGELES 250,250,CM,NULL,95,179
MOUNT PLEASANT 251,251,CM,NULL,144,261
NEAH BAY 252,252,CM,NULL,111,60
OBRIEN 253,253,CM,NULL,174,212
OLYMPIC 254,254,CM,NULL,119,177
PORT WILLIAMS 258,258,CM,NULL,101,137
PRAIRIE NORTH 259,259,CM,NULL,123,263
PRAIRIE SOUTH 260,260,CM,NULL,177,211
QUILEUTE 262,262,CM,NULL,66,63
RIVERSIDE 265,265,CM,NULL,170,212
ROBIN HILL 266,266,CM,NULL,136,188
SUN 269,269,CM,NULL,60,70
SUNLAND NORTH 270,270,CM,NULL,130,321
SUNLAND SOUTH 271,271,CM,NULL,111,149
FORKS 301,301,CM,NULL,102,100
FORKS 302,302,CM,NULL,146,164
SEQUIM 401,401,CM,NULL,93,134
SEQUIM 402,402,CM,NULL,86,139
SEQUIM 403,403,CM,NULL,176,220
SEQUIM 404,404,CM,NULL,208,333
SEQUIM 405,405,CM,NULL,129,211
SEQUIM 406,406,CM,NULL,116,229
