Row Label,PrecinctCode,County,Registered Voters,Levy Yes,Levy No
Total,-1,GR,NULL,1190,1217
Block 71 003,3,GR,NULL,14,22
George 015,15,GR,NULL,17,20
George Rural 016,16,GR,NULL,207,304
Quincy 1 039,39,GR,NULL,141,129
Quincy 4 040,40,GR,NULL,72,84
Quincy 6 041,41,GR,NULL,290,178
Quincy Rural N 042,42,GR,NULL,118,115
Westslope 1 053,53,GR,NULL,27,64
Westslope 2 059,59,GR,NULL,17,19
Quincy Rural S 064,64,GR,NULL,287,282
