Row Label,PrecinctCode,County,Registered Voters,Harvey Gjesdal
Total,-1,DG,NULL,8084
PRECINCT 101,101,DG,NULL,179
PRECINCT 102,102,DG,NULL,329
PRECINCT 103,103,DG,NULL,70
PRECINCT 104,104,DG,NULL,391
PRECINCT 105,105,DG,NULL,112
PRECINCT 106,106,DG,NULL,145
PRECINCT 107,107,DG,NULL,136
PRECINCT 108,108,DG,NULL,159
PRECINCT 109,109,DG,NULL,116
PRECINCT 110,110,DG,NULL,225
PRECINCT 111,111,DG,NULL,294
PRECINCT 112,112,DG,NULL,178
PRECINCT 113,113,DG,NULL,172
PRECINCT 114,114,DG,NULL,143
PRECINCT 201,201,DG,NULL,189
PRECINCT 202,202,DG,NULL,78
PRECINCT 203,203,DG,NULL,230
PRECINCT 204,204,DG,NULL,253
PRECINCT 205,205,DG,NULL,347
PRECINCT 206,206,DG,NULL,140
PRECINCT 207,207,DG,NULL,297
PRECINCT 208,208,DG,NULL,131
PRECINCT 209,209,DG,NULL,266
PRECINCT 210,210,DG,NULL,90
PRECINCT 211,211,DG,NULL,68
PRECINCT 212,212,DG,NULL,169
PRECINCT 213,213,DG,NULL,147
PRECINCT 214,214,DG,NULL,61
PRECINCT 215,215,DG,NULL,225
PRECINCT 301,301,DG,NULL,346
PRECINCT 302,302,DG,NULL,292
PRECINCT 303,303,DG,NULL,185
PRECINCT 304,304,DG,NULL,52
PRECINCT 305,305,DG,NULL,130
PRECINCT 306,306,DG,NULL,142
PRECINCT 307,307,DG,NULL,39
PRECINCT 308,308,DG,NULL,43
PRECINCT 309,309,DG,NULL,69
PRECINCT 310,310,DG,NULL,100
PRECINCT 311,311,DG,NULL,117
PRECINCT 312,312,DG,NULL,156
PRECINCT 313,313,DG,NULL,53
PRECINCT 314,314,DG,NULL,38
PRECINCT 315,315,DG,NULL,288
PRECINCT 316,316,DG,NULL,249
PRECINCT 317,317,DG,NULL,365
PRECINCT 318,318,DG,NULL,80
