Row Label,PrecinctCode,County,Registered Voters,Kay M. Holland 
Total,-1,WK,NULL,1370
01 - DEEP RIVER,1,WK,NULL,72
02 - GRAYS RIVER,2,WK,NULL,89
03 - ROSBURG / ALTOONA,3,WK,NULL,110
04 - SKAMOKAWA,4,WK,NULL,126
05 - ELOCHOMAN,5,WK,NULL,196
06 - ROSEDALE,6,WK,NULL,111
07 - COLUMBIA,7,WK,NULL,170
08 - EAST PUGET ISLAND,8,WK,NULL,111
09 - WEST PUGET ISLAND,9,WK,NULL,215
10 - SOUTH CATHLAMET,10,WK,NULL,113
11 - NORTH CATHLAMET,11,WK,NULL,57
