Row Label,PrecinctCode,County,Registered Voters,Chris Bugbee,Sara B. Derr
Total,-1,SP,NULL,49925,66914
PCT 3000(*),3000,SP,NULL,0,0
PCT 3100(*),3100,SP,NULL,0,0
PCT 3101,3101,SP,NULL,107,147
PCT 3102,3102,SP,NULL,78,125
PCT 3103,3103,SP,NULL,99,136
PCT 3104,3104,SP,NULL,127,207
PCT 3105,3105,SP,NULL,98,186
PCT 3106,3106,SP,NULL,129,166
PCT 3107,3107,SP,NULL,113,213
PCT 3108,3108,SP,NULL,101,143
PCT 3109,3109,SP,NULL,112,171
PCT 3110,3110,SP,NULL,102,147
PCT 3111,3111,SP,NULL,84,156
PCT 3112,3112,SP,NULL,9,8
PCT 3113,3113,SP,NULL,152,203
PCT 3114,3114,SP,NULL,147,202
PCT 3115,3115,SP,NULL,144,187
PCT 3116,3116,SP,NULL,146,207
PCT 3117,3117,SP,NULL,98,145
PCT 3118,3118,SP,NULL,92,140
PCT 3119,3119,SP,NULL,116,160
PCT 3120,3120,SP,NULL,116,214
PCT 3121,3121,SP,NULL,131,170
PCT 3122,3122,SP,NULL,149,217
PCT 3123,3123,SP,NULL,102,190
PCT 3124,3124,SP,NULL,132,189
PCT 3125,3125,SP,NULL,109,175
PCT 3126,3126,SP,NULL,31,40
PCT 3127,3127,SP,NULL,90,195
PCT 3128,3128,SP,NULL,113,203
PCT 3200,3200,SP,NULL,95,160
PCT 3201,3201,SP,NULL,153,259
PCT 3202,3202,SP,NULL,94,133
PCT 3203,3203,SP,NULL,145,199
PCT 3204,3204,SP,NULL,115,149
PCT 3205,3205,SP,NULL,126,176
PCT 3206,3206,SP,NULL,108,171
PCT 3207,3207,SP,NULL,74,107
PCT 3208,3208,SP,NULL,155,209
PCT 3209,3209,SP,NULL,183,258
PCT 3210,3210,SP,NULL,138,192
PCT 3211,3211,SP,NULL,161,189
PCT 3212,3212,SP,NULL,134,148
PCT 3213,3213,SP,NULL,194,220
PCT 3214,3214,SP,NULL,168,204
PCT 3215,3215,SP,NULL,97,129
PCT 3216,3216,SP,NULL,216,270
