Row Label,PrecinctCode,County,Registered Voters,Dawn M. Bettinger,Janet Garrow
Total,-1,KI,NULL,1617,2486
Total,-1,KI,NULL,1617,2486
BOTHELL 31,10141598,SN,NULL,92,184
BOTHELL 32,10141599,SN,NULL,70,114
BOTHELL 33,10141600,SN,NULL,105,133
BOTHELL 34,10141601,SN,NULL,98,187
BOTHELL 35,10141602,SN,NULL,95,123
BOTHELL 36,10141603,SN,NULL,91,136
BOTHELL 37,10141604,SN,NULL,135,179
BOTHELL 38,10141605,SN,NULL,97,147
BOTHELL 39,10141606,SN,NULL,62,133
BOTHELL 40,10141607,SN,NULL,118,162
BOTHELL 41,10141608,SN,NULL,115,172
BOTHELL 42,10141609,SN,NULL,115,202
BOTHELL 43,10141610,SN,NULL,81,105
BOTHELL 44,10141611,SN,NULL,76,125
BOTHELL 45,10141612,SN,NULL,48,83
BOTHELL 46,10141613,SN,NULL,118,131
BOTHELL 47,10141644,SN,NULL,101,170
