Row Label,PrecinctCode,County,Registered Voters,Richard Reierson,Gregory J. Tripp
Total,-1,SP,NULL,28985,85761
PCT 3000(*),3000,SP,NULL,0,0
PCT 3100(*),3100,SP,NULL,0,0
PCT 3101,3101,SP,NULL,69,182
PCT 3102,3102,SP,NULL,65,133
PCT 3103,3103,SP,NULL,45,188
PCT 3104,3104,SP,NULL,94,234
PCT 3105,3105,SP,NULL,63,213
PCT 3106,3106,SP,NULL,84,209
PCT 3107,3107,SP,NULL,95,230
PCT 3108,3108,SP,NULL,60,178
PCT 3109,3109,SP,NULL,78,203
PCT 3110,3110,SP,NULL,76,169
PCT 3111,3111,SP,NULL,69,174
PCT 3112,3112,SP,NULL,7,11
PCT 3113,3113,SP,NULL,90,260
PCT 3114,3114,SP,NULL,120,218
PCT 3115,3115,SP,NULL,79,239
PCT 3116,3116,SP,NULL,117,224
PCT 3117,3117,SP,NULL,70,170
PCT 3118,3118,SP,NULL,69,154
PCT 3119,3119,SP,NULL,80,201
PCT 3120,3120,SP,NULL,83,236
PCT 3121,3121,SP,NULL,80,213
PCT 3122,3122,SP,NULL,87,268
PCT 3123,3123,SP,NULL,83,195
PCT 3124,3124,SP,NULL,105,206
PCT 3125,3125,SP,NULL,84,187
PCT 3126,3126,SP,NULL,19,51
PCT 3127,3127,SP,NULL,76,199
PCT 3128,3128,SP,NULL,87,222
PCT 3200,3200,SP,NULL,52,202
PCT 3201,3201,SP,NULL,110,283
PCT 3202,3202,SP,NULL,63,154
PCT 3203,3203,SP,NULL,109,228
PCT 3204,3204,SP,NULL,56,193
PCT 3205,3205,SP,NULL,61,240
PCT 3206,3206,SP,NULL,72,201
PCT 3207,3207,SP,NULL,49,130
PCT 3208,3208,SP,NULL,88,251
PCT 3209,3209,SP,NULL,125,316
PCT 3210,3210,SP,NULL,72,247
PCT 3211,3211,SP,NULL,55,289
PCT 3212,3212,SP,NULL,41,256
PCT 3213,3213,SP,NULL,96,337
PCT 3214,3214,SP,NULL,57,319
PCT 3215,3215,SP,NULL,55,174
PCT 3216,3216,SP,NULL,122,342
PCT 3217,3217,SP,NULL,113,349
PCT 3218,3218,SP,NULL,80,369
PCT 3219,3219,SP,NULL,62,310
PCT 3220,3220,SP,NULL,100,348
PCT 3221,3221,SP,NULL,117,296
PCT 3222,3222,SP,NULL,43,141
PCT 3223,3223,SP,NULL,58,190
PCT 3300,3300,SP,NULL,76,252
PCT 3301,3301,SP,NULL,114,399
PCT 3302,3302,SP,NULL,97,280
PCT 3303,3303,SP,NULL,105,263
PCT 3304,3304,SP,NULL,95,287
PCT 3305,3305,SP,NULL,79,221
PCT 3306,3306,SP,NULL,90,280
PCT 3307,3307,SP,NULL,57,205
PCT 3308,3308,SP,NULL,114,250
PCT 3309,3309,SP,NULL,81,284
PCT 3310,3310,SP,NULL,111,271
PCT 3311,3311,SP,NULL,55,184
PCT 3312,3312,SP,NULL,104,337
PCT 3313,3313,SP,NULL,137,348
PCT 3314,3314,SP,NULL,88,227
PCT 3315,3315,SP,NULL,97,291
PCT 3316,3316,SP,NULL,84,341
PCT 3317,3317,SP,NULL,121,382
PCT 3318,3318,SP,NULL,77,273
PCT 3319,3319,SP,NULL,80,236
PCT 3320,3320,SP,NULL,56,229
PCT 3321,3321,SP,NULL,84,285
PCT 3322,3322,SP,NULL,75,221
PCT 3323,3323,SP,NULL,88,282
PCT 3324,3324,SP,NULL,93,260
PCT 3325,3325,SP,NULL,112,323
PCT 3326,3326,SP,NULL,40,108
PCT 3327,3327,SP,NULL,67,185
PCT 3328,3328,SP,NULL,95,264
PCT 3329,3329,SP,NULL,67,219
PCT 4001,4001,SP,NULL,81,194
PCT 4002,4002,SP,NULL,108,260
PCT 4003,4003,SP,NULL,162,385
PCT 4004,4004,SP,NULL,84,329
PCT 4005,4005,SP,NULL,64,250
PCT 4006,4006,SP,NULL,108,362
PCT 4007,4007,SP,NULL,75,194
PCT 4008,4008,SP,NULL,64,215
PCT 4009,4009,SP,NULL,80,295
PCT 4010,4010,SP,NULL,90,266
PCT 4011,4011,SP,NULL,131,382
PCT 4012,4012,SP,NULL,134,428
PCT 4013,4013,SP,NULL,82,261
PCT 4014,4014,SP,NULL,73,205
PCT 4015,4015,SP,NULL,57,222
PCT 4016,4016,SP,NULL,87,282
PCT 4017,4017,SP,NULL,127,346
PCT 4018,4018,SP,NULL,65,194
PCT 4019,4019,SP,NULL,78,219
PCT 4020,4020,SP,NULL,120,300
PCT 4021,4021,SP,NULL,105,315
PCT 4022,4022,SP,NULL,81,251
PCT 4023,4023,SP,NULL,26,127
PCT 4024,4024,SP,NULL,54,214
PCT 4025,4025,SP,NULL,71,264
PCT 4026,4026,SP,NULL,87,216
PCT 4027,4027,SP,NULL,77,262
PCT 4028,4028,SP,NULL,129,356
PCT 4029,4029,SP,NULL,78,277
PCT 4030,4030,SP,NULL,51,202
PCT 4031,4031,SP,NULL,65,225
PCT 4032,4032,SP,NULL,77,162
PCT 4033,4033,SP,NULL,76,213
PCT 4034,4034,SP,NULL,79,215
PCT 4035,4035,SP,NULL,70,166
PCT 4200,4200,SP,NULL,87,209
PCT 4201,4201,SP,NULL,56,122
PCT 4300,4300,SP,NULL,72,220
PCT 4301,4301,SP,NULL,54,133
PCT 4302,4302,SP,NULL,109,245
PCT 4303,4303,SP,NULL,83,288
PCT 4304,4304,SP,NULL,65,190
PCT 4305,4305,SP,NULL,55,177
PCT 4306,4306,SP,NULL,82,273
PCT 4307,4307,SP,NULL,26,49
PCT 4400,4400,SP,NULL,123,255
PCT 4401,4401,SP,NULL,108,324
PCT 4402,4402,SP,NULL,109,268
PCT 4403,4403,SP,NULL,106,332
PCT 4404,4404,SP,NULL,103,325
PCT 4405,4405,SP,NULL,136,321
PCT 4406,4406,SP,NULL,114,255
PCT 4407,4407,SP,NULL,108,291
PCT 4408,4408,SP,NULL,95,397
PCT 4409,4409,SP,NULL,134,417
PCT 4410,4410,SP,NULL,100,315
PCT 4411,4411,SP,NULL,111,314
PCT 4412,4412,SP,NULL,68,242
PCT 4413,4413,SP,NULL,115,282
PCT 4414,4414,SP,NULL,121,357
PCT 4415,4415,SP,NULL,75,238
PCT 4416,4416,SP,NULL,107,275
PCT 4417,4417,SP,NULL,67,190
PCT 4418,4418,SP,NULL,92,291
PCT 4419,4419,SP,NULL,125,281
PCT 4420,4420,SP,NULL,52,132
PCT 4421,4421,SP,NULL,86,214
PCT 4422,4422,SP,NULL,109,299
PCT 4423,4423,SP,NULL,150,365
PCT 4424,4424,SP,NULL,85,283
PCT 4425,4425,SP,NULL,77,212
PCT 4426,4426,SP,NULL,49,167
