Row Label,PrecinctCode,County,Registered Voters,Mary Yu
TWIN SPITS 417,100417,KP,NULL,358
S&#39;KLALLAM 418,100418,KP,NULL,36
POINT JEFFERSON 419,100419,KP,NULL,259
INDIANOLA 420,100420,KP,NULL,448
ORCA 421,100421,KP,NULL,245
APPLE TREE 422,100422,KP,NULL,362
HIGHLAND 423,100423,KP,NULL,195
KEYPORT 425,100425,KP,NULL,393
EVERGREEN RIDGE 426,100426,KP,NULL,131
ISLAND LAKE 427,100427,KP,NULL,320
KINGSTON 430,100430,KP,NULL,493
LEMOLO 435,100435,KP,NULL,277
LINCOLN 440,100440,KP,NULL,265
BIG VALLEY 441,100441,KP,NULL,236
LOFALL 442,100442,KP,NULL,464
PEARSON 445,100445,KP,NULL,443
PORT GAMBLE 450,100450,KP,NULL,331
STRIEBEL 453,100453,KP,NULL,309
GAMBLEWOOD 454,100454,KP,NULL,220
SCANDIA 455,100455,KP,NULL,325
MILLER BAY 458,100458,KP,NULL,396
SUQUAMISH 460,100460,KP,NULL,272
AUGUSTA 461,100461,KP,NULL,208
TOTTEN 463,100463,KP,NULL,292
SANDY HOOK 464,100464,KP,NULL,240
