Row Label,PrecinctCode,County,Registered Voters,Donna Wilson
Total,-1,SP,NULL,93958
PCT 3000,3000,SP,NULL,4
PCT 3100,3100,SP,NULL,266
PCT 3101,3101,SP,NULL,226
PCT 3102,3102,SP,NULL,166
PCT 3103,3103,SP,NULL,208
PCT 3104,3104,SP,NULL,291
PCT 3105,3105,SP,NULL,245
PCT 3106,3106,SP,NULL,257
PCT 3107,3107,SP,NULL,286
PCT 3108,3108,SP,NULL,209
PCT 3109,3109,SP,NULL,239
PCT 3110,3110,SP,NULL,216
PCT 3111,3111,SP,NULL,216
PCT 3112,3112,SP,NULL,17
PCT 3113,3113,SP,NULL,303
PCT 3114,3114,SP,NULL,298
PCT 3115,3115,SP,NULL,280
PCT 3116,3116,SP,NULL,285
PCT 3117,3117,SP,NULL,212
PCT 3118,3118,SP,NULL,191
PCT 3119,3119,SP,NULL,242
PCT 3120,3120,SP,NULL,275
PCT 3121,3121,SP,NULL,245
PCT 3122,3122,SP,NULL,303
PCT 3123,3123,SP,NULL,242
PCT 3124,3124,SP,NULL,282
PCT 3125,3125,SP,NULL,240
PCT 3126,3126,SP,NULL,57
PCT 3127,3127,SP,NULL,250
PCT 3128,3128,SP,NULL,270
PCT 3200,3200,SP,NULL,220
PCT 3201,3201,SP,NULL,309
PCT 3202,3202,SP,NULL,183
PCT 3203,3203,SP,NULL,268
PCT 3204,3204,SP,NULL,200
PCT 3205,3205,SP,NULL,246
PCT 3206,3206,SP,NULL,209
PCT 3207,3207,SP,NULL,141
PCT 3208,3208,SP,NULL,292
PCT 3209,3209,SP,NULL,364
PCT 3210,3210,SP,NULL,247
PCT 3211,3211,SP,NULL,241
PCT 3212,3212,SP,NULL,198
PCT 3213,3213,SP,NULL,317
PCT 3214,3214,SP,NULL,263
PCT 3215,3215,SP,NULL,160
PCT 3216,3216,SP,NULL,338
PCT 3217,3217,SP,NULL,378
PCT 3218,3218,SP,NULL,318
PCT 3219,3219,SP,NULL,274
PCT 3220,3220,SP,NULL,331
PCT 3221,3221,SP,NULL,322
PCT 3222,3222,SP,NULL,142
PCT 3223,3223,SP,NULL,189
PCT 3300,3300,SP,NULL,259
PCT 3301,3301,SP,NULL,418
PCT 3302,3302,SP,NULL,311
PCT 3303,3303,SP,NULL,300
PCT 3304,3304,SP,NULL,315
PCT 3305,3305,SP,NULL,223
PCT 3306,3306,SP,NULL,301
PCT 3307,3307,SP,NULL,220
PCT 3308,3308,SP,NULL,309
PCT 3309,3309,SP,NULL,302
PCT 3310,3310,SP,NULL,300
PCT 3311,3311,SP,NULL,201
PCT 3312,3312,SP,NULL,376
PCT 3313,3313,SP,NULL,401
PCT 3314,3314,SP,NULL,264
PCT 3315,3315,SP,NULL,343
PCT 3316,3316,SP,NULL,342
PCT 3317,3317,SP,NULL,405
PCT 3318,3318,SP,NULL,278
PCT 3319,3319,SP,NULL,245
PCT 3320,3320,SP,NULL,228
PCT 3321,3321,SP,NULL,286
PCT 3322,3322,SP,NULL,250
PCT 3323,3323,SP,NULL,293
PCT 3324,3324,SP,NULL,301
PCT 3325,3325,SP,NULL,360
PCT 3326,3326,SP,NULL,138
PCT 3327,3327,SP,NULL,210
PCT 3328,3328,SP,NULL,288
PCT 3329,3329,SP,NULL,245
PCT 4001,4001,SP,NULL,246
PCT 4002,4002,SP,NULL,288
PCT 4003,4003,SP,NULL,441
PCT 4004,4004,SP,NULL,316
PCT 4005,4005,SP,NULL,238
PCT 4006,4006,SP,NULL,402
PCT 4007,4007,SP,NULL,231
PCT 4008,4008,SP,NULL,214
PCT 4009,4009,SP,NULL,277
PCT 4010,4010,SP,NULL,297
PCT 4011,4011,SP,NULL,380
PCT 4012,4012,SP,NULL,453
PCT 4013,4013,SP,NULL,278
PCT 4014,4014,SP,NULL,213
PCT 4015,4015,SP,NULL,206
PCT 4016,4016,SP,NULL,324
PCT 4017,4017,SP,NULL,396
PCT 4018,4018,SP,NULL,224
PCT 4019,4019,SP,NULL,253
PCT 4020,4020,SP,NULL,353
PCT 4021,4021,SP,NULL,356
PCT 4022,4022,SP,NULL,272
PCT 4023,4023,SP,NULL,124
PCT 4024,4024,SP,NULL,212
PCT 4025,4025,SP,NULL,283
PCT 4026,4026,SP,NULL,268
PCT 4027,4027,SP,NULL,290
PCT 4028,4028,SP,NULL,399
PCT 4029,4029,SP,NULL,278
PCT 4030,4030,SP,NULL,215
PCT 4031,4031,SP,NULL,236
PCT 4032,4032,SP,NULL,180
PCT 4033,4033,SP,NULL,226
PCT 4034,4034,SP,NULL,247
PCT 4035,4035,SP,NULL,208
PCT 4200,4200,SP,NULL,237
PCT 4201,4201,SP,NULL,153
PCT 4300,4300,SP,NULL,233
PCT 4301,4301,SP,NULL,160
PCT 4302,4302,SP,NULL,321
PCT 4303,4303,SP,NULL,292
PCT 4304,4304,SP,NULL,221
PCT 4305,4305,SP,NULL,210
PCT 4306,4306,SP,NULL,277
PCT 4307,4307,SP,NULL,71
PCT 4400,4400,SP,NULL,311
PCT 4401,4401,SP,NULL,334
PCT 4402,4402,SP,NULL,332
PCT 4403,4403,SP,NULL,387
PCT 4404,4404,SP,NULL,371
PCT 4405,4405,SP,NULL,390
PCT 4406,4406,SP,NULL,325
PCT 4407,4407,SP,NULL,330
PCT 4408,4408,SP,NULL,387
PCT 4409,4409,SP,NULL,439
PCT 4410,4410,SP,NULL,344
PCT 4411,4411,SP,NULL,330
PCT 4412,4412,SP,NULL,247
PCT 4413,4413,SP,NULL,334
PCT 4414,4414,SP,NULL,401
PCT 4415,4415,SP,NULL,263
PCT 4416,4416,SP,NULL,329
PCT 4417,4417,SP,NULL,228
PCT 4418,4418,SP,NULL,333
PCT 4419,4419,SP,NULL,350
PCT 4420,4420,SP,NULL,154
PCT 4421,4421,SP,NULL,256
PCT 4422,4422,SP,NULL,356
PCT 4423,4423,SP,NULL,431
PCT 4424,4424,SP,NULL,300
PCT 4425,4425,SP,NULL,257
PCT 4426,4426,SP,NULL,185
PCT 4427,4427,SP,NULL,402
PCT 4428,4428,SP,NULL,228
PCT 4429,4429,SP,NULL,349
PCT 4430,4430,SP,NULL,363
PCT 4431,4431,SP,NULL,283
PCT 4432,4432,SP,NULL,326
PCT 4433,4433,SP,NULL,231
PCT 4434,4434,SP,NULL,437
PCT 4435,4435,SP,NULL,356
PCT 4436,4436,SP,NULL,429
PCT 4437,4437,SP,NULL,397
PCT 4438,4438,SP,NULL,458
PCT 4439,4439,SP,NULL,348
PCT 4440,4440,SP,NULL,345
PCT 4441,4441,SP,NULL,256
PCT 4442,4442,SP,NULL,233
PCT 4443,4443,SP,NULL,184
PCT 4444,4444,SP,NULL,349
PCT 4445,4445,SP,NULL,290
PCT 4446,4446,SP,NULL,201
