Row Label,PrecinctCode,County,Registered Voters,Edward Putka
Total,-1,CZ,NULL,19258
Alabama,1,CZ,NULL,216
Ammons,2,CZ,NULL,210
Arkansas,3,CZ,NULL,125
Bakers,4,CZ,NULL,13
Baltimore,5,CZ,NULL,306
Beacon,6,CZ,NULL,398
Boondox,7,CZ,NULL,10
Brynion,8,CZ,NULL,215
Burcham,9,CZ,NULL,528
Caples,10,CZ,NULL,100
Carrolls,11,CZ,NULL,303
Castle Rock,12,CZ,NULL,386
Chinook,13,CZ,NULL,331
Cloverdale,14,CZ,NULL,238
Coal Creek,15,CZ,NULL,381
Columbia Heights,16,CZ,NULL,188
Columbia Valley Gdns,17,CZ,NULL,221
Crawford,18,CZ,NULL,296
Delameter,19,CZ,NULL,263
Douglas,20,CZ,NULL,233
Elk Ridge,21,CZ,NULL,3
Harris,22,CZ,NULL,255
Haussler,23,CZ,NULL,202
Hillcrest,24,CZ,NULL,523
Hudson,25,CZ,NULL,350
Industrial,26,CZ,NULL,0
Kalama North,27,CZ,NULL,249
Kalama South,28,CZ,NULL,333
Kessler,29,CZ,NULL,380
Lake,30,CZ,NULL,266
Laurel,31,CZ,NULL,364
Lewis River,32,CZ,NULL,350
Lexington,33,CZ,NULL,292
Lone Oak,34,CZ,NULL,168
Magnolia,35,CZ,NULL,465
Marigold,36,CZ,NULL,420
McGowan,37,CZ,NULL,59
Memorial,38,CZ,NULL,207
Mill,39,CZ,NULL,397
Mint Valley,40,CZ,NULL,485
Modrow,41,CZ,NULL,267
Mt. Solo,42,CZ,NULL,91
Nevada,43,CZ,NULL,275
Ocean Beach,44,CZ,NULL,289
Olson,45,CZ,NULL,201
Ostrander,46,CZ,NULL,321
Owl Creek,47,CZ,NULL,384
Pacific,48,CZ,NULL,343
Ponderosa,49,CZ,NULL,265
Powell,50,CZ,NULL,270
Redpath,51,CZ,NULL,245
Ridgecrest,52,CZ,NULL,20
Robbins,53,CZ,NULL,421
Rose Valley,54,CZ,NULL,194
Ryderwood,55,CZ,NULL,136
Sacajawea,56,CZ,NULL,570
Sandy Bend,57,CZ,NULL,281
Silver Lake,58,CZ,NULL,482
Sparks,59,CZ,NULL,188
St. Helens,60,CZ,NULL,159
Stella,61,CZ,NULL,270
Toutle,62,CZ,NULL,374
Tower,63,CZ,NULL,432
Tunstall,64,CZ,NULL,113
View,65,CZ,NULL,206
West Kelso,66,CZ,NULL,93
Willow Grove,67,CZ,NULL,94
Windemere,68,CZ,NULL,421
Woodage,69,CZ,NULL,208
Woodland North,70,CZ,NULL,379
Woodland South,71,CZ,NULL,322
Yale,72,CZ,NULL,215
