Row Label,PrecinctCode,County,Registered Voters,Obie O'Brien,Steve Verhey
Total,-1,KS,NULL,7291,4672
CLE ELUM 1,1,KS,NULL,104,75
CLE ELUM 2,2,KS,NULL,73,31
CLE ELUM 3,3,KS,NULL,31,34
CLE ELUM 4,4,KS,NULL,157,88
DENMARK,5,KS,NULL,278,170
EAST SANDERS,6,KS,NULL,225,107
EASTON,7,KS,NULL,224,113
ELLENSBURG 1,8,KS,NULL,18,30
ELLENSBURG 2,9,KS,NULL,21,57
ELLENSBURG 4,11,KS,NULL,18,28
ELLENSBURG 5,12,KS,NULL,40,53
ELLENSBURG 6,13,KS,NULL,26,39
ELLENSBURG 7,14,KS,NULL,33,21
ELLENSBURG 8,15,KS,NULL,42,41
ELLENSBURG 9,16,KS,NULL,41,52
ELLENSBURG 10,17,KS,NULL,60,86
ELLENSBURG 11,18,KS,NULL,53,84
ELLENSBURG 12,19,KS,NULL,54,76
ELLENSBURG 13,20,KS,NULL,53,52
ELLENSBURG 14,21,KS,NULL,67,70
ELLENSBURG 15,22,KS,NULL,93,70
ELLENSBURG 16,23,KS,NULL,133,105
ELLENSBURG 17,24,KS,NULL,103,105
ELLENSBURG 18,25,KS,NULL,13,20
ELLENSBURG 19,26,KS,NULL,150,158
ELLENSBURG 20,27,KS,NULL,38,48
ELLENSBURG 21,28,KS,NULL,68,58
ELLENSBURG 22,29,KS,NULL,118,61
ELLENSBURG 23,30,KS,NULL,118,99
ELLENSBURG 24,31,KS,NULL,231,155
HYAK,32,KS,NULL,58,31
KITTITAS 1,33,KS,NULL,94,45
MANASTASH,34,KS,NULL,172,103
MOUNTAIN,35,KS,NULL,92,45
NORTH CENTRAL,36,KS,NULL,169,97
NORTH ELLENSBURG,37,KS,NULL,282,146
PARK,38,KS,NULL,228,100
PEOH POINT,39,KS,NULL,222,90
RIDGEWAY,40,KS,NULL,309,187
ROSLYN 1,41,KS,NULL,70,98
ROSLYN 2,42,KS,NULL,57,90
DRY CREEK,43,KS,NULL,258,127
WESTSIDE,44,KS,NULL,251,138
ROSLYN OUTLYING,45,KS,NULL,39,14
SANDERS,46,KS,NULL,98,48
SOUTH CLE ELUM,47,KS,NULL,116,53
SOUTH ELLENSBURG,48,KS,NULL,267,162
SWAUK,50,KS,NULL,132,54
TEANAWAY,51,KS,NULL,196,97
THORP,52,KS,NULL,197,108
VANTAGE,53,KS,NULL,17,8
FAIRVIEW,54,KS,NULL,142,63
NORTHEAST FAIRVIEW,55,KS,NULL,223,109
THRALL,56,KS,NULL,204,107
DAMMAN,58,KS,NULL,218,112
KACHESS,59,KS,NULL,67,36
KITTITAS 2,60,KS,NULL,110,41
ELLENSBURG 25,61,KS,NULL,231,125
RONALD,62,KS,NULL,89,52
