Row Label,PrecinctCode,County,Registered Voters,Mary E. Fairhurst
Total,-1,FE,NULL,1755
BELCHER,101,FE,NULL,55
BOYDS,102,FE,NULL,90
CURLEW,103,FE,NULL,19
HALL CREEK,104,FE,NULL,65
INCHELIUM,105,FE,NULL,57
KELLER,106,FE,NULL,86
KETTLE RIVER,107,FE,NULL,125
KEWA,108,FE,NULL,73
LAMBERT,109,FE,NULL,47
MALO,110,FE,NULL,109
ORIENT,111,FE,NULL,75
REPUBLIC 1,112,FE,NULL,131
REPUBLIC 2,113,FE,NULL,118
SAN POIL,114,FE,NULL,141
SHERMAN,115,FE,NULL,138
SOUTH LAKE,116,FE,NULL,90
STORM KING,117,FE,NULL,125
TORODA,118,FE,NULL,48
TROUT CREEK,119,FE,NULL,163
