Row Label,PrecinctCode,County,Registered Voters,Shelly Short,James R. Apker
Total,-1,PE,NULL,3411,1120
Camden,1,PE,NULL,130,44
Cusick,2,PE,NULL,92,34
Dalkena,3,PE,NULL,203,61
Diamond Lk East,4,PE,NULL,74,28
Fertile Valley North,5,PE,NULL,125,34
Furport,6,PE,NULL,172,51
Ione East,7,PE,NULL,123,28
Ione West,8,PE,NULL,152,46
Metaline,9,PE,NULL,78,17
Metaline Falls,10,PE,NULL,125,41
Tiger Dry Canyon,11,PE,NULL,201,74
Newport NE,12,PE,NULL,166,62
Newport SE,13,PE,NULL,83,27
Newport NW,14,PE,NULL,164,45
Newport SW,15,PE,NULL,127,42
Noble,16,PE,NULL,226,82
Ruby,17,PE,NULL,18,8
Sacheen,18,PE,NULL,158,68
Usk,19,PE,NULL,145,29
Diamond Lk West,20,PE,NULL,117,43
Deer Valley North,21,PE,NULL,147,54
Locke,22,PE,NULL,26,13
Kalispel Leclerc,23,PE,NULL,110,31
Skookum,24,PE,NULL,40,19
Deer Valley South,25,PE,NULL,45,19
Fertile Valley South,26,PE,NULL,109,43
Diamond Lk,27,PE,NULL,255,77
