Row Label,PrecinctCode,County,Registered Voters,Cathy McMorris Rodgers,Joseph (Joe) Pakootas
Total,-1,WL,NULL,10603,6012
Alderbrook 01,1,WL,NULL,145,86
Alder 02,2,WL,NULL,98,73
Ash 03,3,WL,NULL,272,155
Baumeister 04,4,WL,NULL,245,167
Birch 05,5,WL,NULL,133,134
Clark 06,6,WL,NULL,79,110
College 07,7,WL,NULL,104,183
Edison 08,8,WL,NULL,155,119
Garfield 09,9,WL,NULL,170,143
Green Park 10,10,WL,NULL,85,133
Henderson 11,11,WL,NULL,160,128
Isaacs 12,12,WL,NULL,104,101
Jefferson 13,13,WL,NULL,368,215
Maple 16,16,WL,NULL,284,287
Marcus 17,17,WL,NULL,461,216
Monroe 18,18,WL,NULL,413,237
Paine 20,20,WL,NULL,77,73
Pine 21,21,WL,NULL,108,68
Pleasant 22,22,WL,NULL,289,234
Sharpstein 23,23,WL,NULL,113,153
Spruce 24,24,WL,NULL,133,84
Stadium 25,25,WL,NULL,119,128
Tausick 26,26,WL,NULL,169,106
Wainwright 28,28,WL,NULL,293,150
Watertown 29,29,WL,NULL,133,142
Abbott 31,31,WL,NULL,237,95
Baker 33,33,WL,NULL,79,21
Berney 35,35,WL,NULL,185,108
Blalock 36,36,WL,NULL,342,124
Braden 37,37,WL,NULL,370,157
Clyde 39,39,WL,NULL,25,9
Derry 40,40,WL,NULL,125,36
Dixie 41,41,WL,NULL,207,64
Eureka 5 42,42,WL,NULL,38,12
Frenchtown 5 44,44,WL,NULL,155,48
Garrison 46,46,WL,NULL,177,56
Gose 47,47,WL,NULL,72,28
Lincoln 49,49,WL,NULL,55,17
Mill Creek 50,50,WL,NULL,180,73
Moore 51,51,WL,NULL,157,80
Pros Point 52,52,WL,NULL,665,292
Ritz 53(*),53,WL,NULL,0,0
Touchet 5 56(*),56,WL,NULL,0,0
Twin Grove 57,57,WL,NULL,186,65
Yellowhawk 58,58,WL,NULL,26,20
Washington 60,60,WL,NULL,116,38
CP 1 61,61,WL,NULL,348,146
CP 2 62,62,WL,NULL,252,121
CP 3 63,63,WL,NULL,355,131
Prescott 64,64,WL,NULL,57,23
Waitsburg 65,65,WL,NULL,344,140
CP 4 66,66,WL,NULL,365,196
CP 5 67,67,WL,NULL,301,130
CP 6 68,68,WL,NULL,51,14
