Row Label,PrecinctCode,County,Registered Voters,Ryan P. Jurvakainen,Sue Baur
Total,-1,CZ,NULL,16153,13970
Alabama,1,CZ,NULL,148,129
Ammons,2,CZ,NULL,187,169
Arkansas,3,CZ,NULL,121,91
Bakers,4,CZ,NULL,14,8
Baltimore,5,CZ,NULL,216,231
Beacon,6,CZ,NULL,379,275
Boondox,7,CZ,NULL,11,8
Brynion,8,CZ,NULL,195,180
Burcham,9,CZ,NULL,388,385
Caples,10,CZ,NULL,118,72
Carrolls,11,CZ,NULL,306,190
Castle Rock,12,CZ,NULL,309,294
Chinook,13,CZ,NULL,304,237
Cloverdale,14,CZ,NULL,200,171
Coal Creek,15,CZ,NULL,410,271
Columbia Heights,16,CZ,NULL,152,134
Columbia Valley Gdns,17,CZ,NULL,201,156
Crawford,18,CZ,NULL,238,200
Delameter,19,CZ,NULL,222,198
Douglas(*),20,CZ,NULL,0,0
Elk Ridge(*),21,CZ,NULL,0,0
Harris,22,CZ,NULL,255,180
Haussler,23,CZ,NULL,185,132
Hillcrest,24,CZ,NULL,423,381
Hudson,25,CZ,NULL,209,285
Industrial,26,CZ,NULL,0,0
Kalama North,27,CZ,NULL,182,190
Kalama South,28,CZ,NULL,241,243
Kessler,29,CZ,NULL,287,293
Lake,30,CZ,NULL,204,211
Laurel,31,CZ,NULL,319,284
Lewis River,32,CZ,NULL,407,246
Lexington,33,CZ,NULL,210,193
Lone Oak,34,CZ,NULL,163,139
Magnolia,35,CZ,NULL,349,408
Marigold,36,CZ,NULL,276,325
McGowan,37,CZ,NULL,54,52
Memorial,38,CZ,NULL,145,139
Mill,39,CZ,NULL,255,291
Mint Valley,40,CZ,NULL,315,380
Modrow,41,CZ,NULL,211,195
Mt. Solo,42,CZ,NULL,70,72
Nevada,43,CZ,NULL,231,187
Ocean Beach,44,CZ,NULL,265,201
Olson,45,CZ,NULL,193,131
Ostrander,46,CZ,NULL,276,220
Owl Creek,47,CZ,NULL,360,289
Pacific,48,CZ,NULL,272,232
Ponderosa,49,CZ,NULL,212,200
Powell,50,CZ,NULL,225,221
Redpath,51,CZ,NULL,168,188
Ridgecrest,52,CZ,NULL,22,12
Robbins,53,CZ,NULL,317,313
Rose Valley,54,CZ,NULL,203,135
Ryderwood,55,CZ,NULL,106,103
Sacajawea,56,CZ,NULL,386,493
Sandy Bend,57,CZ,NULL,261,203
Silver Lake,58,CZ,NULL,458,285
Sparks,59,CZ,NULL,179,120
St. Helens,60,CZ,NULL,101,118
Stella,61,CZ,NULL,234,210
Toutle,62,CZ,NULL,326,227
Tower,63,CZ,NULL,379,315
Tunstall,64,CZ,NULL,113,78
View,65,CZ,NULL,188,138
West Kelso,66,CZ,NULL,63,50
Willow Grove,67,CZ,NULL,81,66
Windemere,68,CZ,NULL,375,294
Woodage,69,CZ,NULL,219,133
Woodland North,70,CZ,NULL,398,228
Woodland South,71,CZ,NULL,279,241
Yale,72,CZ,NULL,234,133
