Row Label,PrecinctCode,County,Registered Voters,John Kulseth
Total,-1,SJ,NULL,5336
San Juan South East,11,SJ,NULL,270
San Juan South West,12,SJ,NULL,395
San Juan Central,13,SJ,NULL,357
San Juan West,14,SJ,NULL,326
San Juan North,15,SJ,NULL,311
San Juan East,16,SJ,NULL,305
Turn Point,17,SJ,NULL,171
Waldron &amp; Outer Is,21,SJ,NULL,25
Orcas West,22,SJ,NULL,402
Orcas Central,23,SJ,NULL,395
Eastsound,24,SJ,NULL,416
Orcas East,25,SJ,NULL,350
Blakely &amp; Outer Is,26,SJ,NULL,20
Lopez North,31,SJ,NULL,520
Lopez South,32,SJ,NULL,377
Decatur and Outer Is,33,SJ,NULL,20
Shaw,41,SJ,NULL,64
Friday Harbor North,101,SJ,NULL,349
Friday Harbor South,102,SJ,NULL,263
