Row Label,PrecinctCode,County,Registered Voters,Tony Golik,Josie Townsend
Total,-1,CR,NULL,63955,53705
100,100,CR,NULL,509,141
102,102,CR,NULL,307,152
104,104,CR,NULL,434,179
106,106,CR,NULL,387,148
108,108,CR,NULL,451,134
110,110,CR,NULL,465,176
112,112,CR,NULL,35,21
113,113,CR,NULL,184,108
120,120,CR,NULL,485,200
130,130,CR,NULL,455,168
147,147,CR,NULL,276,208
150,150,CR,NULL,240,109
153,153,CR,NULL,243,147
160,160,CR,NULL,284,151
170,170,CR,NULL,327,138
175,175,CR,NULL,235,153
180,180,CR,NULL,272,167
190,190,CR,NULL,410,222
200,200,CR,NULL,419,178
220,220,CR,NULL,265,149
225,225,CR,NULL,522,267
240,240,CR,NULL,419,300
245,245,CR,NULL,388,241
250,250,CR,NULL,427,239
255,255,CR,NULL,345,209
257,257,CR,NULL,341,230
290,290,CR,NULL,326,233
294,294,CR,NULL,194,181
296,296,CR,NULL,235,166
298,298,CR,NULL,203,156
325,325,CR,NULL,232,203
327,327,CR,NULL,324,294
330,330,CR,NULL,337,246
335,335,CR,NULL,258,189
337,337,CR,NULL,305,219
338,338,CR,NULL,284,267
340,340,CR,NULL,345,224
350,350,CR,NULL,272,202
360,360,CR,NULL,346,256
370,370,CR,NULL,237,185
390,390,CR,NULL,402,254
395,395,CR,NULL,128,57
400,400,CR,NULL,218,104
410,410,CR,NULL,416,272
415,415,CR,NULL,248,181
420,420,CR,NULL,328,231
423,423,CR,NULL,262,168
424,424,CR,NULL,369,264
425,425,CR,NULL,240,187
426,426,CR,NULL,434,310
430,430,CR,NULL,222,173
432,432,CR,NULL,280,153
434,434,CR,NULL,232,191
435,435,CR,NULL,228,189
436,436,CR,NULL,191,140
440,440,CR,NULL,348,249
441,441,CR,NULL,299,259
444,444,CR,NULL,475,274
445,445,CR,NULL,392,318
446,446,CR,NULL,278,268
447,447,CR,NULL,394,342
448,448,CR,NULL,454,256
449,449,CR,NULL,489,279
450,450,CR,NULL,428,277
451,451,CR,NULL,322,240
452,452,CR,NULL,321,213
