Row Label,PrecinctCode,County,Registered Voters,Randy J. Flyckt
Total,-1,AD,NULL,2449
Ritzville Ward #1,111,AD,NULL,77
Ritzville Ward #2,112,AD,NULL,73
Ritzville Ward #3,113,AD,NULL,116
Ritzville Ward #4,114,AD,NULL,82
Ritzville Ward #5,115,AD,NULL,94
Ritzville Rural NW,121,AD,NULL,116
Ritzville Rural SE,122,AD,NULL,93
Batum,123,AD,NULL,57
Benge,211,AD,NULL,17
Washtucna City #1,212,AD,NULL,73
Washtucna Rural,221,AD,NULL,46
Ralston,222,AD,NULL,16
Lind #1,311,AD,NULL,125
Hatton City,313,AD,NULL,15
Lind Rural,321,AD,NULL,50
Fairview,322,AD,NULL,24
Schrag,323,AD,NULL,19
Hatton Rural,324,AD,NULL,27
Cunningham,325,AD,NULL,7
Othello City #1,411,AD,NULL,17
Othello City #2,412,AD,NULL,136
Othello City #3,413,AD,NULL,134
Othello City #4,414,AD,NULL,148
Othello City #5,415,AD,NULL,147
Othello City #6,416,AD,NULL,88
Othello Rural #1,511,AD,NULL,65
Othello Rural #2,512,AD,NULL,79
Othello Rural #3,513,AD,NULL,173
Othello Rural #4,514,AD,NULL,121
Othello Rural #5,515,AD,NULL,75
Othello Rural #6,516,AD,NULL,139
