Row Label,PrecinctCode,County,Registered Voters,Cathy McMorris Rodgers,Joseph (Joe) Pakootas
Total,-1,GA,NULL,892,280
GROUSE-VOTE BY MAIL(*),101,GA,NULL,0,0
MAYVIEW-VOTE BY MAIL(*),102,GA,NULL,0,0
PATAHA,103,GA,NULL,137,36
PEOLA-VOTE BY MAIL,104,GA,NULL,11,2
PING - VOTE BY MAIL,105,GA,NULL,16,3
PLEASANT-VB MAIL,106,GA,NULL,34,13
SCOGGIN - VB MAIL,109,GA,NULL,81,23
TUCANNON - VB MAIL,110,GA,NULL,52,12
WARD 1,201,GA,NULL,82,26
WARD 2,202,GA,NULL,159,54
WARD 3,203,GA,NULL,177,54
WARD 4,204,GA,NULL,106,49
