Row Label,PrecinctCode,County,Registered Voters,Dean Takko,David A. Steenson
Total,-1,LE,NULL,963,1043
Boistfort,6,LE,NULL,47,63
Crego,10,LE,NULL,315,348
Curtis,11,LE,NULL,51,74
Emery,15,LE,NULL,85,95
Evaline West,19,LE,NULL,86,94
Mauermann,32,LE,NULL,45,32
Stillwater West,55,LE,NULL,101,69
Urquhart,58,LE,NULL,82,96
Veness,59,LE,NULL,151,172
