Row Label,PrecinctCode,County,Registered Voters,Julie Anderson
Total,-1,PI,NULL,151333
02-101,2101,PI,NULL,128
02-105,2105,PI,NULL,136
02-106,2106,PI,NULL,413
02-110,2110,PI,NULL,206
02-111,2111,PI,NULL,290
02-112,2112,PI,NULL,214
02-113,2113,PI,NULL,251
02-114,2114,PI,NULL,190
02-115,2115,PI,NULL,310
02-116,2116,PI,NULL,388
02-117,2117,PI,NULL,368
02-118,2118,PI,NULL,241
02-119,2119,PI,NULL,224
02-120,2120,PI,NULL,304
02-121,2121,PI,NULL,363
02-122,2122,PI,NULL,385
02-123,2123,PI,NULL,373
02-124,2124,PI,NULL,312
02-125,2125,PI,NULL,285
02-126,2126,PI,NULL,378
02-127,2127,PI,NULL,225
02-128,2128,PI,NULL,381
02-129,2129,PI,NULL,230
02-130,2130,PI,NULL,205
02-131,2131,PI,NULL,422
02-133,2133,PI,NULL,95
02-134,2134,PI,NULL,414
02-135,2135,PI,NULL,381
02-136,2136,PI,NULL,69
02-137,2137,PI,NULL,184
02-138,2138,PI,NULL,437
02-139,2139,PI,NULL,346
02-140,2140,PI,NULL,401
02-141,2141,PI,NULL,378
02-142,2142,PI,NULL,262
02-143,2143,PI,NULL,271
02-144,2144,PI,NULL,333
02-145,2145,PI,NULL,368
02-146,2146,PI,NULL,279
02-147,2147,PI,NULL,280
02-148,2148,PI,NULL,365
02-149,2149,PI,NULL,430
02-150,2150,PI,NULL,322
02-151,2151,PI,NULL,120
02-152,2152,PI,NULL,371
02-153,2153,PI,NULL,285
02-154,2154,PI,NULL,278
02-155,2155,PI,NULL,362
02-156,2156,PI,NULL,463
02-157,2157,PI,NULL,439
02-158,2158,PI,NULL,305
02-159,2159,PI,NULL,207
25-201,25201,PI,NULL,474
25-202,25202,PI,NULL,370
25-203,25203,PI,NULL,449
25-204,25204,PI,NULL,392
25-205,25205,PI,NULL,431
25-206,25206,PI,NULL,276
25-208,25208,PI,NULL,469
25-209,25209,PI,NULL,458
25-210,25210,PI,NULL,531
25-211,25211,PI,NULL,409
25-212,25212,PI,NULL,432
25-213,25213,PI,NULL,487
25-215,25215,PI,NULL,424
25-216,25216,PI,NULL,278
25-217,25217,PI,NULL,463
25-218,25218,PI,NULL,438
25-219,25219,PI,NULL,433
25-220,25220,PI,NULL,2
25-221,25221,PI,NULL,394
25-222,25222,PI,NULL,304
25-226,25226,PI,NULL,287
25-227,25227,PI,NULL,216
25-228,25228,PI,NULL,401
25-230,25230,PI,NULL,107
25-235,25235,PI,NULL,16
25-236,25236,PI,NULL,320
25-237,25237,PI,NULL,0
25-238,25238,PI,NULL,220
25-239,25239,PI,NULL,420
25-240,25240,PI,NULL,176
25-241,25241,PI,NULL,220
25-242,25242,PI,NULL,427
25-243,25243,PI,NULL,332
25-244,25244,PI,NULL,495
25-245,25245,PI,NULL,2
25-246,25246,PI,NULL,34
25-247,25247,PI,NULL,376
25-248,25248,PI,NULL,482
25-249,25249,PI,NULL,422
25-250,25250,PI,NULL,175
25-251,25251,PI,NULL,362
25-252,25252,PI,NULL,360
25-253,25253,PI,NULL,244
25-254,25254,PI,NULL,232
25-255,25255,PI,NULL,265
25-256,25256,PI,NULL,372
25-257,25257,PI,NULL,364
25-258,25258,PI,NULL,413
25-259,25259,PI,NULL,410
25-260,25260,PI,NULL,429
25-261,25261,PI,NULL,300
25-262,25262,PI,NULL,385
25-263,25263,PI,NULL,330
25-264,25264,PI,NULL,433
25-265,25265,PI,NULL,425
25-266,25266,PI,NULL,436
25-267,25267,PI,NULL,196
25-268,25268,PI,NULL,209
25-269,25269,PI,NULL,268
25-270,25270,PI,NULL,402
25-271,25271,PI,NULL,406
25-272,25272,PI,NULL,415
25-273,25273,PI,NULL,264
25-274,25274,PI,NULL,514
25-275,25275,PI,NULL,0
25-276,25276,PI,NULL,17
25-277,25277,PI,NULL,401
25-278,25278,PI,NULL,146
25-279,25279,PI,NULL,334
25-280,25280,PI,NULL,419
25-281,25281,PI,NULL,288
25-282,25282,PI,NULL,414
25-283,25283,PI,NULL,227
25-284,25284,PI,NULL,211
25-285,25285,PI,NULL,535
25-286,25286,PI,NULL,389
25-287,25287,PI,NULL,3
25-288,25288,PI,NULL,413
25-289,25289,PI,NULL,0
25-290,25290,PI,NULL,38
25-291,25291,PI,NULL,91
25-292,25292,PI,NULL,423
25-293,25293,PI,NULL,378
26-301,26301,PI,NULL,158
26-302,26302,PI,NULL,583
26-303,26303,PI,NULL,548
26-304,26304,PI,NULL,623
26-305,26305,PI,NULL,579
26-315,26315,PI,NULL,458
26-316,26316,PI,NULL,511
26-317,26317,PI,NULL,443
26-318,26318,PI,NULL,370
26-319,26319,PI,NULL,381
26-320,26320,PI,NULL,420
26-321,26321,PI,NULL,542
26-322,26322,PI,NULL,497
