Row Label,PrecinctCode,County,Registered Voters,Douglas R. Aubertin
Total,-1,FE,NULL,1981
BELCHER,101,FE,NULL,61
BOYDS,102,FE,NULL,98
CURLEW,103,FE,NULL,19
HALL CREEK,104,FE,NULL,66
INCHELIUM,105,FE,NULL,72
KELLER,106,FE,NULL,97
KETTLE RIVER,107,FE,NULL,140
KEWA,108,FE,NULL,83
LAMBERT,109,FE,NULL,58
MALO,110,FE,NULL,116
ORIENT,111,FE,NULL,75
REPUBLIC 1,112,FE,NULL,156
REPUBLIC 2,113,FE,NULL,133
SAN POIL,114,FE,NULL,181
SHERMAN,115,FE,NULL,134
SOUTH LAKE,116,FE,NULL,100
STORM KING,117,FE,NULL,161
TORODA,118,FE,NULL,59
TROUT CREEK,119,FE,NULL,172
