Row Label,PrecinctCode,County,Registered Voters,Repealed,Maintained
Total,-1,MA,NULL,8849,9661
PICKERING,113,MA,NULL,238,254
HARSTINE,114,MA,NULL,249,459
GRAPEVIEW,115,MA,NULL,307,329
MASON LAKE,116,MA,NULL,203,243
FAIR HARBOR,117,MA,NULL,209,181
ALLYN,118,MA,NULL,446,463
VICTOR,119,MA,NULL,192,197
BELFAIR,120,MA,NULL,225,218
TIGER LAKE,121,MA,NULL,155,143
DEWATTO,122,MA,NULL,331,262
TAHUYA,123,MA,NULL,268,255
SAND HILL,124,MA,NULL,284,270
TRAIL&#39;S END,125,MA,NULL,299,279
TWANOH,126,MA,NULL,146,186
BORDEAUX,205,MA,NULL,39,39
KAMILCHE POINT,207,MA,NULL,111,170
UNION,227,MA,NULL,350,466
SKOKOMISH,228,MA,NULL,69,41
HOOD CANAL,229,MA,NULL,271,345
CUSHMAN,230,MA,NULL,318,290
EELLS,231,MA,NULL,81,116
MATLOCK,232,MA,NULL,242,246
DAYTON,233,MA,NULL,212,205
KAMILCHE,234,MA,NULL,111,117
ISABELLA,235,MA,NULL,166,154
AIRPORT,236,MA,NULL,309,361
JOHN&#39;S PRAIRIE,237,MA,NULL,200,203
LIMERICK,238,MA,NULL,350,366
OLYMPIC VIEW,301,MA,NULL,284,287
DOWNTOWN,302,MA,NULL,207,198
ANGLESIDE,303,MA,NULL,244,267
HILLCREST,304,MA,NULL,168,178
FAWN LAKE,306,MA,NULL,273,317
ARCADIA,308,MA,NULL,247,374
MILL CREEK,309,MA,NULL,269,381
AGATE,310,MA,NULL,245,260
OAKLAND BAY,311,MA,NULL,207,225
TIMBERLAKE,312,MA,NULL,315,304
CALLANAN,339,MA,NULL,9,12
