Row Label,PrecinctCode,County,Registered Voters,Lisa L. Sutton
Total,-1,JE,NULL,9288
101 Gardiner,101,JE,NULL,103
102 Port Discovery,102,JE,NULL,116
103 Crocker,103,JE,NULL,115
104 Cape George,104,JE,NULL,316
105 Discovery Bay,105,JE,NULL,288
106 North Jacob,106,JE,NULL,216
107 South Jacob,107,JE,NULL,302
200 Coyle,200,JE,NULL,149
201 Quilcene,201,JE,NULL,282
204 Brinnon,204,JE,NULL,360
300 Chimacum I,300,JE,NULL,192
301 Chimacum II,301,JE,NULL,127
302 Center I,302,JE,NULL,175
303 Hadlock,303,JE,NULL,317
304 Kala Point,304,JE,NULL,332
305 Irondale I,305,JE,NULL,229
306 Irondale II,306,JE,NULL,316
307 Four Corners,307,JE,NULL,206
308 Center II,308,JE,NULL,105
401 Nordland,401,JE,NULL,286
500 Port Ludlow,500,JE,NULL,347
501 Port Ludlow I,501,JE,NULL,403
502 Port Ludlow II,502,JE,NULL,215
503 Port Ludlow III,503,JE,NULL,226
504 Port Ludlow IV,504,JE,NULL,175
505 Port Ludlow V,505,JE,NULL,275
600 Hoh,600,JE,NULL,26
601 Queets,601,JE,NULL,26
700 Port Townsend,700,JE,NULL,308
701 Port Townsend,701,JE,NULL,154
702 Port Townsend,702,JE,NULL,183
703 Port Townsend,703,JE,NULL,206
704 Port Townsend,704,JE,NULL,148
705 Port Townsend,705,JE,NULL,201
706 Port Townsend,706,JE,NULL,471
707 Port Townsend,707,JE,NULL,388
708 Port Townsend,708,JE,NULL,394
709 Port Townsend,709,JE,NULL,378
710 Port Townsend,710,JE,NULL,232
