Row Label,PrecinctCode,County,Registered Voters,Doug Lasher,Lauren Colas
Total,-1,CR,NULL,61251,56708
100,100,CR,NULL,489,162
102,102,CR,NULL,304,154
104,104,CR,NULL,425,188
106,106,CR,NULL,381,149
108,108,CR,NULL,427,147
110,110,CR,NULL,446,190
112,112,CR,NULL,36,18
113,113,CR,NULL,194,105
120,120,CR,NULL,453,229
130,130,CR,NULL,441,178
147,147,CR,NULL,267,213
150,150,CR,NULL,227,124
153,153,CR,NULL,221,173
160,160,CR,NULL,290,143
170,170,CR,NULL,315,154
175,175,CR,NULL,237,144
180,180,CR,NULL,259,181
190,190,CR,NULL,393,245
200,200,CR,NULL,420,176
220,220,CR,NULL,241,178
225,225,CR,NULL,525,266
240,240,CR,NULL,411,314
245,245,CR,NULL,367,265
250,250,CR,NULL,420,251
255,255,CR,NULL,336,219
257,257,CR,NULL,339,230
290,290,CR,NULL,315,248
294,294,CR,NULL,195,182
296,296,CR,NULL,219,188
298,298,CR,NULL,191,166
325,325,CR,NULL,231,204
327,327,CR,NULL,301,318
330,330,CR,NULL,311,262
335,335,CR,NULL,240,206
337,337,CR,NULL,298,234
338,338,CR,NULL,267,287
340,340,CR,NULL,335,238
350,350,CR,NULL,281,196
360,360,CR,NULL,345,265
370,370,CR,NULL,223,197
390,390,CR,NULL,366,289
395,395,CR,NULL,121,65
400,400,CR,NULL,224,106
410,410,CR,NULL,428,263
415,415,CR,NULL,266,164
420,420,CR,NULL,353,213
423,423,CR,NULL,255,174
424,424,CR,NULL,363,273
425,425,CR,NULL,233,205
426,426,CR,NULL,424,322
430,430,CR,NULL,209,195
432,432,CR,NULL,253,178
434,434,CR,NULL,223,198
435,435,CR,NULL,224,194
436,436,CR,NULL,186,143
440,440,CR,NULL,348,252
441,441,CR,NULL,286,281
444,444,CR,NULL,479,278
445,445,CR,NULL,385,328
446,446,CR,NULL,256,298
447,447,CR,NULL,359,369
448,448,CR,NULL,399,304
449,449,CR,NULL,464,315
450,450,CR,NULL,410,303
451,451,CR,NULL,326,238
