Row Label,PrecinctCode,County,Registered Voters,Claire R. Sussman
27-422,27422,PI,NULL,480
27-423,27423,PI,NULL,393
27-424,27424,PI,NULL,347
27-425,27425,PI,NULL,320
27-426,27426,PI,NULL,340
27-427,27427,PI,NULL,326
27-428,27428,PI,NULL,321
27-429,27429,PI,NULL,344
27-430,27430,PI,NULL,361
27-431,27431,PI,NULL,151
27-432,27432,PI,NULL,338
27-433,27433,PI,NULL,339
27-434,27434,PI,NULL,333
27-435,27435,PI,NULL,353
27-436,27436,PI,NULL,340
27-437,27437,PI,NULL,308
27-438,27438,PI,NULL,298
27-439,27439,PI,NULL,302
27-440,27440,PI,NULL,343
27-441,27441,PI,NULL,292
27-442,27442,PI,NULL,231
27-443,27443,PI,NULL,245
27-444,27444,PI,NULL,297
27-445,27445,PI,NULL,287
27-446,27446,PI,NULL,295
27-447,27447,PI,NULL,317
27-448,27448,PI,NULL,11
27-449,27449,PI,NULL,336
27-450,27450,PI,NULL,373
27-451,27451,PI,NULL,263
27-452,27452,PI,NULL,310
27-453,27453,PI,NULL,238
27-454,27454,PI,NULL,326
27-455,27455,PI,NULL,283
27-456,27456,PI,NULL,252
27-457,27457,PI,NULL,307
27-458,27458,PI,NULL,212
27-459,27459,PI,NULL,205
27-460,27460,PI,NULL,327
27-461,27461,PI,NULL,392
27-462,27462,PI,NULL,373
27-463,27463,PI,NULL,285
27-464,27464,PI,NULL,310
27-465,27465,PI,NULL,275
27-466,27466,PI,NULL,315
27-467,27467,PI,NULL,302
27-468,27468,PI,NULL,288
27-471,27471,PI,NULL,13
27-475,27475,PI,NULL,292
27-476,27476,PI,NULL,239
27-477,27477,PI,NULL,330
28-501,28501,PI,NULL,401
28-502,28502,PI,NULL,425
28-503,28503,PI,NULL,436
28-504,28504,PI,NULL,392
28-505,28505,PI,NULL,415
28-506,28506,PI,NULL,429
28-507,28507,PI,NULL,347
28-508,28508,PI,NULL,193
28-509,28509,PI,NULL,0
28-515,28515,PI,NULL,384
28-516,28516,PI,NULL,399
28-517,28517,PI,NULL,429
28-518,28518,PI,NULL,420
28-519,28519,PI,NULL,419
28-520,28520,PI,NULL,423
28-521,28521,PI,NULL,425
28-522,28522,PI,NULL,437
28-523,28523,PI,NULL,426
28-524,28524,PI,NULL,463
28-525,28525,PI,NULL,485
28-526,28526,PI,NULL,304
28-527,28527,PI,NULL,510
28-528,28528,PI,NULL,423
28-529,28529,PI,NULL,330
28-530,28530,PI,NULL,190
28-531,28531,PI,NULL,379
28-535,28535,PI,NULL,425
28-536,28536,PI,NULL,395
28-537,28537,PI,NULL,423
28-538,28538,PI,NULL,357
28-540,28540,PI,NULL,501
28-541,28541,PI,NULL,372
28-542,28542,PI,NULL,365
28-543,28543,PI,NULL,336
28-545,28545,PI,NULL,405
28-546,28546,PI,NULL,370
28-547,28547,PI,NULL,499
28-548,28548,PI,NULL,328
28-549,28549,PI,NULL,365
28-550,28550,PI,NULL,282
28-551,28551,PI,NULL,477
28-552,28552,PI,NULL,426
28-553,28553,PI,NULL,418
28-554,28554,PI,NULL,388
28-555,28555,PI,NULL,441
28-556,28556,PI,NULL,320
28-557,28557,PI,NULL,307
28-558,28558,PI,NULL,319
28-559,28559,PI,NULL,321
28-560,28560,PI,NULL,436
28-561,28561,PI,NULL,252
28-562,28562,PI,NULL,220
28-563,28563,PI,NULL,120
28-565,28565,PI,NULL,317
28-566,28566,PI,NULL,332
28-567,28567,PI,NULL,344
28-568,28568,PI,NULL,351
28-570,28570,PI,NULL,5
28-571,28571,PI,NULL,5
28-572,28572,PI,NULL,341
28-573,28573,PI,NULL,226
28-574,28574,PI,NULL,79
28-575,28575,PI,NULL,2
28-576,28576,PI,NULL,334
28-577,28577,PI,NULL,12
28-578,28578,PI,NULL,72
28-579,28579,PI,NULL,62
28-580,28580,PI,NULL,54
28-581,28581,PI,NULL,215
28-582,28582,PI,NULL,143
28-583,28583,PI,NULL,211
28-584,28584,PI,NULL,242
28-585,28585,PI,NULL,372
28-586,28586,PI,NULL,327
28-587,28587,PI,NULL,240
28-588,28588,PI,NULL,338
28-589,28589,PI,NULL,356
28-590,28590,PI,NULL,13
29-600,29600,PI,NULL,0
29-601,29601,PI,NULL,254
29-602,29602,PI,NULL,215
29-603,29603,PI,NULL,298
29-604,29604,PI,NULL,289
29-605,29605,PI,NULL,228
29-606,29606,PI,NULL,311
29-607,29607,PI,NULL,367
29-608,29608,PI,NULL,249
29-609,29609,PI,NULL,210
29-610,29610,PI,NULL,292
29-611,29611,PI,NULL,60
29-612,29612,PI,NULL,154
29-613,29613,PI,NULL,316
29-614,29614,PI,NULL,320
29-615,29615,PI,NULL,337
29-616,29616,PI,NULL,284
29-617,29617,PI,NULL,289
29-618,29618,PI,NULL,247
29-619,29619,PI,NULL,274
29-620,29620,PI,NULL,172
29-621,29621,PI,NULL,0
29-622,29622,PI,NULL,232
29-623,29623,PI,NULL,70
29-624,29624,PI,NULL,0
29-625,29625,PI,NULL,5
29-626,29626,PI,NULL,7
29-627,29627,PI,NULL,0
29-633,29633,PI,NULL,26
29-635,29635,PI,NULL,80
29-636,29636,PI,NULL,367
29-637,29637,PI,NULL,278
29-638,29638,PI,NULL,152
29-639,29639,PI,NULL,287
29-640,29640,PI,NULL,295
29-641,29641,PI,NULL,306
29-642,29642,PI,NULL,317
29-643,29643,PI,NULL,26
29-648,29648,PI,NULL,6
29-649,29649,PI,NULL,90
29-650,29650,PI,NULL,313
29-651,29651,PI,NULL,356
29-652,29652,PI,NULL,31
29-653,29653,PI,NULL,294
29-654,29654,PI,NULL,329
29-655,29655,PI,NULL,127
29-656,29656,PI,NULL,285
29-657,29657,PI,NULL,4
29-658,29658,PI,NULL,279
29-659,29659,PI,NULL,170
29-660,29660,PI,NULL,371
29-661,29661,PI,NULL,261
29-662,29662,PI,NULL,0
29-663,29663,PI,NULL,287
29-664,29664,PI,NULL,302
29-667,29667,PI,NULL,322
29-668,29668,PI,NULL,244
29-669,29669,PI,NULL,314
29-670,29670,PI,NULL,332
29-671,29671,PI,NULL,273
29-672,29672,PI,NULL,194
29-673,29673,PI,NULL,337
29-674,29674,PI,NULL,106
29-675,29675,PI,NULL,325
29-676,29676,PI,NULL,301
29-677,29677,PI,NULL,309
29-678,29678,PI,NULL,250
29-679,29679,PI,NULL,261
29-680,29680,PI,NULL,257
29-682,29682,PI,NULL,299
29-683,29683,PI,NULL,317
30-701,30701,PI,NULL,12
30-705,30705,PI,NULL,169
30-706,30706,PI,NULL,241
30-707,30707,PI,NULL,156
30-708,30708,PI,NULL,224
30-709,30709,PI,NULL,248
30-713,30713,PI,NULL,4
31-801,31801,PI,NULL,183
31-802,31802,PI,NULL,257
31-803,31803,PI,NULL,288
31-804,31804,PI,NULL,261
31-805,31805,PI,NULL,281
31-806,31806,PI,NULL,317
31-807,31807,PI,NULL,3
31-808,31808,PI,NULL,246
31-809,31809,PI,NULL,263
31-810,31810,PI,NULL,157
31-813,31813,PI,NULL,137
31-814,31814,PI,NULL,39
31-815,31815,PI,NULL,211
31-816,31816,PI,NULL,245
31-817,31817,PI,NULL,310
31-818,31818,PI,NULL,78
31-819,31819,PI,NULL,126
31-822,31822,PI,NULL,220
31-823,31823,PI,NULL,192
31-824,31824,PI,NULL,0
31-825,31825,PI,NULL,253
31-826,31826,PI,NULL,301
31-827,31827,PI,NULL,74
31-828,31828,PI,NULL,261
31-829,31829,PI,NULL,248
31-830,31830,PI,NULL,114
31-833,31833,PI,NULL,267
31-834,31834,PI,NULL,217
31-835,31835,PI,NULL,422
31-836,31836,PI,NULL,251
31-837,31837,PI,NULL,228
31-838,31838,PI,NULL,202
31-839,31839,PI,NULL,22
31-840,31840,PI,NULL,125
31-841,31841,PI,NULL,137
31-842,31842,PI,NULL,228
31-843,31843,PI,NULL,179
31-844,31844,PI,NULL,172
31-845,31845,PI,NULL,236
31-846,31846,PI,NULL,110
31-847,31847,PI,NULL,134
31-848,31848,PI,NULL,40
31-849,31849,PI,NULL,97
31-853,31853,PI,NULL,49
31-854,31854,PI,NULL,139
31-855,31855,PI,NULL,180
31-856,31856,PI,NULL,216
31-857,31857,PI,NULL,136
31-861,31861,PI,NULL,80
31-865,31865,PI,NULL,84
31-869,31869,PI,NULL,135
31-873,31873,PI,NULL,61
31-874,31874,PI,NULL,0
31-875,31875,PI,NULL,322
31-876,31876,PI,NULL,22
31-877,31877,PI,NULL,126
31-879,31879,PI,NULL,70
31-880,31880,PI,NULL,109
31-881,31881,PI,NULL,161
31-882,31882,PI,NULL,245
31-883,31883,PI,NULL,335
31-884,31884,PI,NULL,290
31-885,31885,PI,NULL,110
31-886,31886,PI,NULL,247
31-887,31887,PI,NULL,215
31-888,31888,PI,NULL,231
31-890,31890,PI,NULL,161
31-891,31891,PI,NULL,92
31-892,31892,PI,NULL,181
31-893,31893,PI,NULL,0
31-894,31894,PI,NULL,39
31-895,31895,PI,NULL,217
31-896,31896,PI,NULL,4
31-897,31897,PI,NULL,127
31-898,31898,PI,NULL,287
31-899,31899,PI,NULL,161
31-900,31900,PI,NULL,188
