Row Label,PrecinctCode,County,Registered Voters,Jaime Herrera Beutler,Bob Dingethal
Total,-1,CR,NULL,72877,49710
100,100,CR,NULL,227,455
102,102,CR,NULL,239,246
104,104,CR,NULL,286,348
106,106,CR,NULL,220,331
108,108,CR,NULL,222,378
110,110,CR,NULL,218,463
112,112,CR,NULL,26,33
113,113,CR,NULL,150,158
120,120,CR,NULL,284,435
130,130,CR,NULL,226,421
147,147,CR,NULL,264,233
150,150,CR,NULL,150,213
153,153,CR,NULL,229,179
160,160,CR,NULL,195,254
170,170,CR,NULL,196,286
175,175,CR,NULL,206,201
180,180,CR,NULL,233,222
190,190,CR,NULL,310,360
200,200,CR,NULL,216,402
220,220,CR,NULL,203,231
225,225,CR,NULL,403,412
240,240,CR,NULL,425,325
245,245,CR,NULL,373,281
250,250,CR,NULL,341,353
255,255,CR,NULL,312,259
257,257,CR,NULL,290,292
290,290,CR,NULL,306,273
294,294,CR,NULL,211,174
296,296,CR,NULL,223,192
298,298,CR,NULL,218,149
325,325,CR,NULL,273,177
327,327,CR,NULL,396,236
330,330,CR,NULL,340,257
335,335,CR,NULL,253,210
337,337,CR,NULL,286,259
338,338,CR,NULL,328,245
340,340,CR,NULL,304,280
350,350,CR,NULL,271,219
360,360,CR,NULL,322,294
370,370,CR,NULL,233,205
390,390,CR,NULL,356,325
395,395,CR,NULL,81,116
400,400,CR,NULL,167,171
410,410,CR,NULL,372,345
415,415,CR,NULL,231,212
420,420,CR,NULL,297,288
423,423,CR,NULL,247,201
424,424,CR,NULL,385,281
425,425,CR,NULL,270,180
426,426,CR,NULL,428,345
430,430,CR,NULL,230,186
432,432,CR,NULL,261,189
434,434,CR,NULL,259,184
435,435,CR,NULL,261,177
436,436,CR,NULL,192,142
440,440,CR,NULL,353,261
441,441,CR,NULL,355,239
444,444,CR,NULL,407,369
445,445,CR,NULL,445,303
446,446,CR,NULL,376,200
447,447,CR,NULL,462,296
448,448,CR,NULL,418,337
449,449,CR,NULL,440,356
450,450,CR,NULL,427,316
451,451,CR,NULL,330,264
452,452,CR,NULL,304,254
453,453,CR,NULL,296,261
455,455,CR,NULL,275,159
456,456,CR,NULL,471,349
460,460,CR,NULL,459,356
470,470,CR,NULL,406,380
480,480,CR,NULL,492,342
483,483,CR,NULL,496,355
485,485,CR,NULL,315,151
487,487,CR,NULL,198,105
490,490,CR,NULL,318,161
491,491,CR,NULL,33,20
500,500,CR,NULL,438,247
502,502,CR,NULL,339,214
503,503,CR,NULL,304,156
505,505,CR,NULL,476,251
