Row Label,PrecinctCode,County,Registered Voters,David A. Svaren
Total,-1,SK,NULL,24330
ALDER,101,SK,NULL,142
ALGER,102,SK,NULL,174
ALLEN,103,SK,NULL,109
DUNBAR,104,SK,NULL,52
AVON,105,SK,NULL,268
SAUK,107,SK,NULL,283
BAY VIEW,108,SK,NULL,231
BELFAST,109,SK,NULL,149
BIG LAKE,110,SK,NULL,337
BIRDSVIEW,111,SK,NULL,295
BOW,113,SK,NULL,372
CASCADE,114,SK,NULL,47
CEDARDALE,115,SK,NULL,95
CLEAR LAKE,116,SK,NULL,251
COUNTRY CLUB,117,SK,NULL,117
CONWAY,118,SK,NULL,110
DEWEY,119,SK,NULL,429
DIGBY,120,SK,NULL,25
DODGE VALLEY,121,SK,NULL,132
EDISON,122,SK,NULL,162
FIR,124,SK,NULL,114
FRUITDALE,125,SK,NULL,129
GEAR,126,SK,NULL,280
GUEMES,127,SK,NULL,216
HAMBURG,128,SK,NULL,132
HARMONY,129,SK,NULL,156
LAKE SIXTEEN,130,SK,NULL,135
LOOKOUT,132,SK,NULL,307
MANSFORD,133,SK,NULL,37
MAPES,134,SK,NULL,105
MARCH POINT,135,SK,NULL,22
MCMURRAY WEST,136,SK,NULL,129
MCRAE,137,SK,NULL,383
MCMURRAY EAST,138,SK,NULL,57
MINKLER,139,SK,NULL,166
MONTBORNE,140,SK,NULL,365
NOOKACHAMPS,141,SK,NULL,157
SKYRIDGE,144,SK,NULL,227
PRAIRIE,145,SK,NULL,269
POINT WILLIAMS,146,SK,NULL,209
RIDGEWAY,147,SK,NULL,194
ROCKPORT,148,SK,NULL,220
SHELTER BAY,149,SK,NULL,291
SNEE OOSH,150,SK,NULL,212
STERLING,151,SK,NULL,86
SWINOMISH,153,SK,NULL,309
TINGLEY,154,SK,NULL,142
VAN FLEET,155,SK,NULL,232
VEDERE,156,SK,NULL,221
WHITNEY,157,SK,NULL,112
ROSARIO,158,SK,NULL,346
TERRACE,159,SK,NULL,481
STARBIRD,160,SK,NULL,210
FIDALGO,164,SK,NULL,306
GAGES,165,SK,NULL,78
SAMISH,166,SK,NULL,187
COLLINS,167,SK,NULL,157
BLANCHARD,168,SK,NULL,251
VIEW TERRACE,170,SK,NULL,1
LAKE CAVANAUGH,171,SK,NULL,60
LITTLE MOUNTAIN,172,SK,NULL,114
RIVERBEND,173,SK,NULL,13
PADILLA,174,SK,NULL,58
FREDONIA,176,SK,NULL,59
ANACORTES  1,201,SK,NULL,223
ANACORTES  4,204,SK,NULL,205
ANACORTES 5,205,SK,NULL,10
ANACORTES  6,206,SK,NULL,223
ANACORTES  7,207,SK,NULL,492
ANACORTES  9,209,SK,NULL,265
ANACORTES 11,211,SK,NULL,385
ANACORTES 17,217,SK,NULL,466
ANACORTES 20,220,SK,NULL,410
ANACORTES 21,221,SK,NULL,508
ANACORTES 22,222,SK,NULL,375
ANACORTES 24,224,SK,NULL,501
MOUNT VERNON  1,301,SK,NULL,109
MOUNT VERNON  2,302,SK,NULL,129
MOUNT VERNON  3,303,SK,NULL,254
MOUNT VERNON  4,304,SK,NULL,392
MOUNT VERNON  5,305,SK,NULL,77
MOUNT VERNON  6,306,SK,NULL,204
MOUNT VERNON  7,307,SK,NULL,287
MOUNT VERNON  8,308,SK,NULL,503
MOUNT VERNON  9,309,SK,NULL,134
MOUNT VERNON 10,310,SK,NULL,163
MOUNT VERNON 11,311,SK,NULL,250
MOUNT VERNON 12,312,SK,NULL,129
MOUNT VERNON 14,314,SK,NULL,375
MOUNT VERNON 15,315,SK,NULL,181
MOUNT VERNON 16,316,SK,NULL,334
MOUNT VERNON 19,319,SK,NULL,319
MOUNT VERNON 21,321,SK,NULL,458
MOUNT VERNON 22,322,SK,NULL,458
MOUNT VERNON 27,327,SK,NULL,97
MOUNT VERNON 30,330,SK,NULL,331
SEDRO WOOLLEY  1,401,SK,NULL,266
SEDRO WOOLLEY  2,402,SK,NULL,299
SEDRO WOOLLEY  3,403,SK,NULL,224
SEDRO WOOLLEY  4,404,SK,NULL,277
SEDRO WOOLLEY  5,405,SK,NULL,363
SEDRO WOOLLEY  6,406,SK,NULL,278
SEDRO WOOLLEY  7,407,SK,NULL,6
BURLINGTON 1,501,SK,NULL,135
BURLINGTON 2,502,SK,NULL,160
BURLINGTON 3,503,SK,NULL,79
BURLINGTON 4,504,SK,NULL,229
BURLINGTON 5,505,SK,NULL,279
BURLINGTON 6,506,SK,NULL,151
BURLINGTON 7,507,SK,NULL,159
CONCRETE,601,SK,NULL,102
HAMILTON,701,SK,NULL,39
LA CONNER,801,SK,NULL,261
LYMAN,855,SK,NULL,61
