Row Label,PrecinctCode,County,Registered Voters,Chris Wood
Total,-1,AS,NULL,5839
ANATONE,1,AS,NULL,118
RURAL ASOTIN,3,AS,NULL,132
W ASOTIN,4,AS,NULL,145
SWALLOWS NEST,5,AS,NULL,365
ASOTIN #1,101,AS,NULL,180
ASOTIN #2,102,AS,NULL,179
CLARKSTON #1,201,AS,NULL,138
CLARKSTON #2,202,AS,NULL,181
CLARKSTON #3,203,AS,NULL,166
CLARKSTON #4,204,AS,NULL,196
CLARKSTON #5,205,AS,NULL,125
CLARKSTON #6,206,AS,NULL,201
CLARKSTON #7,207,AS,NULL,126
CLARKSTON #8,208,AS,NULL,179
CLARKSTON HTS #1,301,AS,NULL,262
CLARKSTON HTS #2,302,AS,NULL,445
CLARKSTON HTS #3,303,AS,NULL,107
CLARKSTON HTS #4,304,AS,NULL,248
CLARKSTON HTS #5,305,AS,NULL,455
CLARKSTON HTS #6,306,AS,NULL,388
CLARKSTON HTS #7,307,AS,NULL,306
SOUTH CLARKSTON #1,401,AS,NULL,212
SOUTH CLARKSTON #2,402,AS,NULL,276
WEST CLARKSTON #1,501,AS,NULL,224
WEST CLARKSTON #2,502,AS,NULL,225
WEST CLARKSTON #3,503,AS,NULL,260
