Row Label,PrecinctCode,County,Registered Voters,Richard DeBolt,Michael Savoca
Total,-1,CZ,NULL,6044,4610
Brynion,8,CZ,NULL,163,166
Caples,10,CZ,NULL,139,67
Carrolls,11,CZ,NULL,264,213
Castle Rock,12,CZ,NULL,293,273
Chinook,13,CZ,NULL,293,244
Cloverdale,14,CZ,NULL,215,145
Harris,22,CZ,NULL,217,201
Kalama North,27,CZ,NULL,183,171
Kalama South,28,CZ,NULL,254,214
Lewis River,32,CZ,NULL,419,279
Modrow,41,CZ,NULL,207,199
Ostrander,46,CZ,NULL,244,232
Owl Creek,47,CZ,NULL,316,279
Powell,50,CZ,NULL,242,171
Rose Valley,54,CZ,NULL,190,131
Silver Lake,58,CZ,NULL,446,267
Toutle,62,CZ,NULL,287,234
Tower,63,CZ,NULL,372,282
Tunstall,64,CZ,NULL,111,82
Woodage,69,CZ,NULL,254,124
Woodland North,70,CZ,NULL,424,233
Woodland South,71,CZ,NULL,311,233
Yale,72,CZ,NULL,200,170
