Row Label,PrecinctCode,County,Registered Voters,Sue Harnasch
Total,-1,ST,NULL,12039
ADDY,1,ST,NULL,281
CAMAS,3,ST,NULL,214
CAMAS PRAIRIE,4,ST,NULL,147
COLUMBIA,5,ST,NULL,348
COLVILLE VALLEY,6,ST,NULL,444
DAISY,7,ST,NULL,138
ECHO,8,ST,NULL,306
EVANS,9,ST,NULL,156
HUNTERS,10,ST,NULL,298
KELLY HILL,11,ST,NULL,68
LOON LAKE 1,12,ST,NULL,377
LOON LAKE 2,13,ST,NULL,196
MILL CREEK,14,ST,NULL,124
NARCISSE,15,ST,NULL,324
ONION CREEK,16,ST,NULL,104
RICE,19,ST,NULL,144
ROCK CUT,20,ST,NULL,60
SUMMIT,21,ST,NULL,186
FIRST THOUGHT,22,ST,NULL,40
WELLPINIT,24,ST,NULL,146
WILLIAMS VALLEY,25,ST,NULL,304
TUM TUM 1,26,ST,NULL,172
TUM TUM 2,27,ST,NULL,302
WALKERS PRAIRIE,28,ST,NULL,205
STONE LODGE,29,ST,NULL,266
TUM TUM 3,39,ST,NULL,373
TUM TUM 4,40,ST,NULL,213
TUM TUM 5,41,ST,NULL,256
MEYERS FALLS 1,42,ST,NULL,238
MEYERS FALLS 2,43,ST,NULL,370
QUARTZITE 1,44,ST,NULL,418
QUARTZITE 2,45,ST,NULL,216
VALLEY 1,46,ST,NULL,44
VALLEY 2,47,ST,NULL,156
ARDEN 1,48,ST,NULL,208
ARDEN 2,49,ST,NULL,264
CLAYTON 1,50,ST,NULL,169
CLAYTON 2,51,ST,NULL,275
ORIN 1,52,ST,NULL,194
ORIN 2,53,ST,NULL,225
WAITTS LAKE,54,ST,NULL,274
ECHO VALLEY,55,ST,NULL,170
CHEWELAH 1,101,ST,NULL,230
CHEWELAH 2,102,ST,NULL,106
CHEWELAH 3,103,ST,NULL,167
CHEWELAH FORE,104,ST,NULL,119
COLVILLE 1,105,ST,NULL,120
COLVILLE 2,106,ST,NULL,158
COLVILLE 3,107,ST,NULL,162
COLVILLE 4,108,ST,NULL,319
COLVILLE 5,109,ST,NULL,257
COLVILLE 6,110,ST,NULL,188
COLVILLE 7,111,ST,NULL,178
KETTLE FALLS 1,114,ST,NULL,261
KETTLE FALLS 2,115,ST,NULL,165
MARCUS,116,ST,NULL,56
NORTHPORT,117,ST,NULL,83
SPRINGDALE,118,ST,NULL,57
