Row Label,PrecinctCode,County,Registered Voters,Debra L. Stephens,John (Zamboni) Scannell
Total,-1,DG,NULL,6245,2105
PRECINCT 101,101,DG,NULL,142,43
PRECINCT 102,102,DG,NULL,270,76
PRECINCT 103,103,DG,NULL,56,19
PRECINCT 104,104,DG,NULL,339,81
PRECINCT 105,105,DG,NULL,79,32
PRECINCT 106,106,DG,NULL,100,56
PRECINCT 107,107,DG,NULL,116,34
PRECINCT 108,108,DG,NULL,121,42
PRECINCT 109,109,DG,NULL,80,44
PRECINCT 110,110,DG,NULL,183,53
PRECINCT 111,111,DG,NULL,248,62
PRECINCT 112,112,DG,NULL,149,47
PRECINCT 113,113,DG,NULL,128,52
PRECINCT 114,114,DG,NULL,105,42
PRECINCT 201,201,DG,NULL,146,50
PRECINCT 202,202,DG,NULL,72,25
PRECINCT 203,203,DG,NULL,177,61
PRECINCT 204,204,DG,NULL,187,83
PRECINCT 205,205,DG,NULL,250,81
PRECINCT 206,206,DG,NULL,126,30
PRECINCT 207,207,DG,NULL,226,65
PRECINCT 208,208,DG,NULL,103,46
PRECINCT 209,209,DG,NULL,188,79
PRECINCT 210,210,DG,NULL,67,33
PRECINCT 211,211,DG,NULL,56,18
PRECINCT 212,212,DG,NULL,121,53
PRECINCT 213,213,DG,NULL,109,30
PRECINCT 214,214,DG,NULL,43,21
PRECINCT 215,215,DG,NULL,168,65
PRECINCT 301,301,DG,NULL,264,81
PRECINCT 302,302,DG,NULL,226,62
PRECINCT 303,303,DG,NULL,140,44
PRECINCT 304,304,DG,NULL,37,13
PRECINCT 305,305,DG,NULL,110,27
PRECINCT 306,306,DG,NULL,104,44
PRECINCT 307,307,DG,NULL,31,14
PRECINCT 308,308,DG,NULL,28,20
PRECINCT 309,309,DG,NULL,51,21
PRECINCT 310,310,DG,NULL,74,21
PRECINCT 311,311,DG,NULL,87,35
PRECINCT 312,312,DG,NULL,112,51
PRECINCT 313,313,DG,NULL,25,20
PRECINCT 314,314,DG,NULL,37,9
PRECINCT 315,315,DG,NULL,241,68
PRECINCT 316,316,DG,NULL,193,48
PRECINCT 317,317,DG,NULL,276,85
PRECINCT 318,318,DG,NULL,54,19
