Row Label,PrecinctCode,County,Registered Voters,Larry Seaquist,Michelle Caldier
Total,-1,KP,NULL,11407,11466
BREMERTON 001,100001,KP,NULL,170,79
BREMERTON 002,100002,KP,NULL,120,79
BREMERTON 003,100003,KP,NULL,239,162
BREMERTON 005,100005,KP,NULL,184,97
BREMERTON 006,100006,KP,NULL,183,88
BREMERTON 015,100015,KP,NULL,251,197
BREMERTON 016,100016,KP,NULL,63,42
BREMERTON 022,100022,KP,NULL,194,127
BREMERTON 051,100051,KP,NULL,21,23
MARION 090,100090,KP,NULL,51,34
NAVY YARD CITY 095,100095,KP,NULL,237,199
PORT ORCHARD 200,100200,KP,NULL,115,117
PORT ORCHARD 201,100201,KP,NULL,243,185
PORT ORCHARD 202,100202,KP,NULL,293,247
PORT ORCHARD 203,100203,KP,NULL,130,117
PORT ORCHARD 204,100204,KP,NULL,215,202
PORT ORCHARD 205,100205,KP,NULL,450,550
PORT ORCHARD 207,100207,KP,NULL,219,222
PORT ORCHARD 210,100210,KP,NULL,132,185
CEDAR 211,100211,KP,NULL,225,227
ANNAPOLIS 212,100212,KP,NULL,340,317
BRASCH 213,100213,KP,NULL,213,305
SPRING CREEK 217,100217,KP,NULL,161,213
BURLEY 218,100218,KP,NULL,262,295
ALASKA 221,100221,KP,NULL,342,279
WOODRIDGE 222,100222,KP,NULL,111,177
NEBRASKA 223,100223,KP,NULL,225,233
WHISPERING PINES 227,100227,KP,NULL,207,309
GLENWOOD 232,100232,KP,NULL,244,403
HARPER 240,100240,KP,NULL,274,190
YUKON 241,100241,KP,NULL,201,198
WILSON CREEK 242,100242,KP,NULL,224,228
LONG LAKE 245,100245,KP,NULL,173,181
LOCKER 246,100246,KP,NULL,304,366
EBBERT 247,100247,KP,NULL,278,265
LUNDBERG 250,100250,KP,NULL,253,243
CONVERSE 252,100252,KP,NULL,201,231
MANCHESTER 255,100255,KP,NULL,241,182
EVERGREEN 257,100257,KP,NULL,324,369
WILLOCK 258,100258,KP,NULL,191,256
FRAGARIA 259,100259,KP,NULL,244,242
MULLENIX 260,100260,KP,NULL,262,317
BANDIX 263,100263,KP,NULL,250,342
OLALLA 265,100265,KP,NULL,201,213
CRESCENT VALLEY 266,100266,KP,NULL,250,277
OVERLOOK 267,100267,KP,NULL,250,154
MADRONA 269,100269,KP,NULL,197,156
PARKWOOD 270,100270,KP,NULL,286,266
CONIFER 271,100271,KP,NULL,126,142
SEDGWICK 272,100272,KP,NULL,262,289
SHERMAN HEIGHTS 278,100278,KP,NULL,9,9
BERRY LAKE 279,100279,KP,NULL,156,172
LIGHTHOUSE POINT 292,100292,KP,NULL,256,290
WATERMAN 295,100295,KP,NULL,154,178
BREMERTON 296,100296,KP,NULL,0,0
