Row Label,PrecinctCode,County,Registered Voters,Mary E. Fairhurst
Total,-1,LE,NULL,14937
Adna ,1,LE,NULL,368
Agate,2,LE,NULL,120
Alpha,3,LE,NULL,308
Berwick,4,LE,NULL,332
Big Bottom,5,LE,NULL,266
Boistfort,6,LE,NULL,59
Cinebar,7,LE,NULL,210
Claquato,8,LE,NULL,209
Cowlitz,9,LE,NULL,379
Crego,10,LE,NULL,483
Curtis,11,LE,NULL,72
Drews Prairie,12,LE,NULL,119
Dryad,13,LE,NULL,76
Elk Crk,14,LE,NULL,65
Emery,15,LE,NULL,126
Emery North,16,LE,NULL,2
Ethel,17,LE,NULL,288
Evaline East,18,LE,NULL,86
Evaline West,19,LE,NULL,137
Fair,20,LE,NULL,0
Fords Prairie,21,LE,NULL,263
Forest,22,LE,NULL,246
Greenwood,23,LE,NULL,7
Harmony,24,LE,NULL,225
Independence,25,LE,NULL,52
Jackson,26,LE,NULL,290
Jackson North,27,LE,NULL,0
Kelly,28,LE,NULL,0
Klickitat,29,LE,NULL,140
Lincoln Creek,30,LE,NULL,187
Logan,31,LE,NULL,226
Mauermann,32,LE,NULL,51
Mellen,33,LE,NULL,1
Meskill,34,LE,NULL,40
Mineral,35,LE,NULL,126
Newaukum,36,LE,NULL,189
Onalaska,37,LE,NULL,429
Packwood,38,LE,NULL,64
Paradise,39,LE,NULL,38
Parcuvia,40,LE,NULL,164
Prescott,41,LE,NULL,456
Randle East,42,LE,NULL,230
Randle West,43,LE,NULL,164
Roswell,44,LE,NULL,7
Salkum,45,LE,NULL,188
Salmon Creek,46,LE,NULL,382
Salzer,47,LE,NULL,94
Sears,48,LE,NULL,166
Seminary Hill,49,LE,NULL,121
Silver Creek,50,LE,NULL,229
Skookumchuck,51,LE,NULL,221
Sommerville,52,LE,NULL,35
Stearns Creek,53,LE,NULL,81
Stillwater East,54,LE,NULL,73
Stillwater West,55,LE,NULL,135
Temple,56,LE,NULL,182
Union,57,LE,NULL,157
Urquhart,58,LE,NULL,131
Veness,59,LE,NULL,221
Verndale,60,LE,NULL,224
Whealdon,61,LE,NULL,157
Centralia #1,101,LE,NULL,114
Centralia #2,102,LE,NULL,263
Centralia #3,103,LE,NULL,115
Centralia #4,104,LE,NULL,148
Centralia #5,105,LE,NULL,121
Centralia #6,106,LE,NULL,231
Centralia #7,107,LE,NULL,105
Centralia #8,108,LE,NULL,140
Centralia #9,109,LE,NULL,255
Centralia #10,110,LE,NULL,109
Centralia #11,111,LE,NULL,271
Centralia #12,112,LE,NULL,308
Centralia #13,113,LE,NULL,328
Chehalis #1,201,LE,NULL,191
Chehalis #2,202,LE,NULL,130
Chehalis #3,203,LE,NULL,146
Chehalis #4,204,LE,NULL,139
Chehalis #5,205,LE,NULL,120
Chehalis #6,206,LE,NULL,217
Chehalis #7,207,LE,NULL,40
Chehalis #8,208,LE,NULL,168
Chehalis #9,209,LE,NULL,12
Morton,300,LE,NULL,182
Mossyrock,400,LE,NULL,106
Napavine #1,501,LE,NULL,311
Napavine #2,502,LE,NULL,0
Napavine #3,503,LE,NULL,1
Napavine #4,504,LE,NULL,0
Napavine #5,505,LE,NULL,0
Napavine #6,506,LE,NULL,0
Pe Ell,600,LE,NULL,129
Toledo,700,LE,NULL,133
Vader,800,LE,NULL,105
Winlock,900,LE,NULL,202
