Row Label,PrecinctCode,County,Registered Voters,Ben Elenbaas,Chet Dow,Stan Snapp,Judd Morse,Susan Gribbin,Sherryl (Sherry) Nelson,Rebecca Boonstra,Atul Deshmane,Cliff Langley,Ken Bell,Kate Blystone,Branden Brink,Matt Weeda,Bob Johnson,Larry Nicholas,Joe Elenbaas,Bob Bandarra
Total,-1,WM,NULL,12999,7270,6174,4988,5729,4262,3616,1186,7737,9429,6559,5426,3121,2044,2100,9877,4343
139,139,WM,NULL,203,100,19,20,24,16,29,4,99,121,23,111,44,24,10,155,17
140    ,140,WM,NULL,555,302,71,77,57,57,117,17,318,350,58,268,105,58,36,396,38
141    ,141,WM,NULL,393,209,82,77,84,80,85,20,240,232,102,180,68,51,38,299,69
142,142,WM,NULL,167,67,71,73,92,71,98,16,115,103,103,62,39,44,45,140,66
143    ,143,WM,NULL,107,57,87,67,88,69,89,22,82,70,100,24,22,25,29,91,72
144    ,144,WM,NULL,501,297,47,42,43,41,86,10,240,314,46,292,100,23,37,319,22
145    ,145,WM,NULL,370,208,114,92,113,88,91,23,212,271,118,192,84,72,51,269,79
146    ,146,WM,NULL,403,231,101,87,107,96,86,22,222,289,92,146,84,50,44,307,61
147,147,WM,NULL,295,162,97,92,102,65,73,9,172,171,102,110,68,16,34,233,77
148,148,WM,NULL,250,116,84,88,109,98,123,28,168,153,100,77,52,42,46,202,56
149,149,WM,NULL,236,146,73,46,57,56,47,12,145,180,67,94,63,26,27,168,38
150,150,WM,NULL,319,204,111,90,94,58,43,20,194,266,110,115,89,34,40,243,90
151,151,WM,NULL,305,168,135,100,124,85,68,25,193,226,133,104,67,55,60,231,89
152,152,WM,NULL,239,164,129,98,110,74,46,23,149,190,127,61,39,34,49,197,86
153,153,WM,NULL,257,172,98,74,78,68,59,20,184,198,94,60,47,46,36,208,64
154    ,154,WM,NULL,175,73,90,79,78,68,47,17,81,104,87,66,30,27,32,127,70
155,155,WM,NULL,182,121,62,43,52,46,48,13,120,146,58,80,44,33,27,131,39
156    ,156,WM,NULL,101,68,40,40,45,47,28,11,56,84,43,45,34,14,24,70,40
157,157,WM,NULL,83,45,53,47,51,43,17,14,55,83,64,34,26,21,22,65,44
158    ,158,WM,NULL,97,58,60,49,60,34,33,13,76,92,55,36,24,20,22,74,43
159    ,159,WM,NULL,65,40,31,19,29,21,27,4,39,48,26,11,13,12,21,51,12
160    ,160,WM,NULL,161,92,160,112,127,96,54,33,120,146,167,64,60,32,49,135,86
161    ,161,WM,NULL,111,55,91,68,87,56,38,16,72,96,106,27,19,23,23,90,56
162    ,162,WM,NULL,119,75,109,76,97,60,51,15,93,140,117,48,38,41,52,106,74
163    ,163,WM,NULL,140,99,161,124,147,91,51,29,128,125,168,64,37,27,43,122,114
208,208,WM,NULL,139,58,275,221,267,181,98,56,88,125,316,38,48,57,66,109,210
211,211,WM,NULL,163,121,133,99,137,106,76,37,107,144,142,39,54,48,48,121,94
212,212,WM,NULL,74,43,61,53,62,43,42,10,47,65,73,34,24,27,20,59,43
213,213,WM,NULL,169,102,237,204,233,150,78,31,98,144,271,40,40,50,55,136,180
214,214,WM,NULL,86,61,214,157,183,107,52,45,70,83,218,13,21,26,22,71,157
215,215,WM,NULL,76,34,281,216,222,116,42,27,52,68,283,20,45,26,28,63,201
216,216,WM,NULL,105,62,235,191,218,116,58,38,67,70,258,36,36,27,36,87,177
217,217,WM,NULL,145,111,96,84,101,76,44,26,107,144,95,39,38,36,28,135,55
218,218,WM,NULL,117,61,85,70,123,96,77,29,81,100,118,29,34,39,36,87,54
219,219,WM,NULL,116,76,170,110,152,111,73,34,76,110,167,21,43,23,40,99,94
220,220,WM,NULL,136,77,86,70,96,94,56,35,80,110,123,37,47,26,41,103,58
221,221,WM,NULL,199,123,129,119,130,86,41,32,161,191,154,57,32,38,55,173,91
223,223,WM,NULL,38,20,170,143,123,100,28,27,29,36,175,24,18,19,20,31,134
229,229,WM,NULL,104,60,167,126,163,111,61,43,69,100,191,32,44,40,61,87,131
233,233,WM,NULL,126,72,171,125,156,89,51,27,81,110,171,35,47,44,43,108,124
234,234,WM,NULL,170,126,195,134,172,74,57,33,141,160,204,60,48,30,63,144,111
235,235,WM,NULL,90,65,110,85,87,58,32,17,75,82,122,36,27,25,40,77,68
236,236,WM,NULL,61,38,76,53,72,42,29,9,30,65,90,27,21,10,18,51,51
237,237,WM,NULL,72,36,111,90,98,56,21,15,38,88,101,33,27,14,16,63,78
238,238,WM,NULL,132,63,147,101,89,61,23,11,78,150,116,50,28,23,32,114,72
401,401,WM,NULL,193,83,40,27,31,35,39,9,107,125,42,48,42,31,27,126,35
402    ,402,WM,NULL,239,125,77,59,68,60,47,17,135,144,73,58,45,32,19,171,50
601,601,WM,NULL,455,225,71,65,86,93,133,14,254,295,98,242,120,51,39,356,51
602,602,WM,NULL,368,236,66,54,68,62,71,6,218,256,69,197,80,52,28,266,64
603,603,WM,NULL,285,139,67,48,57,52,64,11,136,161,68,119,59,34,28,215,43
604    ,604,WM,NULL,351,179,28,36,34,49,65,7,169,228,48,185,69,50,25,239,28
605,605,WM,NULL,239,120,34,26,27,20,41,3,126,148,34,107,54,37,23,176,33
606    ,606,WM,NULL,351,177,65,59,64,55,76,13,188,223,72,184,97,39,21,269,47
607    ,607,WM,NULL,367,204,50,49,41,42,71,8,194,234,47,206,72,44,25,238,44
608    ,608,WM,NULL,306,174,58,54,54,59,77,12,138,200,60,166,78,25,36,216,52
609    ,609,WM,NULL,434,223,62,65,48,68,66,8,250,302,81,231,102,37,38,330,46
610    ,610,WM,NULL,451,241,83,87,64,48,103,12,225,286,68,254,116,31,34,337,67
611    ,611,WM,NULL,298,150,38,34,30,37,60,9,158,195,29,167,66,23,15,214,25
701,701,WM,NULL,285,141,67,63,78,70,74,15,158,160,69,108,67,45,39,209,41
801,801,WM,NULL,225,115,43,31,40,55,56,24,133,129,47,83,36,35,38,168,32
