Row Label,PrecinctCode,County,Registered Voters,Rick Larsen,B.J. Guillot
EMERALD,22134286,SN,NULL,150,125
PICNIC POINT,22134314,SN,NULL,143,105
SHORE,22134320,SN,NULL,203,136
NORMA,22134356,SN,NULL,159,79
PUGET,22134359,SN,NULL,184,88
SHADOW WOOD,22134362,SN,NULL,187,94
ALDER,22134368,SN,NULL,158,103
KEELER,22134373,SN,NULL,151,85
MARINER,22134427,SN,NULL,140,97
POST,22134434,SN,NULL,171,114
HAMPTON,22134456,SN,NULL,200,116
HIPOINT,22134459,SN,NULL,134,61
JEFF,22134460,SN,NULL,124,95
MADISON,22134463,SN,NULL,240,160
WOODGATE,22134489,SN,NULL,87,76
FAIRWOOD,22134492,SN,NULL,81,68
STONE GATE,22134497,SN,NULL,171,72
HILLMAN,22134501,SN,NULL,153,116
BEVERLY,22134520,SN,NULL,176,98
ADMIRALTY,22134642,SN,NULL,144,68
AVALON,22134688,SN,NULL,93,56
DALE,22134692,SN,NULL,183,112
JEFFERSON,22134699,SN,NULL,137,72
LUNDS GULCH,22134758,SN,NULL,86,31
MARTHA LAKE,22144081,SN,NULL,151,160
EAST SHORE,22144131,SN,NULL,175,115
FREEWAY,22144166,SN,NULL,181,126
ROYAL,22144209,SN,NULL,228,207
CASCADIAN,22144279,SN,NULL,224,148
CLOVER,22144280,SN,NULL,139,104
KENTISH,22144297,SN,NULL,131,91
WALNUT,22144331,SN,NULL,128,88
EVERGREEN,22144415,SN,NULL,116,81
FOREST,22144455,SN,NULL,190,135
NORTHROAD,22144476,SN,NULL,229,149
RHODY RIDGE,22144481,SN,NULL,126,86
FILBERT,22144527,SN,NULL,221,151
MEADOWCREST,22144546,SN,NULL,168,116
TERRACE,22144556,SN,NULL,47,27
ELFIN,22144578,SN,NULL,89,81
BUTTERNUT,22144689,SN,NULL,191,105
POPPY,22144707,SN,NULL,99,102
LYNNWOOD  1,23231115,SN,NULL,108,44
LYNNWOOD  2,23231116,SN,NULL,154,65
LYNNWOOD  3,23231117,SN,NULL,169,100
LYNNWOOD  4,23231118,SN,NULL,144,77
LYNNWOOD  5,23231119,SN,NULL,109,58
LYNNWOOD  6,23231120,SN,NULL,181,83
LYNNWOOD  7,23231121,SN,NULL,217,119
LYNNWOOD  8,23231122,SN,NULL,139,74
LYNNWOOD  9,23231123,SN,NULL,229,105
LYNNWOOD 10,23231124,SN,NULL,113,55
LYNNWOOD 11,23231125,SN,NULL,188,105
LYNNWOOD 13,23231168,SN,NULL,126,96
LYNNWOOD 16,23231186,SN,NULL,166,82
LYNNWOOD 17,23231201,SN,NULL,249,130
LYNNWOOD 18,23231202,SN,NULL,182,104
LYNNWOOD 20,23231203,SN,NULL,189,97
LYNNWOOD 22,23231204,SN,NULL,136,60
LYNNWOOD 23,23231205,SN,NULL,201,67
LYNNWOOD 24,23231206,SN,NULL,165,62
LYNNWOOD 28,23231207,SN,NULL,109,73
LYNNWOOD 29,23231208,SN,NULL,230,139
LYNNWOOD 30,23231210,SN,NULL,208,116
LYNNWOOD 12,23231419,SN,NULL,204,90
LYNNWOOD 14,23231420,SN,NULL,143,83
LYNNWOOD 15,23231421,SN,NULL,129,79
LYNNWOOD 21,23231423,SN,NULL,170,117
LYNNWOOD 31,23231424,SN,NULL,105,64
LYNNWOOD 32(*),23231462,SN,NULL,0,0
LYNNWOOD 33,23231516,SN,NULL,182,120
LYNNWOOD 25,23231626,SN,NULL,236,123
LYNNWOOD 26,23231627,SN,NULL,204,100
HILLTOP,23234077,SN,NULL,228,186
CYPRESS,23234175,SN,NULL,180,128
LAURA,23234184,SN,NULL,236,119
ALDERCREST,23234444,SN,NULL,30,36
LARCH,23234461,SN,NULL,173,116
MAGNOLIA,23234539,SN,NULL,153,87
PACIFIC,23234550,SN,NULL,55,17
RIDGEVIEW,23234755,SN,NULL,109,52
MOUNTLAKE TERRACE  7,23241095,SN,NULL,86,77
MOUNTLAKE TERRACE  8,23241096,SN,NULL,194,70
MOUNTLAKE TERRACE  9,23241097,SN,NULL,123,71
MOUNTLAKE TERRACE 10,23241137,SN,NULL,276,142
NILE,23244749,SN,NULL,0,0
MARYSVILLE  1,23811047,SN,NULL,104,109
MARYSVILLE  2,23811048,SN,NULL,79,54
MARYSVILLE  4,23811128,SN,NULL,142,85
MARYSVILLE  6,23811129,SN,NULL,115,108
MARYSVILLE  3,23811261,SN,NULL,185,160
MARYSVILLE  9,23811299,SN,NULL,80,54
MARYSVILLE 11,23811342,SN,NULL,225,161
MARYSVILLE  7,23811350,SN,NULL,105,96
MARYSVILLE  8,23811351,SN,NULL,160,101
MARYSVILLE 10,23811429,SN,NULL,113,118
MARYSVILLE 13,23811430,SN,NULL,130,117
MARYSVILLE 15,23811465,SN,NULL,173,114
MARYSVILLE 17,23811467,SN,NULL,147,127
MARYSVILLE 20,23811504,SN,NULL,162,126
MARYSVILLE 26,23811544,SN,NULL,197,141
MARYSVILLE 27,23811571,SN,NULL,194,184
MARYSVILLE 28,23811572,SN,NULL,99,83
MARYSVILLE 25,23811650,SN,NULL,106,63
MARYSVILLE 29,23811651,SN,NULL,87,76
MARYSVILLE 32,23811679,SN,NULL,106,107
MARYSVILLE 35,23811728,SN,NULL,150,140
MARYSVILLE 36,23811729,SN,NULL,126,79
