Row Label,PrecinctCode,County,Registered Voters,Mark Miloscia,Shari Song
Total,-1,KI,NULL,1001,707
Total,-1,KI,NULL,1001,707
30-701,30701,PI,NULL,15,4
30-705,30705,PI,NULL,137,127
30-706,30706,PI,NULL,229,176
30-707,30707,PI,NULL,139,95
30-708,30708,PI,NULL,231,154
30-709(*),30709,PI,NULL,0,0
30-713(*),30713,PI,NULL,0,0
