Row Label,PrecinctCode,County,Registered Voters,Gordon R Heimbigner
Total,-1,WL,NULL,13435
Alderbrook 01,1,WL,NULL,167
Alder 02,2,WL,NULL,129
Ash 03,3,WL,NULL,304
Baumeister 04,4,WL,NULL,278
Birch 05,5,WL,NULL,184
Clark 06,6,WL,NULL,131
College 07,7,WL,NULL,185
Edison 08,8,WL,NULL,215
Garfield 09,9,WL,NULL,242
Green Park 10,10,WL,NULL,131
Henderson 11,11,WL,NULL,190
Isaacs 12,12,WL,NULL,145
Jefferson 13,13,WL,NULL,432
Maple 16,16,WL,NULL,381
Marcus 17,17,WL,NULL,518
Monroe 18,18,WL,NULL,466
Paine 20,20,WL,NULL,88
Pine 21,21,WL,NULL,128
Pleasant 22,22,WL,NULL,388
Sharpstein 23,23,WL,NULL,180
Spruce 24,24,WL,NULL,159
Stadium 25,25,WL,NULL,164
Tausick 26,26,WL,NULL,196
Wainwright 28,28,WL,NULL,361
Watertown 29,29,WL,NULL,176
Abbott 31,31,WL,NULL,247
Baker 33,33,WL,NULL,83
Ice Harbor 34,34,WL,NULL,308
Berney 35,35,WL,NULL,194
Blalock 36,36,WL,NULL,353
Braden 37,37,WL,NULL,394
Burbank 38,38,WL,NULL,396
Clyde 39,39,WL,NULL,25
Derry 40,40,WL,NULL,120
Dixie 41,41,WL,NULL,193
Eureka 5 42,42,WL,NULL,47
Eureka 4 43,43,WL,NULL,2
Frenchtown 5 44,44,WL,NULL,158
Frenchtown 4 45,45,WL,NULL,40
Garrison 46,46,WL,NULL,181
Gose 47,47,WL,NULL,88
Lincoln 49,49,WL,NULL,47
Mill Creek 50,50,WL,NULL,190
Moore 51,51,WL,NULL,178
Pros Point 52,52,WL,NULL,732
Ritz 53,53,WL,NULL,422
McNary 54,54,WL,NULL,191
Touchet 4 55,55,WL,NULL,247
Touchet 5 56,56,WL,NULL,5
Twin Grove 57,57,WL,NULL,180
Yellowhawk 58,58,WL,NULL,25
Wallula 59,59,WL,NULL,26
Washington 60,60,WL,NULL,121
CP 1 61,61,WL,NULL,398
CP 2 62,62,WL,NULL,272
CP 3 63,63,WL,NULL,373
Prescott 64,64,WL,NULL,68
Waitsburg 65,65,WL,NULL,379
CP 4 66,66,WL,NULL,426
CP 5 67,67,WL,NULL,334
CP 6 68,68,WL,NULL,54
