Row Label,PrecinctCode,County,Registered Voters,Robert Hogg,Larry Schaapman
Total,-1,GR,NULL,5075,10372
Airport 1 001,1,GR,NULL,76,121
Beverly 002,2,GR,NULL,11,19
Block 71 003,3,GR,NULL,86,410
Cascade Fairgrnd 004,4,GR,NULL,87,110
Coulee City 005,5,GR,NULL,67,91
Coulee Cty Rur W 006,6,GR,NULL,32,28
Electric City 007,7,GR,NULL,113,118
Ephrata 5 008,8,GR,NULL,78,143
Ephrata 2 009,9,GR,NULL,73,197
Ephrata 3 010,10,GR,NULL,90,97
Ephrata 4 011,11,GR,NULL,98,253
Ephrata 7 012,12,GR,NULL,77,199
Ephrata 9 013,13,GR,NULL,118,309
Ephrata Rural ,14,GR,NULL,66,164
George 015,15,GR,NULL,12,27
George Rural 016,16,GR,NULL,89,386
Gloyd 017,17,GR,NULL,77,142
Grand Coulee 018,18,GR,NULL,105,96
Hartline 019,19,GR,NULL,16,26
Hartline Rural S 020,20,GR,NULL,7,12
Lakeview Park 021,21,GR,NULL,87,139
Longview 022,22,GR,NULL,115,186
Mae 023,23,GR,NULL,230,404
Marlin 024,24,GR,NULL,3,14
Marlin Rural 025,25,GR,NULL,15,15
Mattawa 026,26,GR,NULL,15,21
Mattawa Rural 027,27,GR,NULL,142,186
McConihe 1 028,28,GR,NULL,48,85
Moses Lake 5 029,29,GR,NULL,77,141
Moses Lake 3 030,30,GR,NULL,145,231
Moses Lake 4 031,31,GR,NULL,89,139
Moses Lake 6 032,32,GR,NULL,170,203
Moses Lake 7 033,33,GR,NULL,128,180
Moses Lake 8 034,34,GR,NULL,159,231
Moses Lake 11 035,35,GR,NULL,152,297
Moses Lake 12 036,36,GR,NULL,121,142
North Banks Lake 037,37,GR,NULL,17,29
O Sullivan Dam 1 038,38,GR,NULL,128,228
Quincy 1 039,39,GR,NULL,32,215
Quincy 4 040,40,GR,NULL,19,120
Quincy 6 041,41,GR,NULL,46,415
Quincy Rural N 042,42,GR,NULL,29,195
Royal Camp 043,43,GR,NULL,95,259
Royal City 044,44,GR,NULL,35,61
Ruff 045,45,GR,NULL,18,20
Smyrna 1 046,46,GR,NULL,29,67
Soap Lake 1 047,47,GR,NULL,69,73
Soap Lake Rur E ,48,GR,NULL,26,42
Stratford 049,49,GR,NULL,8,27
Warden 050,50,GR,NULL,56,82
Warden Rural 051,51,GR,NULL,101,199
Soap Lake 2 052,52,GR,NULL,63,70
Westslope 1 053,53,GR,NULL,29,56
Wheeler 1 054,54,GR,NULL,59,104
Wilson Creek 055,55,GR,NULL,17,33
Wilson Crk Rural 056,56,GR,NULL,4,22
Airport 2 057,57,GR,NULL,72,92
Cascade Valley 058,58,GR,NULL,186,234
Westslope 2 059,59,GR,NULL,12,56
Smyrna 2 060,60,GR,NULL,7,17
East Wahluke 061,61,GR,NULL,19,46
Coulee Cty Rur E 062,62,GR,NULL,6,13
McConihe 2 063,63,GR,NULL,56,72
Quincy Rural S 064,64,GR,NULL,50,498
Greenfield 065,65,GR,NULL,9,37
Moses Lake 1 066,66,GR,NULL,60,105
Moses Lake 2 067,67,GR,NULL,89,119
Moses Lake 9  068,68,GR,NULL,88,169
O Sullivan Dam 2 069,69,GR,NULL,137,341
Wheeler 2 070,70,GR,NULL,143,298
Soap Lake Rur W ,71,GR,NULL,97,176
Coulee Cty Rur N 072,72,GR,NULL,25,35
Hartline Rural N 073,73,GR,NULL,8,17
Ephrata Rural E,74,GR,NULL,57,168
