Row Label,PrecinctCode,County,Registered Voters,Leah McCormack
Total,-1,OK,NULL,8653
ALMA,1,OK,NULL,40
ANGLIN,2,OK,NULL,58
BEEMAN,3,OK,NULL,57
BODIE,4,OK,NULL,15
BONAPARTE,5,OK,NULL,29
BOSTON,6,OK,NULL,59
BREWSTER RURAL,7,OK,NULL,50
CARLTON,8,OK,NULL,29
CHESAW,9,OK,NULL,36
CONCONULLY RURAL,10,OK,NULL,39
DUCK LAKE,11,OK,NULL,25
DULEY LAKE,12,OK,NULL,22
EASTLAKE,13,OK,NULL,23
EASTSIDE,14,OK,NULL,64
ELLISFORDE,15,OK,NULL,54
ELMERTON,16,OK,NULL,77
ELMWAY,17,OK,NULL,38
HAVILLAH,18,OK,NULL,56
LOOMIS,19,OK,NULL,51
MALOTT,20,OK,NULL,72
MAZAMA,21,OK,NULL,66
METHOW,22,OK,NULL,60
MISSION,23,OK,NULL,26
MOLSON,24,OK,NULL,54
MONSE #1,25,OK,NULL,50
NESPELEM RURAL,27,OK,NULL,19
NIGHTHAWK,28,OK,NULL,16
NORTH OMAK,29,OK,NULL,27
PATEROS RURAL,30,OK,NULL,38
PINE CREEK,31,OK,NULL,39
POGUE,32,OK,NULL,64
RIVERSIDE RURAL,33,OK,NULL,78
SAN POIL,34,OK,NULL,65
SOUTH OROVILLE,35,OK,NULL,53
SPRING COULEE,36,OK,NULL,56
TONASKET RURAL,37,OK,NULL,26
TUNK CREEK,38,OK,NULL,70
TWISP RURAL,39,OK,NULL,46
WOLF CREEK,40,OK,NULL,48
WAUCONDA,41,OK,NULL,39
WESTLAKE,42,OK,NULL,29
WHITESTONE,43,OK,NULL,29
WINTHROP RURAL,44,OK,NULL,63
CHILIWIST,45,OK,NULL,48
MONSE #3,46,OK,NULL,31
OKANOGAN RURAL,47,OK,NULL,33
AENEAS,48,OK,NULL,34
COLUMBIA,49,OK,NULL,20
CRUMBACHER,50,OK,NULL,61
DISAUTEL,51,OK,NULL,18
HUDSON,52,OK,NULL,23
KIPLING,53,OK,NULL,24
ORCHARD,54,OK,NULL,28
TORODA,55,OK,NULL,50
BEAVER CREEK,56,OK,NULL,28
BLACK CANYON,57,OK,NULL,30
BUFFALO LAKE,58,OK,NULL,19
COPPLE,59,OK,NULL,51
EDELWEISS,60,OK,NULL,52
ENGH,61,OK,NULL,62
FINLEY CANYON,62,OK,NULL,56
JANIS,63,OK,NULL,28
LEESE,64,OK,NULL,17
LIBBY CREEK,65,OK,NULL,61
MCGINNIS LAKE,66,OK,NULL,11
NORTH STAR,67,OK,NULL,12
OWHI,68,OK,NULL,24
PALMER LAKE,69,OK,NULL,42
PINE CONE,70,OK,NULL,29
POORMAN CREEK,71,OK,NULL,79
SAND FLAT,72,OK,NULL,60
SOURDOUGH,74,OK,NULL,54
TWIN LAKES,75,OK,NULL,64
VALLEY,76,OK,NULL,40
WANNACUT,77,OK,NULL,53
WEST CHEWUCH,78,OK,NULL,49
CANAL,79,OK,NULL,35
AIRPORT,81,OK,NULL,52
BALKY HILL,82,OK,NULL,38
BRIDGE CREEK,83,OK,NULL,27
CROSSROADS,84,OK,NULL,34
DAVIS LAKE,85,OK,NULL,47
GREENACRES,86,OK,NULL,28
JOHNSON CREEK,87,OK,NULL,45
LEWIS BUTTE,88,OK,NULL,64
LIME BELT,89,OK,NULL,20
MCCLURE MTN,90,OK,NULL,58
MOCCASIN LAKE,91,OK,NULL,54
NORTH MALOTT,92,OK,NULL,57
PATTERSON LAKE,93,OK,NULL,61
PEARRYGIN LAKE,94,OK,NULL,34
BOUNDARY,95,OK,NULL,43
BUCKHORN MTN,96,OK,NULL,43
EDER,97,OK,NULL,42
HORSESHOE LAKE,98,OK,NULL,29
LAKE ANDREWS,99,OK,NULL,37
MYERS CREEK,100,OK,NULL,18
COULEE DAM #1,101,OK,NULL,49
COULEE DAM #2,102,OK,NULL,39
COULEE DAM #3,103,OK,NULL,35
NESPELEM CITY,104,OK,NULL,15
OKANOGAN #1,105,OK,NULL,34
OKANOGAN #2,106,OK,NULL,44
OKANOGAN #3,107,OK,NULL,21
OKANOGAN #4,108,OK,NULL,42
OMAK #1,109,OK,NULL,23
OMAK #2,110,OK,NULL,41
OMAK #3,111,OK,NULL,17
OMAK #4,112,OK,NULL,31
OMAK #5,113,OK,NULL,45
OMAK #6,114,OK,NULL,39
OMAK #7,115,OK,NULL,36
OMAK #8,116,OK,NULL,18
OMAK #9,117,OK,NULL,64
OROVILLE #1,118,OK,NULL,34
OROVILLE #2,119,OK,NULL,25
OROVILLE #3,120,OK,NULL,24
TONASKET #1,121,OK,NULL,27
TONASKET #2,122,OK,NULL,35
TONASKET #3,123,OK,NULL,16
BREWSTER #1,124,OK,NULL,25
BREWSTER #2,125,OK,NULL,57
PATEROS #1,126,OK,NULL,35
PATEROS #2,127,OK,NULL,35
TWISP #1,128,OK,NULL,63
TWISP #2,129,OK,NULL,44
WINTHROP #1,130,OK,NULL,65
CONCONULLY CITY,131,OK,NULL,68
COULEE DAM #4,132,OK,NULL,31
ELMER CITY,133,OK,NULL,62
RIVERSIDE CITY,134,OK,NULL,61
TWISP #3,135,OK,NULL,63
TWISP #4,136,OK,NULL,22
WINTHROP #2,137,OK,NULL,48
SHORELINE,138,OK,NULL,28
SIMILKAMEEN,139,OK,NULL,29
TEAL LAKE,140,OK,NULL,29
TONASKET CREEK,141,OK,NULL,28
OROVILLE #4,142,OK,NULL,38
OROVILLE #5,143,OK,NULL,40
OROVILLE #6,144,OK,NULL,21
