Row Label,PrecinctCode,County,Registered Voters,Clint Didier,Dan Newhouse
BLUE LAKE,150,OK,NULL,31,26
AENEAS CREEK,151,OK,NULL,32,27
AENEAS LAKE,152,OK,NULL,60,13
ANTOINE CREEK,153,OK,NULL,25,15
ANTOINE PEAK,154,OK,NULL,14,13
CAPE LABELLE,155,OK,NULL,22,15
CAYUSE MTN,156,OK,NULL,16,13
CHEWILIKEN,157,OK,NULL,16,12
DUFFYS MTN,158,OK,NULL,18,12
FRONTAGE,159,OK,NULL,9,9
GUSTY RIDGE,160,OK,NULL,26,12
LONGANECKER,161,OK,NULL,25,7
NORTH TONASKET,162,OK,NULL,36,38
PICKENS MTN,163,OK,NULL,29,11
RANCHES,164,OK,NULL,4,16
SIWASH CREEK,165,OK,NULL,26,26
SPECTACLE LAKE,166,OK,NULL,25,21
HIGHWAY,167,OK,NULL,14,12
WHISKY MTN,168,OK,NULL,7,9
YARNELL,169,OK,NULL,22,14
TONASKET #4,170,OK,NULL,21,20
TONASKET #5,171,OK,NULL,19,22
TONASKET #6,172,OK,NULL,9,17
TONASKET #7,173,OK,NULL,32,17
LEECHER MTN,174,OK,NULL,28,41
ALTA LAKE,175,OK,NULL,28,27
STARR,176,OK,NULL,17,18
PATEROS #3,177,OK,NULL,16,12
RAT LAKE,178,OK,NULL,25,12
BREWSTER FLAT,179,OK,NULL,18,28
BREWSTER #3,180,OK,NULL,15,20
BREWSTER #4,181,OK,NULL,8,11
BREWSTER #5,182,OK,NULL,16,13
BREWSTER #6,183,OK,NULL,10,11
PIONEER,184,OK,NULL,22,31
COLEMAN BUTTE,185,OK,NULL,27,23
ASTON,186,OK,NULL,13,24
WEST RIVER,187,OK,NULL,25,10
OMAK RIVER,188,OK,NULL,38,17
CHEROKEE,189,OK,NULL,38,30
NICHOLS,190,OK,NULL,15,14
LONE PINE,191,OK,NULL,11,15
OMAK MTN,192,OK,NULL,18,8
OMAK LAKE,193,OK,NULL,10,21
FIKER,194,OK,NULL,24,23
ROSS CANYON,195,OK,NULL,27,24
HENDRICK,196,OK,NULL,31,38
DIXON,197,OK,NULL,33,27
KERMEL,198,OK,NULL,35,21
GLOVER,199,OK,NULL,36,32
FLETCHER,200,OK,NULL,34,20
MOCK,201,OK,NULL,36,20
OMAK #10,202,OK,NULL,23,25
OMAK #11,203,OK,NULL,34,37
OMAK #12,204,OK,NULL,30,25
OMAK #13,205,OK,NULL,16,20
OMAK #14,206,OK,NULL,17,12
OMAK #15,207,OK,NULL,34,34
OMAK #16,208,OK,NULL,17,28
OMAK #17,209,OK,NULL,37,40
OMAK #18,210,OK,NULL,12,10
OMAK #19,211,OK,NULL,12,18
OMAK #20,212,OK,NULL,32,23
OMAK #21,213,OK,NULL,16,13
OMAK #22,214,OK,NULL,25,20
OMAK #23,215,OK,NULL,13,10
OMAK #24,216,OK,NULL,10,25
OKANOGAN #5,217,OK,NULL,23,28
OKANOGAN #6,218,OK,NULL,24,29
OKANOGAN #7,219,OK,NULL,12,11
OKANOGAN #8,220,OK,NULL,21,18
OKANOGAN #9,221,OK,NULL,27,25
OKANOGAN #10,222,OK,NULL,38,26
OKANOGAN #11,223,OK,NULL,34,17
OKANOGAN #12,224,OK,NULL,15,19
OKANOGAN #13,225,OK,NULL,13,16
AVIATION,226,OK,NULL,15,15
SUNSET LAKES,236,OK,NULL,13,8
FLATS,237,OK,NULL,31,15
