Row Label,PrecinctCode,County,Registered Voters,Irene Bowling,Tim Sheldon
Total,-1,MA,NULL,9366,9923
PICKERING,113,MA,NULL,240,272
HARSTINE,114,MA,NULL,419,329
GRAPEVIEW,115,MA,NULL,312,347
MASON LAKE,116,MA,NULL,207,263
FAIR HARBOR,117,MA,NULL,171,225
ALLYN,118,MA,NULL,405,558
VICTOR,119,MA,NULL,187,224
BELFAIR,120,MA,NULL,220,239
TIGER LAKE,121,MA,NULL,128,170
DEWATTO,122,MA,NULL,233,363
TAHUYA,123,MA,NULL,237,296
SAND HILL,124,MA,NULL,235,308
TRAIL&#39;S END,125,MA,NULL,235,353
TWANOH,126,MA,NULL,155,190
BORDEAUX,205,MA,NULL,56,29
KAMILCHE POINT,207,MA,NULL,178,125
UNION,227,MA,NULL,378,482
SKOKOMISH,228,MA,NULL,70,42
HOOD CANAL,229,MA,NULL,249,392
CUSHMAN,230,MA,NULL,302,325
EELLS,231,MA,NULL,97,112
MATLOCK,232,MA,NULL,238,263
DAYTON,233,MA,NULL,229,207
KAMILCHE,234,MA,NULL,106,120
ISABELLA,235,MA,NULL,170,159
AIRPORT,236,MA,NULL,358,357
JOHN&#39;S PRAIRIE,237,MA,NULL,199,199
LIMERICK,238,MA,NULL,415,352
OLYMPIC VIEW,301,MA,NULL,324,301
DOWNTOWN,302,MA,NULL,250,180
ANGLESIDE,303,MA,NULL,315,236
HILLCREST,304,MA,NULL,201,167
FAWN LAKE,306,MA,NULL,332,301
ARCADIA,308,MA,NULL,349,303
MILL CREEK,309,MA,NULL,360,325
AGATE,310,MA,NULL,255,262
OAKLAND BAY,311,MA,NULL,222,225
TIMBERLAKE,312,MA,NULL,315,314
CALLANAN,339,MA,NULL,14,8
