Row Label,PrecinctCode,County,Registered Voters,Dolores Gilmore,Kelly Emerson
Total,-1,KP,NULL,42232,38091
BREMERTON 001,100001,KP,NULL,153,85
BREMERTON 002,100002,KP,NULL,115,78
BREMERTON 003,100003,KP,NULL,225,165
BREMERTON 005,100005,KP,NULL,183,88
BREMERTON 006,100006,KP,NULL,173,88
BREMERTON 007,100007,KP,NULL,4,6
BREMERTON 012,100012,KP,NULL,65,34
BREMERTON 013,100013,KP,NULL,218,157
BREMERTON 015,100015,KP,NULL,247,186
BREMERTON 016,100016,KP,NULL,63,37
BREMERTON 022,100022,KP,NULL,173,135
BREMERTON 029,100029,KP,NULL,228,152
BREMERTON 030,100030,KP,NULL,212,163
BREMERTON 031,100031,KP,NULL,124,97
BREMERTON 032,100032,KP,NULL,36,23
BREMERTON 037,100037,KP,NULL,272,289
BREMERTON 040,100040,KP,NULL,254,145
BREMERTON 041,100041,KP,NULL,214,133
BREMERTON 046,100046,KP,NULL,224,189
BREMERTON 051,100051,KP,NULL,18,24
BREMERTON 052,100052,KP,NULL,164,131
BREMERTON 053,100053,KP,NULL,307,245
BREMERTON 054,100054,KP,NULL,138,104
BREMERTON 056,100056,KP,NULL,205,165
BREMERTON 058,100058,KP,NULL,267,173
ILLAHEE 065,100065,KP,NULL,263,271
SYLVAN 066,100066,KP,NULL,268,192
RAINIER 067,100067,KP,NULL,255,267
PERRY 073,100073,KP,NULL,145,134
UELAND 082,100082,KP,NULL,0,0
ROCKY POINT 083,100083,KP,NULL,314,286
RIDGEWAY 084,100084,KP,NULL,52,79
KITSAP LAKE 085(*),100085,KP,NULL,0,0
POWERLINE 086(*),100086,KP,NULL,0,0
BAYVIEW 087,100087,KP,NULL,72,62
BREMERTON 088,100088,KP,NULL,44,30
MARION 090,100090,KP,NULL,50,36
NAVY YARD CITY 095,100095,KP,NULL,229,202
OLYMPIC 099,100099,KP,NULL,30,26
TRIDENT 101,100101,KP,NULL,37,67
FRONTIER 102,100102,KP,NULL,213,339
OLYMPIC VIEW 103,100103,KP,NULL,188,204
BROWNSVILLE 105,100105,KP,NULL,288,363
OLD FRONTIER 106,100106,KP,NULL,231,340
BREMERTON 107,100107,KP,NULL,0,0
BREMERTON 109,100109,KP,NULL,18,19
CHARLAND 110,100110,KP,NULL,142,220
ALPINE 111,100111,KP,NULL,173,216
HERITAGE PARK 112,100112,KP,NULL,155,200
COUNTRY CLUB 113,100113,KP,NULL,138,132
BREMERTON 114,100114,KP,NULL,0,0
CLEAR CREEK 120,100120,KP,NULL,204,238
BUCKLIN 121,100121,KP,NULL,247,274
LUOTO 122,100122,KP,NULL,89,181
COTTONWOOD 125,100125,KP,NULL,207,207
FOREST RIDGE 126,100126,KP,NULL,135,152
WOODMERE 127,100127,KP,NULL,256,302
CENTRAL VALLEY 128,100128,KP,NULL,245,271
WINSTON 129,100129,KP,NULL,94,115
ERLANDS POINT 130,100130,KP,NULL,164,177
REGAL 131,100131,KP,NULL,61,67
FAIRVIEW 135,100135,KP,NULL,114,176
FIRGLADE 137,100137,KP,NULL,129,181
TIBARDIS 139,100139,KP,NULL,100,121
GILBERTON 140,100140,KP,NULL,185,212
RIDGEPOINT 141,100141,KP,NULL,158,195
UNIVERSITY POINT 142,100142,KP,NULL,149,179
KARIOTIS 143,100143,KP,NULL,221,253
CAMBRIDGE 144,100144,KP,NULL,119,191
SPINNAKER 146,100146,KP,NULL,177,151
BARKER CREEK 147,100147,KP,NULL,262,299
SANTA FE 148,100148,KP,NULL,173,225
RIDGETOP 149,100149,KP,NULL,151,203
MEADOWDALE 150,100150,KP,NULL,136,230
SYMINGTON 151,100151,KP,NULL,118,149
PIONEER 152,100152,KP,NULL,273,325
LARSON 153,100153,KP,NULL,223,357
SEABECK 155,100155,KP,NULL,265,432
LOST HIGHWAY 157,100157,KP,NULL,203,309
HOLLY 158,100158,KP,NULL,63,70
BREMERTON 159,100159,KP,NULL,127,133
SILVERDALE 160,100160,KP,NULL,243,258
MORKEN 161,100161,KP,NULL,273,383
APEX 162,100162,KP,NULL,232,347
ANDERSON CREEK 163,100163,KP,NULL,159,259
EAGLE CREST 164,100164,KP,NULL,273,283
SUTTON 165,100165,KP,NULL,131,181
TRACYTON 170,100170,KP,NULL,163,179
VENA 173,100173,KP,NULL,220,196
FUSON 175,100175,KP,NULL,199,234
PORT ORCHARD 200,100200,KP,NULL,116,111
PORT ORCHARD 201,100201,KP,NULL,242,171
PORT ORCHARD 202,100202,KP,NULL,249,261
PORT ORCHARD 203,100203,KP,NULL,124,115
PORT ORCHARD 204,100204,KP,NULL,214,186
PORT ORCHARD 205,100205,KP,NULL,457,515
PORT ORCHARD 206,100206,KP,NULL,0,0
PORT ORCHARD 207,100207,KP,NULL,199,225
PORT ORCHARD 208,100208,KP,NULL,0,0
PORT ORCHARD 209,100209,KP,NULL,0,0
PORT ORCHARD 210,100210,KP,NULL,123,184
CEDAR 211,100211,KP,NULL,213,227
ANNAPOLIS 212,100212,KP,NULL,321,316
BRASCH 213,100213,KP,NULL,210,306
LAKE HELENA 214,100214,KP,NULL,155,277
PORT ORCHARD 215,100215,KP,NULL,0,0
MINTERBROOK 216,100216,KP,NULL,96,134
SPRING CREEK 217,100217,KP,NULL,165,199
BURLEY 218,100218,KP,NULL,243,293
HUNTER 219,100219,KP,NULL,150,250
ALASKA 221,100221,KP,NULL,329,272
WOODRIDGE 222,100222,KP,NULL,120,163
NEBRASKA 223,100223,KP,NULL,191,257
WHISPERING PINES 227,100227,KP,NULL,204,306
FERNWOOD 230,100230,KP,NULL,231,354
GLENWOOD 232,100232,KP,NULL,220,409
HARPER 240,100240,KP,NULL,260,187
YUKON 241,100241,KP,NULL,173,204
WILSON CREEK 242,100242,KP,NULL,205,231
LONG LAKE 245,100245,KP,NULL,142,199
LOCKER 246,100246,KP,NULL,303,347
EBBERT 247,100247,KP,NULL,249,277
LUNDBERG 250,100250,KP,NULL,230,256
CONVERSE 252,100252,KP,NULL,182,232
MANCHESTER 255,100255,KP,NULL,225,179
EVERGREEN 257,100257,KP,NULL,317,359
WILLOCK 258,100258,KP,NULL,190,248
FRAGARIA 259,100259,KP,NULL,212,246
MULLENIX 260,100260,KP,NULL,266,291
BANDIX 263,100263,KP,NULL,218,340
OLALLA 265,100265,KP,NULL,184,199
CRESCENT VALLEY 266,100266,KP,NULL,230,277
OVERLOOK 267,100267,KP,NULL,232,149
MADRONA 269,100269,KP,NULL,177,165
PARKWOOD 270,100270,KP,NULL,274,259
CONIFER 271,100271,KP,NULL,114,149
SEDGWICK 272,100272,KP,NULL,242,291
SINCLAIR 275,100275,KP,NULL,123,125
SHERMAN HEIGHTS 278,100278,KP,NULL,9,7
BERRY LAKE 279,100279,KP,NULL,153,162
BELFAIR VALLEY 280,100280,KP,NULL,73,97
SUNNYSLOPE 281,100281,KP,NULL,173,231
DICKENSON 282,100282,KP,NULL,207,273
DRIVE-IN 283,100283,KP,NULL,3,9
TWIN LAKES 285,100285,KP,NULL,54,86
LIGHTHOUSE POINT 292,100292,KP,NULL,257,263
BREMERTON 293(*),100293,KP,NULL,0,0
BREMERTON 294,100294,KP,NULL,0,0
WATERMAN 295,100295,KP,NULL,144,181
BREMERTON 296,100296,KP,NULL,0,0
HEINS CREEK 297,100297,KP,NULL,0,0
BLUE HERON 301,100301,KP,NULL,573,143
AZALEA 302,100302,KP,NULL,467,130
WINSLOW 304,100304,KP,NULL,666,166
WING POINT 305,100305,KP,NULL,274,139
BLAKELY 310,100310,KP,NULL,351,103
CRYSTAL SPRINGS 312,100312,KP,NULL,515,174
FINCH 314,100314,KP,NULL,276,109
FERNCLIFF 315,100315,KP,NULL,519,170
EAGLE HARBOR 317,100317,KP,NULL,292,80
FORT WARD 318,100318,KP,NULL,386,136
ISLAND CENTER 320,100320,KP,NULL,339,115
MEADOWMEER 321,100321,KP,NULL,171,60
NEW BROOKLYN 322,100322,KP,NULL,238,88
LIBERTY 325,100325,KP,NULL,316,126
SKIFF POINT 328,100328,KP,NULL,327,99
ROLLING BAY 330,100330,KP,NULL,371,141
LOVGREN 332,100332,KP,NULL,215,92
TOLO 333,100333,KP,NULL,320,122
SEABOLD 335,100335,KP,NULL,416,178
MANZANITA 336,100336,KP,NULL,272,89
PORT MADISON 340,100340,KP,NULL,267,124
TORVANGER 345,100345,KP,NULL,462,165
POULSBO 401,100401,KP,NULL,312,309
POULSBO 403,100403,KP,NULL,225,218
POULSBO 404,100404,KP,NULL,301,247
POULSBO 405,100405,KP,NULL,315,194
POULSBO 406,100406,KP,NULL,341,268
POULSBO 407,100407,KP,NULL,231,189
BREIDABLIK 410,100410,KP,NULL,246,242
VINLAND 412,100412,KP,NULL,272,305
BELLA VISTA 413,100413,KP,NULL,212,198
HANSVILLE 415,100415,KP,NULL,166,178
POINT NO POINT 416,100416,KP,NULL,447,323
TWIN SPITS 417,100417,KP,NULL,373,224
S&#39;KLALLAM 418,100418,KP,NULL,40,3
POINT JEFFERSON 419,100419,KP,NULL,248,165
INDIANOLA 420,100420,KP,NULL,452,183
ORCA 421,100421,KP,NULL,214,138
APPLE TREE 422,100422,KP,NULL,327,222
HIGHLAND 423,100423,KP,NULL,152,149
KEYPORT 425,100425,KP,NULL,272,318
EVERGREEN RIDGE 426,100426,KP,NULL,82,110
ISLAND LAKE 427,100427,KP,NULL,196,252
KINGSTON 430,100430,KP,NULL,413,318
LEMOLO 435,100435,KP,NULL,217,198
LINCOLN 440,100440,KP,NULL,196,247
BIG VALLEY 441,100441,KP,NULL,181,195
LOFALL 442,100442,KP,NULL,348,346
PEARSON 445,100445,KP,NULL,295,374
PORT GAMBLE 450,100450,KP,NULL,254,228
STRIEBEL 453,100453,KP,NULL,278,228
GAMBLEWOOD 454,100454,KP,NULL,176,164
SCANDIA 455,100455,KP,NULL,226,283
MILLER BAY 458,100458,KP,NULL,325,288
SUQUAMISH 460,100460,KP,NULL,266,107
AUGUSTA 461,100461,KP,NULL,201,91
TOTTEN 463,100463,KP,NULL,262,136
SANDY HOOK 464,100464,KP,NULL,200,159
