Row Label,PrecinctCode,County,Registered Voters,Cathy McMorris Rodgers,Joseph (Joe) Pakootas
Total,-1,FE,NULL,1695,1253
BELCHER,101,FE,NULL,69,30
BOYDS,102,FE,NULL,78,56
CURLEW,103,FE,NULL,16,14
HALL CREEK,104,FE,NULL,53,55
INCHELIUM,105,FE,NULL,21,79
KELLER,106,FE,NULL,54,62
KETTLE RIVER,107,FE,NULL,125,85
KEWA,108,FE,NULL,36,74
LAMBERT,109,FE,NULL,48,30
MALO,110,FE,NULL,106,61
ORIENT,111,FE,NULL,69,65
REPUBLIC 1,112,FE,NULL,122,78
REPUBLIC 2,113,FE,NULL,108,91
SAN POIL,114,FE,NULL,176,87
SHERMAN,115,FE,NULL,145,91
SOUTH LAKE,116,FE,NULL,93,58
STORM KING,117,FE,NULL,145,68
TORODA,118,FE,NULL,66,43
TROUT CREEK,119,FE,NULL,165,126
