Row Label,PrecinctCode,County,Registered Voters,David B. Ladenburg
Total,-1,PI,NULL,29907
27-404,27404,PI,NULL,127
27-405,27405,PI,NULL,398
27-406,27406,PI,NULL,490
27-407,27407,PI,NULL,370
27-408,27408,PI,NULL,394
27-409,27409,PI,NULL,388
27-410,27410,PI,NULL,395
27-411,27411,PI,NULL,443
27-412,27412,PI,NULL,363
27-413,27413,PI,NULL,372
27-414,27414,PI,NULL,385
27-415,27415,PI,NULL,426
27-416,27416,PI,NULL,399
27-417,27417,PI,NULL,399
27-418,27418,PI,NULL,358
27-419,27419,PI,NULL,360
27-420,27420,PI,NULL,426
27-421,27421,PI,NULL,327
27-422,27422,PI,NULL,476
27-423,27423,PI,NULL,404
27-424,27424,PI,NULL,356
27-425,27425,PI,NULL,310
27-426,27426,PI,NULL,329
27-427,27427,PI,NULL,323
27-428,27428,PI,NULL,319
27-429,27429,PI,NULL,349
27-430,27430,PI,NULL,358
27-431,27431,PI,NULL,153
27-432,27432,PI,NULL,355
27-433,27433,PI,NULL,339
27-434,27434,PI,NULL,336
27-435,27435,PI,NULL,370
27-436,27436,PI,NULL,351
27-437,27437,PI,NULL,311
27-438,27438,PI,NULL,306
27-439,27439,PI,NULL,309
27-440,27440,PI,NULL,341
27-441,27441,PI,NULL,286
27-442,27442,PI,NULL,230
27-443,27443,PI,NULL,257
27-444,27444,PI,NULL,302
27-445,27445,PI,NULL,279
27-446,27446,PI,NULL,296
27-447,27447,PI,NULL,325
27-448,27448,PI,NULL,10
27-449,27449,PI,NULL,353
27-450,27450,PI,NULL,371
27-451,27451,PI,NULL,281
27-452,27452,PI,NULL,317
27-453,27453,PI,NULL,233
27-454,27454,PI,NULL,337
27-455,27455,PI,NULL,291
27-456,27456,PI,NULL,251
27-457,27457,PI,NULL,308
27-458,27458,PI,NULL,210
27-459,27459,PI,NULL,198
27-460,27460,PI,NULL,324
27-461,27461,PI,NULL,393
27-462,27462,PI,NULL,363
27-463,27463,PI,NULL,284
27-464,27464,PI,NULL,309
27-465,27465,PI,NULL,271
27-466,27466,PI,NULL,316
27-467,27467,PI,NULL,309
27-468,27468,PI,NULL,295
28-501,28501,PI,NULL,405
28-502,28502,PI,NULL,423
28-503,28503,PI,NULL,451
28-504,28504,PI,NULL,404
28-505,28505,PI,NULL,424
28-506,28506,PI,NULL,438
28-507,28507,PI,NULL,353
28-508,28508,PI,NULL,200
28-509,28509,PI,NULL,0
29-601,29601,PI,NULL,260
29-602,29602,PI,NULL,220
29-603,29603,PI,NULL,302
29-604,29604,PI,NULL,300
29-605,29605,PI,NULL,232
29-606,29606,PI,NULL,318
29-607,29607,PI,NULL,379
29-608,29608,PI,NULL,256
29-609,29609,PI,NULL,208
29-610,29610,PI,NULL,292
29-611,29611,PI,NULL,59
29-612,29612,PI,NULL,154
29-613,29613,PI,NULL,319
29-614,29614,PI,NULL,331
29-615,29615,PI,NULL,348
29-616,29616,PI,NULL,290
29-617,29617,PI,NULL,287
29-618,29618,PI,NULL,261
29-619,29619,PI,NULL,281
29-620,29620,PI,NULL,172
29-621,29621,PI,NULL,0
29-622,29622,PI,NULL,240
29-623,29623,PI,NULL,72
29-624,29624,PI,NULL,0
29-625,29625,PI,NULL,6
29-626,29626,PI,NULL,8
29-627,29627,PI,NULL,0
