Row Label,PrecinctCode,County,Registered Voters,Paul Harris,Richard McCluskey
Total,-1,CR,NULL,22212,13840
434,434,CR,NULL,264,170
436,436,CR,NULL,192,137
441,441,CR,NULL,346,228
483,483,CR,NULL,521,305
487,487,CR,NULL,189,101
543,543,CR,NULL,446,170
550,550,CR,NULL,484,260
553,553,CR,NULL,350,213
555,555,CR,NULL,432,272
560,560,CR,NULL,405,203
563,563,CR,NULL,404,225
570,570,CR,NULL,397,196
571,571,CR,NULL,357,190
572,572,CR,NULL,495,238
573,573,CR,NULL,481,249
574,574,CR,NULL,16,14
575,575,CR,NULL,134,43
576,576,CR,NULL,5,3
577,577,CR,NULL,584,202
578,578,CR,NULL,37,22
579,579,CR,NULL,11,13
615,615,CR,NULL,205,80
617,617,CR,NULL,411,183
624,624,CR,NULL,95,40
626,626,CR,NULL,333,199
627,627,CR,NULL,345,208
628,628,CR,NULL,347,237
629,629,CR,NULL,327,185
630,630,CR,NULL,263,185
632,632,CR,NULL,176,134
633,633,CR,NULL,272,230
634,634,CR,NULL,308,198
635,635,CR,NULL,255,175
636,636,CR,NULL,302,171
638,638,CR,NULL,288,200
640,640,CR,NULL,321,240
641,641,CR,NULL,136,99
643,643,CR,NULL,311,201
646,646,CR,NULL,170,106
649,649,CR,NULL,309,181
652,652,CR,NULL,265,249
653,653,CR,NULL,242,226
654,654,CR,NULL,244,153
655,655,CR,NULL,284,222
656,656,CR,NULL,191,118
658,658,CR,NULL,317,209
659,659,CR,NULL,360,220
662,662,CR,NULL,366,245
664,664,CR,NULL,335,241
667,667,CR,NULL,270,179
668,668,CR,NULL,370,260
669,669,CR,NULL,401,170
672,672,CR,NULL,265,217
674,674,CR,NULL,290,225
677,677,CR,NULL,374,233
678,678,CR,NULL,263,189
679,679,CR,NULL,215,171
680,680,CR,NULL,302,199
681,681,CR,NULL,257,203
682,682,CR,NULL,277,231
683,683,CR,NULL,309,230
685,685,CR,NULL,92,66
686,686,CR,NULL,250,179
687,687,CR,NULL,307,207
688,688,CR,NULL,277,215
689,689,CR,NULL,371,228
691,691,CR,NULL,338,211
692,692,CR,NULL,389,222
693,693,CR,NULL,191,131
694,694,CR,NULL,102,108
695,695,CR,NULL,371,246
697,697,CR,NULL,427,303
698,698,CR,NULL,407,163
699,699,CR,NULL,346,189
710,710,CR,NULL,127,125
720,720,CR,NULL,296,151
