Row Label,PrecinctCode,County,Registered Voters,Darvin J. Zimmerman
Total,-1,CR,NULL,79714
100,100,CR,NULL,408
102,102,CR,NULL,326
104,104,CR,NULL,391
106,106,CR,NULL,340
108,108,CR,NULL,372
110,110,CR,NULL,388
112,112,CR,NULL,37
113,113,CR,NULL,219
120,120,CR,NULL,467
130,130,CR,NULL,390
147,147,CR,NULL,316
150,150,CR,NULL,251
153,153,CR,NULL,278
160,160,CR,NULL,320
170,170,CR,NULL,312
175,175,CR,NULL,287
180,180,CR,NULL,344
190,190,CR,NULL,405
200,200,CR,NULL,406
220,220,CR,NULL,291
225,225,CR,NULL,534
240,240,CR,NULL,451
245,245,CR,NULL,440
250,250,CR,NULL,485
255,255,CR,NULL,410
257,257,CR,NULL,415
290,290,CR,NULL,388
294,294,CR,NULL,257
296,296,CR,NULL,289
298,298,CR,NULL,241
325,325,CR,NULL,301
327,327,CR,NULL,420
330,330,CR,NULL,410
335,335,CR,NULL,320
337,337,CR,NULL,355
338,338,CR,NULL,384
340,340,CR,NULL,404
350,350,CR,NULL,326
360,360,CR,NULL,385
370,370,CR,NULL,289
390,390,CR,NULL,470
395,395,CR,NULL,110
400,400,CR,NULL,234
410,410,CR,NULL,465
415,415,CR,NULL,313
420,420,CR,NULL,395
423,423,CR,NULL,321
424,424,CR,NULL,453
425,425,CR,NULL,301
426,426,CR,NULL,523
430,430,CR,NULL,293
432,432,CR,NULL,298
434,434,CR,NULL,273
435,435,CR,NULL,270
436,436,CR,NULL,225
440,440,CR,NULL,388
441,441,CR,NULL,402
444,444,CR,NULL,488
445,445,CR,NULL,490
446,446,CR,NULL,365
447,447,CR,NULL,479
448,448,CR,NULL,474
449,449,CR,NULL,507
450,450,CR,NULL,467
451,451,CR,NULL,383
452,452,CR,NULL,348
453,453,CR,NULL,369
455,455,CR,NULL,295
456,456,CR,NULL,533
460,460,CR,NULL,570
470,470,CR,NULL,503
480,480,CR,NULL,538
483,483,CR,NULL,545
485,485,CR,NULL,257
