Row Label,PrecinctCode,County,Registered Voters,Rick Larsen,B.J. Guillot
Total,-1,SK,NULL,13783,11037
ALGER,102,SK,NULL,129,156
ALLEN,103,SK,NULL,77,128
DUNBAR,104,SK,NULL,52,35
AVON,105,SK,NULL,212,165
BAY VIEW,108,SK,NULL,208,170
BELFAST,109,SK,NULL,103,132
BOW,113,SK,NULL,323,223
COUNTRY CLUB,117,SK,NULL,83,99
CONWAY,118,SK,NULL,113,74
DEWEY,119,SK,NULL,420,368
DODGE VALLEY,121,SK,NULL,120,61
EDISON,122,SK,NULL,152,123
FIR,124,SK,NULL,105,75
FRUITDALE,125,SK,NULL,109,85
GEAR,126,SK,NULL,210,252
GUEMES,127,SK,NULL,276,115
HARMONY,129,SK,NULL,159,118
LAKE SIXTEEN,130,SK,NULL,107,105
LOOKOUT,132,SK,NULL,260,247
MARCH POINT,135,SK,NULL,12,16
MCMURRAY WEST,136,SK,NULL,116,99
MCRAE,137,SK,NULL,308,320
POINT WILLIAMS,146,SK,NULL,214,145
RIDGEWAY,147,SK,NULL,167,124
SHELTER BAY,149,SK,NULL,285,234
SNEE OOSH,150,SK,NULL,215,148
SWINOMISH,153,SK,NULL,288,161
VEDERE,156,SK,NULL,171,123
WHITNEY,157,SK,NULL,112,62
ROSARIO,158,SK,NULL,359,294
TERRACE,159,SK,NULL,354,322
STARBIRD,160,SK,NULL,158,217
FIDALGO,164,SK,NULL,292,269
GAGES,165,SK,NULL,45,57
SAMISH,166,SK,NULL,153,147
COLLINS,167,SK,NULL,115,139
BLANCHARD,168,SK,NULL,265,211
LITTLE MOUNTAIN,172,SK,NULL,99,105
RIVERBEND,173,SK,NULL,16,3
PADILLA,174,SK,NULL,53,56
FREDONIA,176,SK,NULL,43,41
ANACORTES  1,201,SK,NULL,273,120
ANACORTES  4,204,SK,NULL,193,94
ANACORTES 5,205,SK,NULL,5,8
ANACORTES  6,206,SK,NULL,225,197
ANACORTES  7,207,SK,NULL,530,321
ANACORTES  9,209,SK,NULL,265,210
ANACORTES 11,211,SK,NULL,362,228
ANACORTES 17,217,SK,NULL,500,252
ANACORTES 20,220,SK,NULL,393,330
ANACORTES 21,221,SK,NULL,487,437
ANACORTES 22,222,SK,NULL,319,307
ANACORTES 24,224,SK,NULL,534,487
SEDRO WOOLLEY  1,401,SK,NULL,219,199
SEDRO WOOLLEY  2,402,SK,NULL,236,215
SEDRO WOOLLEY  3,403,SK,NULL,178,120
SEDRO WOOLLEY  4,404,SK,NULL,231,179
SEDRO WOOLLEY  5,405,SK,NULL,310,253
SEDRO WOOLLEY  6,406,SK,NULL,221,170
SEDRO WOOLLEY  7,407,SK,NULL,6,3
BURLINGTON 1,501,SK,NULL,124,71
BURLINGTON 2,502,SK,NULL,129,108
BURLINGTON 3,503,SK,NULL,66,34
BURLINGTON 4,504,SK,NULL,170,141
BURLINGTON 5,505,SK,NULL,225,186
BURLINGTON 6,506,SK,NULL,117,100
BURLINGTON 7,507,SK,NULL,117,126
LA CONNER,801,SK,NULL,290,117
