Row Label,PrecinctCode,County,Registered Voters,Mark R Clinton
Total,-1,WT,NULL,7153
TEKOA IN,31,WT,NULL,177
OAKESDALE IN,32,WT,NULL,152
FARMINGTON IN,33,WT,NULL,53
GARFIELD IN,34,WT,NULL,158
COLTON IN,35,WT,NULL,156
UNIONTOWN IN,36,WT,NULL,78
ALBION IN,37,WT,NULL,123
LACROSSE IN,42,WT,NULL,95
ENDICOTT IN,43,WT,NULL,108
LAMONT IN,44,WT,NULL,21
ST JOHN IN,45,WT,NULL,171
MALDEN IN,46,WT,NULL,38
ROSALIA IN,47,WT,NULL,169
TEKOA 101,101,WT,NULL,51
OAKESDALE 102,102,WT,NULL,80
FARMINGTON 103,103,WT,NULL,26
STEPTOE 104,104,WT,NULL,85
GARFIELD 105,105,WT,NULL,68
PALOUSE RURAL 106,106,WT,NULL,135
PALOUSE 107,107,WT,NULL,230
COLTON 108,108,WT,NULL,86
UNIONTOWN 109,109,WT,NULL,57
PULLMAN RURAL 110,110,WT,NULL,291
PULLMAN RURAL 111,111,WT,NULL,83
ALBION 112,112,WT,NULL,91
PULLMAN CITY 113,113,WT,NULL,96
PULLMAN CITY 114,114,WT,NULL,15
PULLMAN CITY 115,115,WT,NULL,7
PULLMAN CITY 116,116,WT,NULL,297
PULLMAN CITY 117,117,WT,NULL,114
PULLMAN CITY 118,118,WT,NULL,211
PULLMAN CITY 119,119,WT,NULL,138
PULLMAN CITY 120,120,WT,NULL,402
PULLMAN CITY 121,121,WT,NULL,110
PULLMAN CITY 122,122,WT,NULL,72
PULLMAN CITY 123,123,WT,NULL,149
PULLMAN CITY 124,124,WT,NULL,21
PULLMAN CITY 125,125,WT,NULL,14
PULLMAN CITY 126,126,WT,NULL,17
PULLMAN CITY 127,127,WT,NULL,17
PULLMAN CITY 128,128,WT,NULL,45
PULLMAN CITY 129,129,WT,NULL,42
PULLMAN CITY 130,130,WT,NULL,40
PULLMAN CITY 131,131,WT,NULL,4
PULLMAN CITY 132,132,WT,NULL,0
PULLMAN CITY 133,133,WT,NULL,0
PULLMAN CITY 134,134,WT,NULL,16
PULLMAN CITY 135,135,WT,NULL,134
COLFAX RURAL 136,136,WT,NULL,123
COLFAX RURAL 137,137,WT,NULL,213
WILCOX 138,138,WT,NULL,125
COLFAX CITY 139,139,WT,NULL,206
COLFAX CITY 140,140,WT,NULL,189
COLFAX CITY 141,141,WT,NULL,156
COLFAX CITY 142,142,WT,NULL,285
DUSTY 143,143,WT,NULL,39
HAY 144,144,WT,NULL,22
HOOPER 145,145,WT,NULL,18
LACROSSE 146,146,WT,NULL,67
ENDICOTT 147,147,WT,NULL,87
LAMONT 148,148,WT,NULL,35
ST JOHN 149,149,WT,NULL,173
MALDEN 150,150,WT,NULL,7
ROSALIA 151,151,WT,NULL,64
THORNTON 152,152,WT,NULL,48
PULLMAN 218,218,WT,NULL,235
PULLMAN 228,228,WT,NULL,16
PULLMAN 234,234,WT,NULL,53
PULLMAN 235,235,WT,NULL,249
